t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
1.75E-05,-0.000119091,-0.000119091,-2.35E-06,-2.35E-06,-2.55E-05,-2.55E-05,-1.16E-07,-2.38E-07,7.67E-19
1.82E-05,-0.000124122,-0.000124122,-2.26E-06,-2.26E-06,-3.00E-05,-3.00E-05,-1.34E-07,-4.77E-07,8.09E-19
1.88E-05,-0.000128332,-0.000128332,-2.26E-06,-2.26E-06,-3.40E-05,-3.40E-05,-1.53E-07,-4.77E-07,8.54E-19
1.94E-05,-0.000132077,-0.000132077,-2.19E-06,-2.19E-06,-3.75E-05,-3.75E-05,-1.74E-07,-4.77E-07,9.03E-19
2.00E-05,-0.00013526,-0.00013526,-2.19E-06,-2.19E-06,-4.05E-05,-4.05E-05,-1.95E-07,-4.77E-07,9.56E-19
2.05E-05,-0.000138143,-0.000138143,-2.13E-06,-2.13E-06,-4.31E-05,-4.31E-05,-2.16E-07,-7.15E-07,1.04E-18
2.11E-05,-0.000140768,-0.000140768,-2.14E-06,-2.14E-06,-4.55E-05,-4.55E-05,-2.38E-07,-7.15E-07,1.14E-18
2.16E-05,-0.000143419,-0.000143419,-2.08E-06,-2.08E-06,-4.77E-05,-4.77E-05,-2.62E-07,-7.15E-07,1.25E-18
2.23E-05,-0.000146222,-0.000146222,-2.09E-06,-2.09E-06,-4.98E-05,-4.98E-05,-2.90E-07,-9.54E-07,1.45E-18
2.31E-05,-0.000149634,-0.000149634,-2.01E-06,-2.01E-06,-5.22E-05,-5.22E-05,-3.27E-07,-9.54E-07,1.79E-18
2.44E-05,-0.00015419,-0.00015419,-1.96E-06,-1.96E-06,-5.53E-05,-5.53E-05,-3.90E-07,-1.19E-06,2.39E-18
2.57E-05,-0.000157445,-0.000157445,-1.84E-06,-1.84E-06,-5.73E-05,-5.73E-05,-4.51E-07,-1.43E-06,3.19E-18
2.69E-05,-0.000159876,-0.000159876,-1.81E-06,-1.81E-06,-5.87E-05,-5.87E-05,-5.13E-07,-1.67E-06,4.34E-18
2.84E-05,-0.000161908,-0.000161908,-1.69E-06,-1.69E-06,-5.97E-05,-5.97E-05,-5.87E-07,-1.91E-06,5.35E-18
2.87E-05,-0.000162285,-0.000162285,-1.69E-06,-1.69E-06,-5.99E-05,-5.99E-05,-6.06E-07,-1.91E-06,5.72E-18
2.90E-05,-0.000165577,-0.000165577,3.56E-06,3.56E-06,-6.26E-05,-6.26E-05,-6.10E-07,-1.91E-06,5.96E-18
2.91E-05,-0.000175159,-0.000175159,2.01E-05,2.01E-05,-7.07E-05,-7.07E-05,-5.90E-07,-1.91E-06,6.10E-18
2.92E-05,-0.000166966,-0.000166966,4.82E-06,4.82E-06,-6.31E-05,-6.31E-05,-5.97E-07,-1.91E-06,6.21E-18
2.93E-05,-0.000174924,-0.000174924,1.89E-05,1.89E-05,-7.00E-05,-7.00E-05,-5.81E-07,-1.91E-06,6.32E-18
2.94E-05,-0.000168121,-0.000168121,6.05E-06,6.05E-06,-6.37E-05,-6.37E-05,-5.86E-07,-1.91E-06,6.48E-18
2.96E-05,-0.000175152,-0.000175152,1.82E-05,1.82E-05,-6.97E-05,-6.97E-05,-5.67E-07,-1.91E-06,6.71E-18
2.99E-05,-0.000169382,-0.000169382,6.67E-06,6.67E-06,-6.40E-05,-6.40E-05,-5.63E-07,-1.67E-06,7.00E-18
3.03E-05,-0.000176373,-0.000176373,1.81E-05,1.81E-05,-6.96E-05,-6.96E-05,-5.36E-07,-1.91E-06,7.45E-18
3.08E-05,-0.000171361,-0.000171361,7.19E-06,7.19E-06,-6.41E-05,-6.41E-05,-5.19E-07,-1.67E-06,7.93E-18
3.14E-05,-0.00017847,-0.00017847,1.83E-05,1.83E-05,-6.95E-05,-6.95E-05,-4.80E-07,-1.67E-06,8.47E-18
3.21E-05,-0.000173877,-0.000173877,7.79E-06,7.79E-06,-6.42E-05,-6.42E-05,-4.52E-07,-1.43E-06,9.03E-18
3.31E-05,-0.000181249,-0.000181249,1.88E-05,1.88E-05,-6.93E-05,-6.93E-05,-3.94E-07,-1.19E-06,9.59E-18
3.45E-05,-0.000177451,-0.000177451,8.61E-06,8.61E-06,-6.37E-05,-6.37E-05,-3.31E-07,-1.19E-06,1.02E-17
3.61E-05,-0.000185358,-0.000185358,1.96E-05,1.96E-05,-6.81E-05,-6.81E-05,-2.31E-07,-7.15E-07,1.05E-17
3.86E-05,-0.000183095,-0.000183095,9.72E-06,9.72E-06,-6.09E-05,-6.09E-05,-5.61E-08,0,1.05E-17
3.92E-05,-0.000184481,-0.000184481,1.22E-05,1.22E-05,-6.20E-05,-6.20E-05,-2.07E-08,-2.38E-07,1.05E-17
3.96E-05,-0.000173146,-0.000173146,-7.33E-06,-7.33E-06,-5.28E-05,-5.28E-05,-4.03E-08,-2.38E-07,1.05E-17
3.98E-05,-0.000183542,-0.000183542,1.21E-05,1.21E-05,-6.23E-05,-6.23E-05,-2.83E-08,-2.38E-07,1.05E-17
4.00E-05,-0.00017261,-0.00017261,-7.36E-06,-7.36E-06,-5.29E-05,-5.29E-05,-4.60E-08,0,1.05E-17
4.02E-05,-0.000182928,-0.000182928,1.21E-05,1.21E-05,-6.24E-05,-6.24E-05,-3.49E-08,-2.38E-07,1.05E-17
4.04E-05,-0.000171962,-0.000171962,-7.38E-06,-7.38E-06,-5.31E-05,-5.31E-05,-5.41E-08,-2.38E-07,1.05E-17
4.09E-05,-0.000181913,-0.000181913,1.21E-05,1.21E-05,-6.26E-05,-6.26E-05,-4.87E-08,-2.38E-07,1.05E-17
4.13E-05,-0.000170694,-0.000170694,-7.44E-06,-7.44E-06,-5.33E-05,-5.33E-05,-7.34E-08,-2.38E-07,1.06E-17
4.19E-05,-0.000180501,-0.000180501,1.20E-05,1.20E-05,-6.27E-05,-6.27E-05,-7.29E-08,-2.38E-07,1.06E-17
4.26E-05,-0.000169059,-0.000169059,-7.51E-06,-7.51E-06,-5.33E-05,-5.33E-05,-1.05E-07,-4.77E-07,1.06E-17
4.35E-05,-0.000178454,-0.000178454,1.19E-05,1.19E-05,-6.25E-05,-6.25E-05,-1.16E-07,-4.77E-07,1.07E-17
4.46E-05,-0.000166549,-0.000166549,-7.63E-06,-7.63E-06,-5.29E-05,-5.29E-05,-1.64E-07,-4.77E-07,1.08E-17
4.65E-05,-0.000175015,-0.000175015,1.17E-05,1.17E-05,-6.15E-05,-6.15E-05,-2.09E-07,-7.15E-07,1.11E-17
4.89E-05,-0.000161783,-0.000161783,-7.86E-06,-7.86E-06,-5.07E-05,-5.07E-05,-3.08E-07,-9.54E-07,1.19E-17
5.18E-05,-0.000169462,-0.000169462,1.15E-05,1.15E-05,-5.78E-05,-5.78E-05,-3.97E-07,-1.19E-06,1.33E-17
5.51E-05,-0.000155614,-0.000155614,-8.17E-06,-8.17E-06,-4.50E-05,-4.50E-05,-5.31E-07,-1.67E-06,1.55E-17
