t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
5.74E-05,-0.000109586,-0.000109586,-0.049060892,-0.049060892,-0.04891829,-0.04891826,0.000118127,0.000389814,1.22E-14
5.76E-05,-0.000207386,-0.000207386,-0.07789437,-0.07789437,-0.07774652,-0.07774654,0.000215747,0.000711918,4.91E-14
5.79E-05,-9.47E-05,-9.47E-05,-0.12596361,-0.12596361,-0.12580112,-0.12580104,0.000411234,0.001357079,2.18E-13
5.83E-05,-0.000195122,-0.000195122,-0.20224662,-0.20224662,-0.20206156,-0.20206153,0.00078963,0.002605915,9.53E-13
5.86E-05,-8.54E-05,-8.54E-05,-0.31105047,-0.31105047,-0.31082425,-0.31082404,0.001444594,0.00476718,3.55E-12
5.90E-05,-0.00018855,-0.00018855,-0.44046757,-0.44046757,-0.44018847,-0.44018826,0.002371815,0.007827044,9.29E-12
5.93E-05,-8.16E-05,-8.16E-05,-0.5366232,-0.5366232,-0.53629863,-0.53629816,0.003150457,0.010396481,1.64E-11
5.94E-05,-0.000186291,-0.000186291,-0.61747706,-0.61747706,-0.6171155,-0.617115,0.003861797,0.012743712,2.60E-11
5.96E-05,-7.99E-05,-7.99E-05,-0.70833206,-0.70833206,-0.70792574,-0.707925,0.004718611,0.015571356,4.00E-11
5.98E-05,-0.000184746,-0.000184746,-0.79553807,-0.79553807,-0.795093,-0.79509234,0.005597968,0.018473148,5.91E-11
6.00E-05,-7.87E-05,-7.87E-05,-0.8894311,-0.8894311,-0.88894576,-0.88894475,0.00660399,0.021793127,8.60E-11
6.02E-05,-0.000183442,-0.000183442,-0.98764825,-0.98764825,-0.98713183,-0.98713094,0.007723948,0.025489092,1.24E-10
6.04E-05,-7.76E-05,-7.76E-05,-1.0931427,-1.0931427,-1.0926056,-1.0926044,0.009002996,0.029709816,1.77E-10
6.06E-05,-0.000182116,-0.000182116,-1.2082169,-1.2082169,-1.2076856,-1.2076846,0.010495067,0.034633636,2.56E-10
6.08E-05,-7.63E-05,-7.63E-05,-1.3401047,-1.3401047,-1.3396167,-1.3396155,0.012336103,0.04070902,3.85E-10
6.11E-05,-0.000180366,-0.000180366,-1.5069057,-1.5069057,-1.5065236,-1.506523,0.01488409,0.049117327,6.62E-10
6.16E-05,-7.40E-05,-7.40E-05,-1.7883253,-1.7883253,-1.78814,-1.7881398,0.019752555,0.06518364,1.28E-09
6.21E-05,-0.000177797,-0.000177797,-2.0863845,-2.0863845,-2.0863328,-2.0863333,0.025683928,0.08475685,2.42E-09
6.26E-05,-7.16E-05,-7.16E-05,-2.4216504,-2.4216504,-2.4216697,-2.4216702,0.033329226,0.109986305,4.53E-09
6.32E-05,-0.000175256,-0.000175256,-2.7902997,-2.7902997,-2.790343,-2.790344,0.04304616,0.14205241,7.71E-09
6.37E-05,-6.94E-05,-6.94E-05,-3.0489788,-3.0489788,-3.049031,-3.0490317,0.050790265,0.16760778,1.12E-08
6.41E-05,-0.000173438,-0.000173438,-3.2752585,-3.2752585,-3.2753115,-3.2753124,0.058280833,0.19232655,1.63E-08
6.46E-05,-6.74E-05,-6.74E-05,-3.5705948,-3.5705948,-3.5706522,-3.5706527,0.069189034,0.22832394,2.44E-08
6.51E-05,-0.000171195,-0.000171195,-3.8403487,-3.8403487,-3.8404045,-3.8404055,0.0804451,0.26546884,3.60E-08
6.57E-05,-6.51E-05,-6.51E-05,-4.1445518,-4.1445518,-4.1446104,-4.144611,0.09486472,0.3130536,5.55E-08
6.64E-05,-0.000168391,-0.000168391,-4.483939,-4.483939,-4.4839954,-4.4839964,0.11355271,0.3747239,9.08E-08
6.73E-05,-6.17E-05,-6.17E-05,-4.8871565,-4.8871565,-4.8872147,-4.887215,0.14023033,0.46275997,1.64E-07
6.86E-05,-0.000163859,-0.000163859,-5.362591,-5.362591,-5.362645,-5.3626456,0.18020785,0.5946858,3.32E-07
7.05E-05,-5.56E-05,-5.56E-05,-5.896527,-5.896527,-5.896581,-5.8965816,0.24211924,0.7989936,5.81E-07
7.12E-05,-0.00015893,-0.00015893,-6.068596,-6.068596,-6.068647,-6.068648,0.26841354,0.8857646,7.21E-07
7.16E-05,-5.33E-05,-5.33E-05,-6.15936,-6.15936,-6.159412,-6.1594124,0.2842121,0.93790007,8.13E-07
7.19E-05,-0.000157409,-0.000157409,-6.20797,-6.20797,-6.2080183,-6.208019,0.2937068,0.9692323,8.68E-07
7.20E-05,-0.000144377,-0.000144377,-6.229919,-6.229919,-6.2299666,-6.229967,0.29849893,0.9850466,8.99E-07
