config_id,t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
1.0,0.016543376076180012,-8.885658e-06,-8.885658e-06,-5.6035937e-05,-5.6035937e-05,-0.48797375,-0.48797694,0.9758354,3.1226733,0.14746761841301237
1.0,0.016553376076180012,-0.00011343942,-0.00011343942,5.5511806e-05,5.5511806e-05,-0.48787317,-0.48786998,0.9758354,3.122673,0.1474980905604771
1.0,0.01656337607618001,-8.9075465e-06,-8.9075465e-06,-5.6041205e-05,-5.6041205e-05,-0.48797375,-0.48797694,0.9758354,3.122673,0.14752856270794185
1.0,0.01657337607618001,-0.00011341754,-0.00011341754,5.551707e-05,5.551707e-05,-0.48787317,-0.48786998,0.9758354,3.122673,0.14755903485540658
1.0,0.01658337607618001,-8.929413e-06,-8.929413e-06,-5.6046465e-05,-5.6046465e-05,-0.48797375,-0.48797694,0.9758354,3.1226733,0.14758950700525553
1.0,0.01659337607618001,-0.00011339568,-0.00011339568,5.5522327e-05,5.5522327e-05,-0.48787314,-0.48786998,0.9758354,3.1226733,0.14761997915510447
1.0,0.016603376076180013,-8.951258e-06,-8.951258e-06,-5.605172e-05,-5.605172e-05,-0.48797378,-0.48797694,0.9758354,3.1226733,0.1476504513049534
1.0,0.016613376076180013,-0.00011337385,-0.00011337385,5.552758e-05,5.552758e-05,-0.48787314,-0.48786995,0.9758354,3.1226735,0.14768092345718653
1.0,0.016623376076180012,-8.97308e-06,-8.97308e-06,-5.6056968e-05,-5.6056968e-05,-0.48797378,-0.48797697,0.9758354,3.122673,0.14771139560465127
1.0,0.016633376076180012,-0.000113352035,-0.000113352035,5.5532826e-05,5.5532826e-05,-0.48787314,-0.48786995,0.9758354,3.122673,0.147741867752116
1.0,0.01664337607618001,-8.994881e-06,-8.994881e-06,-5.6062214e-05,-5.6062214e-05,-0.48797378,-0.48797697,0.9758354,3.122673,0.14777233989958075
1.0,0.01665337607618001,-0.00011333025,-0.00011333025,5.553807e-05,5.553807e-05,-0.48787314,-0.48786995,0.9758354,3.1226733,0.1478028120494297
1.0,0.01666337607618001,-9.0166595e-06,-9.0166595e-06,-5.606745e-05,-5.606745e-05,-0.48797378,-0.48797697,0.9758354,3.1226733,0.14783328419927863
1.0,0.01667337607618001,-0.00011330848,-0.00011330848,5.5543303e-05,5.5543303e-05,-0.48787314,-0.48786995,0.9758354,3.1226733,0.14786375634912757
1.0,0.016683376076180013,-9.038416e-06,-9.038416e-06,-5.607268e-05,-5.607268e-05,-0.48797378,-0.48797697,0.9758354,3.1226733,0.14789422849897652
1.0,0.016693376076180013,-0.00011328673,-0.00011328673,5.554853e-05,5.554853e-05,-0.48787314,-0.48786995,0.9758354,3.1226735,0.14792470065120963
1.0,0.016703376076180013,-9.060151e-06,-9.060151e-06,-5.6077908e-05,-5.6077908e-05,-0.48797378,-0.48797697,0.9758354,3.122673,0.14795517279867437
1.0,0.016713376076180012,-0.00011326501,-0.00011326501,5.555375e-05,5.555375e-05,-0.4878731,-0.48786995,0.9758354,3.122673,0.1479856449461391
1.0,0.016723376076180012,-9.081864e-06,-9.081864e-06,-5.6083125e-05,-5.6083125e-05,-0.4879738,-0.48797697,0.9758354,3.122673,0.14801611709360385
