Save Time:,2026-02-20 16:25:49,,
,,CH1,CH2
Frequency:,,?,?
Period:,,?,?
SP:,,10000.000 uS,10000.000 uS
PK-PK:,,120.000 mV,1.800 V
,,,
Units:(mV),,,
362,3620000.000us,40,1680
363,3630000.000us,40,1720
364,3640000.000us,80,1720
365,3650000.000us,40,1720
366,3660000.000us,40,1720
367,3670000.000us,80,1720
368,3680000.000us,40,1680
369,3690000.000us,80,1680
370,3700000.000us,40,1720
371,3710000.000us,40,1720
372,3720000.000us,40,1680
373,3730000.000us,40,1760
374,3740000.000us,0,1680
375,3750000.000us,80,1720
376,3760000.000us,40,1720
377,3770000.000us,40,1680
378,3780000.000us,40,1680
379,3790000.000us,40,1680
380,3800000.000us,40,1720
381,3810000.000us,0,1680
382,3820000.000us,80,1720
383,3830000.000us,80,1680
384,3840000.000us,40,1720
385,3850000.000us,40,1760
386,3860000.000us,80,1720
387,3870000.000us,40,1680
388,3880000.000us,80,1720
389,3890000.000us,80,1720
390,3900000.000us,0,1720
391,3910000.000us,40,1720
392,3920000.000us,40,1720
393,3930000.000us,40,1680
394,3940000.000us,40,1680
395,3950000.000us,80,1720
396,3960000.000us,40,1760
397,3970000.000us,40,1720
398,3980000.000us,0,1680
399,3990000.000us,40,1720
400,4000000.000us,40,1720
401,4010000.000us,40,1720
402,4020000.000us,80,1760
403,4030000.000us,80,1640
404,4040000.000us,40,1680
405,4050000.000us,40,1680
406,4060000.000us,40,1720
407,4070000.000us,40,1720
408,4080000.000us,40,1680
409,4090000.000us,40,1720
410,4100000.000us,40,1720
411,4110000.000us,80,1680
412,4120000.000us,40,1760
413,4130000.000us,40,1720
414,4140000.000us,0,1680
415,4150000.000us,80,1680
416,4160000.000us,0,1720
417,4170000.000us,40,1720
418,4180000.000us,40,1720
419,4190000.000us,40,1720
420,4200000.000us,0,1720
421,4210000.000us,0,1760
422,4220000.000us,0,1720
423,4230000.000us,40,1720
424,4240000.000us,80,1720
425,4250000.000us,40,1720
426,4260000.000us,80,1720
427,4270000.000us,40,1760
428,4280000.000us,80,1720
429,4290000.000us,80,1720
430,4300000.000us,40,1720
431,4310000.000us,40,1720
432,4320000.000us,40,1720
433,4330000.000us,40,1760
434,4340000.000us,40,1680
435,4350000.000us,0,1720
436,4360000.000us,40,1720
437,4370000.000us,40,1760
438,4380000.000us,40,1720
439,4390000.000us,40,1680
440,4400000.000us,80,1720
441,4410000.000us,40,1720
442,4420000.000us,40,1720
443,4430000.000us,80,1720
444,4440000.000us,80,1720
445,4450000.000us,80,1760
446,4460000.000us,40,1720
447,4470000.000us,40,1720
448,4480000.000us,40,1720
449,4490000.000us,40,1760
450,4500000.000us,40,1720
451,4510000.000us,40,1680
452,4520000.000us,40,1720
453,4530000.000us,40,1720
454,4540000.000us,80,1760
455,4550000.000us,80,1720
456,4560000.000us,0,1720
457,4570000.000us,0,1680
458,4580000.000us,40,1720
459,4590000.000us,80,1720
460,4600000.000us,40,1720
461,4610000.000us,40,1720
462,4620000.000us,40,1720
463,4630000.000us,40,1720
464,4640000.000us,40,1760
465,4650000.000us,40,1720
466,4660000.000us,80,1720
467,4670000.000us,80,1720
468,4680000.000us,0,1720
469,4690000.000us,80,1680
470,4700000.000us,40,1680
471,4710000.000us,40,1760
472,4720000.000us,40,1720
473,4730000.000us,80,1720
474,4740000.000us,40,1720
475,4750000.000us,0,1720
476,4760000.000us,80,1680
477,4770000.000us,40,1720
478,4780000.000us,80,1720
479,4790000.000us,80,1720
480,4800000.000us,40,1720
481,4810000.000us,40,1760
482,4820000.000us,0,1720
483,4830000.000us,40,1720
484,4840000.000us,40,1680
485,4850000.000us,40,1720
486,4860000.000us,80,1720
487,4870000.000us,40,1760
488,4880000.000us,80,1760
489,4890000.000us,40,1720
490,4900000.000us,80,1720
491,4910000.000us,0,1720
492,4920000.000us,40,1680
493,4930000.000us,0,1720
494,4940000.000us,40,1720
495,4950000.000us,40,1720
496,4960000.000us,80,1720
497,4970000.000us,80,1720
498,4980000.000us,80,1720
499,4990000.000us,40,1720
500,5000000.000us,40,1720
501,5010000.000us,40,1720
502,5020000.000us,80,1720
503,5030000.000us,40,1680
504,5040000.000us,80,1720
505,5050000.000us,40,1720
506,5060000.000us,40,1680
507,5070000.000us,80,1680
508,5080000.000us,80,1760
509,5090000.000us,80,1720
510,5100000.000us,40,1720
511,5110000.000us,40,1720
512,5120000.000us,80,1720
513,5130000.000us,0,1720
514,5140000.000us,40,1720
515,5150000.000us,80,1720
516,5160000.000us,40,1720
517,5170000.000us,40,1720
518,5180000.000us,0,1720
519,5190000.000us,40,1720
520,5200000.000us,0,1680
521,5210000.000us,40,1680
522,5220000.000us,0,1720
523,5230000.000us,40,1720
524,5240000.000us,40,1720
525,5250000.000us,80,1720
526,5260000.000us,40,1720
527,5270000.000us,40,1720
528,5280000.000us,0,1720
529,5290000.000us,40,1720
530,5300000.000us,40,1720
531,5310000.000us,80,1720
532,5320000.000us,0,1680
533,5330000.000us,40,1720
