time	V(n001)	I(Cij)
2.315538881607575e-07	3.199982e+00	-3.210879e-03
2.350699447665362e-07	3.199982e+00	-3.210410e-03
2.385871431581177e-07	3.199982e+00	-3.209266e-03
2.413578556862288e-07	3.199983e+00	-3.208349e-03
2.443410790806677e-07	3.199983e+00	-3.207839e-03
2.476923034537526e-07	3.199983e+00	-3.208114e-03
2.524662224868177e-07	3.199982e+00	-3.209518e-03
2.558389565832487e-07	3.199982e+00	-3.210513e-03
2.592362330809754e-07	3.199982e+00	-3.210799e-03
2.628455340303894e-07	3.199982e+00	-3.210146e-03
2.656781389290188e-07	3.199982e+00	-3.209195e-03
2.682919776342636e-07	3.199983e+00	-3.208358e-03
2.713937960430707e-07	3.199983e+00	-3.207861e-03
2.747775342880494e-07	3.199983e+00	-3.208164e-03
2.790007181051625e-07	3.199982e+00	-3.209396e-03
2.821260519652130e-07	3.199982e+00	-3.210346e-03
2.854361928812394e-07	3.199982e+00	-3.210753e-03
2.890350148577129e-07	3.199982e+00	-3.210267e-03
2.952648008148968e-07	3.199983e+00	-3.208340e-03
2.983640623450123e-07	3.199983e+00	-3.207884e-03
3.017975347754856e-07	3.199983e+00	-3.208216e-03
3.090052099154081e-07	3.199982e+00	-3.210308e-03
3.123774340025535e-07	3.199982e+00	-3.210693e-03
3.160154048556110e-07	3.199982e+00	-3.210189e-03
3.193613546254990e-07	3.199982e+00	-3.209170e-03
3.221543904910928e-07	3.199983e+00	-3.208342e-03
3.253163061120738e-07	3.199983e+00	-3.207908e-03
3.287922750976312e-07	3.199983e+00	-3.208265e-03
3.327225503686132e-07	3.199982e+00	-3.209379e-03
3.358069181919755e-07	3.199982e+00	-3.210259e-03
3.392233091185741e-07	3.199982e+00	-3.210636e-03
3.428974775590479e-07	3.199982e+00	-3.210135e-03
3.462388102264699e-07	3.199982e+00	-3.209145e-03
3.490535624460100e-07	3.199983e+00	-3.208341e-03
3.522748788924996e-07	3.199983e+00	-3.207934e-03
3.557965037379685e-07	3.199983e+00	-3.208318e-03
3.595692951331633e-07	3.199982e+00	-3.209372e-03
3.626255009032369e-07	3.199982e+00	-3.210217e-03
3.660954163575231e-07	3.199982e+00	-3.210582e-03
3.698089163894611e-07	3.199982e+00	-3.210077e-03
3.731159311342651e-07	3.199982e+00	-3.209121e-03
3.759452333474600e-07	3.199983e+00	-3.208344e-03
3.792310169324233e-07	3.199983e+00	-3.207963e-03
3.827996131852076e-07	3.199983e+00	-3.208373e-03
3.864247258293967e-07	3.199982e+00	-3.209370e-03
3.894582966847727e-07	3.199982e+00	-3.210182e-03
3.929883862020326e-07	3.199982e+00	-3.210532e-03
3.967446531514517e-07	3.199982e+00	-3.210018e-03
3.999981684473511e-07	3.199982e+00	-3.209100e-03
4.028381815292062e-07	3.199983e+00	-3.208350e-03
4.061940957464308e-07	3.199983e+00	-3.207996e-03
4.098118112301623e-07	3.199983e+00	-3.208432e-03
4.132920756601017e-07	3.199982e+00	-3.209376e-03
4.163064232856402e-07	3.199982e+00	-3.210156e-03
4.199039462007196e-07	3.199982e+00	-3.210488e-03
4.237067348585566e-07	3.199982e+00	-3.209962e-03
4.268905534726521e-07	3.199982e+00	-3.209084e-03
4.297384138389149e-07	3.199983e+00	-3.208361e-03
4.331710667314232e-07	3.199983e+00	-3.208035e-03
4.368409082948283e-07	3.199983e+00	-3.208499e-03
4.401758523989819e-07	3.199982e+00	-3.209390e-03
4.431734448675011e-07	3.199982e+00	-3.210139e-03
4.468467277607948e-07	3.199982e+00	-3.210452e-03
4.507005904748585e-07	3.199982e+00	-3.209911e-03
4.538458127984215e-07	3.199982e+00	-3.209064e-03
4.567191549079797e-07	3.199983e+00	-3.208370e-03
4.602508501286871e-07	3.199983e+00	-3.208087e-03
4.639822861535423e-07	3.199983e+00	-3.208597e-03
4.671815842333687e-07	3.199982e+00	-3.209443e-03
4.701865551643821e-07	3.199982e+00	-3.210158e-03
4.743626231996997e-07	3.199982e+00	-3.210404e-03
4.781650478573713e-07	3.199982e+00	-3.209779e-03
4.812959455522686e-07	3.199982e+00	-3.208949e-03
4.842611015515310e-07	3.199983e+00	-3.208319e-03
4.882759304916978e-07	3.199983e+00	-3.208211e-03
4.921098367625841e-07	3.199982e+00	-3.208915e-03
4.951400670064332e-07	3.199982e+00	-3.209719e-03
4.982894928517951e-07	3.199982e+00	-3.210323e-03
5.022983619779632e-07	3.199982e+00	-3.210314e-03
5.067588692762341e-07	3.199982e+00	-3.209417e-03
5.095988819059117e-07	3.199982e+00	-3.208702e-03
5.126872455489169e-07	3.199983e+00	-3.208247e-03
5.165470572287769e-07	3.199983e+00	-3.208439e-03
5.215253439605396e-07	3.199982e+00	-3.209528e-03
5.250998988173723e-07	3.199982e+00	-3.210277e-03
5.289852302192272e-07	3.199982e+00	-3.210396e-03
5.330820347148224e-07	3.199982e+00	-3.209696e-03
5.361137746341795e-07	3.199982e+00	-3.208939e-03
5.391889730905344e-07	3.199983e+00	-3.208397e-03
5.431830748976770e-07	3.199983e+00	-3.208436e-03
5.474909555016425e-07	3.199982e+00	-3.209287e-03
5.504398244144242e-07	3.199982e+00	-3.210007e-03
5.537808158565485e-07	3.199982e+00	-3.210462e-03
5.578057154035572e-07	3.199982e+00	-3.210217e-03
5.626741426776719e-07	3.199982e+00	-3.209184e-03
5.661776354770305e-07	3.199983e+00	-3.208530e-03
5.699947352451597e-07	3.199983e+00	-3.208484e-03
5.740113560560214e-07	3.199982e+00	-3.209187e-03
5.770920883166833e-07	3.199982e+00	-3.209934e-03
5.804080102000779e-07	3.199982e+00	-3.210464e-03
5.845116180721184e-07	3.199982e+00	-3.210350e-03
5.928399310804370e-07	3.199982e+00	-3.208711e-03
5.964524063474515e-07	3.199983e+00	-3.208535e-03
6.004574606409697e-07	3.199982e+00	-3.209095e-03
6.037092316439552e-07	3.199982e+00	-3.209858e-03
6.069714282496489e-07	3.199982e+00	-3.210448e-03
6.112385145212390e-07	3.199982e+00	-3.210470e-03
6.157139660635928e-07	3.199982e+00	-3.209679e-03
6.187459118506645e-07	3.199982e+00	-3.209015e-03
6.220541914578651e-07	3.199983e+00	-3.208634e-03
6.260892631839205e-07	3.199982e+00	-3.208910e-03
6.309748696022770e-07	3.199982e+00	-3.209907e-03
6.347209146919393e-07	3.199982e+00	-3.210539e-03
6.393030829657984e-07	3.199982e+00	-3.210461e-03
6.436671570458947e-07	3.199982e+00	-3.209651e-03
6.467241634962435e-07	3.199982e+00	-3.209029e-03
6.502105267804443e-07	3.199982e+00	-3.208736e-03
6.542633255816016e-07	3.199982e+00	-3.209131e-03
6.581457564928157e-07	3.199982e+00	-3.209953e-03
6.615874907212696e-07	3.199982e+00	-3.210554e-03
6.661032191132694e-07	3.199982e+00	-3.210572e-03
6.704866023154462e-07	3.199982e+00	-3.209829e-03
6.736301467263233e-07	3.199982e+00	-3.209189e-03
6.770794141646337e-07	3.199982e+00	-3.208850e-03
6.812003234427542e-07	3.199982e+00	-3.209173e-03
6.857228461142925e-07	3.199982e+00	-3.210071e-03
6.894129644357068e-07	3.199982e+00	-3.210654e-03
6.940335938648074e-07	3.199982e+00	-3.210575e-03
6.985698093949716e-07	3.199982e+00	-3.209779e-03
7.016981445110592e-07	3.199982e+00	-3.209195e-03
7.053301045403780e-07	3.199982e+00	-3.208961e-03
7.094856031093224e-07	3.199982e+00	-3.209412e-03
7.130113536362255e-07	3.199982e+00	-3.210136e-03
7.164284987782153e-07	3.199982e+00	-3.210685e-03
7.209564012709613e-07	3.199982e+00	-3.210674e-03
7.256056111649206e-07	3.199982e+00	-3.209916e-03
7.287916683173871e-07	3.199982e+00	-3.209326e-03
7.324018565300255e-07	3.199982e+00	-3.209065e-03
7.366132263579093e-07	3.199982e+00	-3.209474e-03
7.404599122617262e-07	3.199982e+00	-3.210228e-03
7.440121336664438e-07	3.199982e+00	-3.210762e-03
7.486211964054644e-07	3.199982e+00	-3.210703e-03
7.533758561219906e-07	3.199982e+00	-3.209925e-03
7.566252609203800e-07	3.199982e+00	-3.209367e-03
7.604040576421016e-07	3.199982e+00	-3.209183e-03
7.646747025819144e-07	3.199982e+00	-3.209676e-03
7.682014008190869e-07	3.199982e+00	-3.210363e-03
