time	V(out_pos,out_neg)	I(V2)	I(Vcell12)
9.122300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.132300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.142300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.152300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.162300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.172300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.182300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.192300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.202300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.212300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.222300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.232300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.242300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.252300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.262300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.272300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.282300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.292300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.302300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.312300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.322300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.332300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.342300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.352300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.362300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.372300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.382300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.392300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.402300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.412300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.422300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.432300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.442300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.452300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.462300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.472300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.482300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.492300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.502300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.512300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.522300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.532300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.542300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.552300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.562300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.572300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.582300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.592300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.602300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.612300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.622300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.632300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.642300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.652300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.662300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.672300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.682300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.692300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.702300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.712300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.722300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.732300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.742300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.752300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.762300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.772300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.782300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.792300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.802300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.812300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.822300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.832300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.842300646234751e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.852300646234753e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.862300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.872300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.882300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.892300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.902300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.912300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.922300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.932300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.942300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.952300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.962300646234752e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.972300646234751e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
9.982300646234753e-03	3.299690e+00	-4.693064e-06	-1.648156e-03
9.992300646234752e-03	3.299690e+00	-4.693080e-06	-1.660920e-03
1.000000000000000e-02	3.299690e+00	-4.693064e-06	-1.648156e-03
1.000000000100000e-02	3.299690e+00	-4.692857e-06	-1.649174e-03
1.000000000200000e-02	3.299690e+00	-4.693225e-06	-1.651615e-03
1.000000000347517e-02	3.299690e+00	-4.693094e-06	-1.652413e-03
1.000000000560198e-02	3.299690e+00	-4.692865e-06	-1.653649e-03
1.000000000985560e-02	3.299690e+00	-4.692775e-06	-1.653871e-03
1.000000001836286e-02	3.299690e+00	-4.692427e-06	-1.654374e-03
1.000000003537736e-02	3.299690e+00	-4.691924e-06	-1.654323e-03
1.000000006940636e-02	3.299690e+00	-4.690838e-06	-1.654759e-03
1.000000013746438e-02	3.299690e+00	-4.688588e-06	-1.654552e-03
1.000000027358040e-02	3.299690e+00	-4.683953e-06	-1.654711e-03
1.000000054581244e-02	3.299690e+00	-4.674134e-06	-1.654406e-03
1.000000109027653e-02	3.299690e+00	-4.652669e-06	-1.654653e-03
1.000000217920470e-02	3.299690e+00	-4.604660e-06	-1.654387e-03
1.000000435706105e-02	3.299690e+00	-4.498380e-06	-1.654604e-03
1.000000871277375e-02	3.299690e+00	-4.275433e-06	-1.654278e-03
1.000001493631387e-02	3.299690e+00	-3.962042e-06	-1.654423e-03
1.000002566427096e-02	3.299690e+00	-3.451415e-06	-1.654000e-03
1.000004712018514e-02	3.299690e+00	-2.533170e-06	-1.653943e-03
1.000007177236836e-02	3.299690e+00	-1.820045e-06	-1.653456e-03
1.000008481008082e-02	3.299690e+00	-2.228242e-06	-1.653850e-03
1.000009403485040e-02	3.299690e+00	-3.342283e-06	-1.653979e-03
1.000010427758244e-02	3.299690e+00	-5.092868e-06	-1.654826e-03
1.000011652116923e-02	3.299690e+00	-7.273757e-06	-1.655314e-03
1.000013321429350e-02	3.299690e+00	-1.011403e-05	-1.656525e-03
1.000016380237192e-02	3.299690e+00	-1.483777e-05	-1.657860e-03
1.000019489852655e-02	3.299690e+00	-1.889106e-05	-1.659457e-03
1.000023622807041e-02	3.299690e+00	-2.257336e-05	-1.660404e-03
1.000028001703299e-02	3.299690e+00	-2.412016e-05	-1.661114e-03
1.000033224462927e-02	3.299690e+00	-2.431559e-05	-1.660844e-03
1.000039772445948e-02	3.299690e+00	-2.437535e-05	-1.661007e-03
1.000051310895728e-02	3.299690e+00	-2.441242e-05	-1.660576e-03
1.000070062214669e-02	3.299690e+00	-2.443272e-05	-1.660518e-03
1.000090944587243e-02	3.299690e+00	-2.446394e-05	-1.659927e-03
1.000110703658254e-02	3.299690e+00	-2.455636e-05	-1.659893e-03
1.000130965111774e-02	3.299690e+00	-2.477601e-05	-1.659423e-03
1.000146999470393e-02	3.299690e+00	-2.503246e-05	-1.659558e-03
1.000164714282896e-02	3.299690e+00	-2.530409e-05	-1.659192e-03
1.000181299771231e-02	3.299690e+00	-2.550818e-05	-1.659327e-03
1.000209874388757e-02	3.299690e+00	-2.572961e-05	-1.658828e-03
1.000236537063591e-02	3.299690e+00	-2.580422e-05	-1.658783e-03
1.000260332282556e-02	3.299690e+00	-2.579177e-05	-1.658214e-03
1.000288101898226e-02	3.299690e+00	-2.571057e-05	-1.658032e-03
1.000313117403113e-02	3.299690e+00	-2.559468e-05	-1.657333e-03
1.000341396809935e-02	3.299690e+00	-2.542886e-05	-1.657010e-03
1.000369557988830e-02	3.299690e+00	-2.524090e-05	-1.656118e-03
1.000402542511102e-02	3.299690e+00	-2.500285e-05	-1.655532e-03
1.000437298406340e-02	3.299690e+00	-2.474249e-05	-1.654304e-03
1.000479235612836e-02	3.299690e+00	-2.442478e-05	-1.653256e-03
1.000527078606870e-02	3.299690e+00	-2.406843e-05	-1.651378e-03
1.000588323889217e-02	3.299689e+00	-2.362962e-05	-1.649349e-03
1.000664445236986e-02	3.299689e+00	-2.312106e-05	-1.646011e-03
1.000772223766730e-02	3.299689e+00	-2.247397e-05	-1.641528e-03
1.000928304148764e-02	3.299689e+00	-2.168350e-05	-1.633930e-03
1.001047391055030e-02	3.299689e+00	-2.119054e-05	-1.628296e-03
1.001145039875462e-02	3.299689e+00	-2.085234e-05	-1.623084e-03
1.001242126706449e-02	3.299689e+00	-2.056710e-05	-1.618344e-03
1.001357095435750e-02	3.299689e+00	-2.028481e-05	-1.612202e-03
1.001476619597609e-02	3.299688e+00	-2.004285e-05	-1.606411e-03
1.001603252089854e-02	3.299688e+00	-1.983362e-05	-1.599890e-03
1.001726100640160e-02	3.299688e+00	-1.966699e-05	-1.594202e-03
1.001857144317263e-02	3.299687e+00	-1.952136e-05	-1.587782e-03
1.001992972837268e-02	3.299687e+00	-1.939704e-05	-1.581818e-03
1.002144137993439e-02	3.299687e+00	-1.928404e-05	-1.574859e-03
1.002308767178559e-02	3.299686e+00	-1.918267e-05	-1.568041e-03
1.002500014611506e-02	3.299685e+00	-1.908586e-05	-1.559871e-03
1.002721607330180e-02	3.299684e+00	-1.899116e-05	-1.551304e-03
1.002996118409116e-02	3.299683e+00	-1.888969e-05	-1.540608e-03
1.003286565102124e-02	3.299681e+00	-1.879063e-05	-1.530319e-03
1.003595306892356e-02	3.299680e+00	-1.868845e-05	-1.519378e-03
1.003880334546312e-02	3.299678e+00	-1.859282e-05	-1.510146e-03
1.004171806641146e-02	3.299676e+00	-1.849273e-05	-1.500522e-03
1.004453977376818e-02	3.299674e+00	-1.839148e-05	-1.491989e-03
1.004709315746173e-02	3.299673e+00	-1.829979e-05	-1.483923e-03
1.004953018999753e-02	3.299671e+00	-1.821272e-05	-1.476757e-03
1.005217215427411e-02	3.299669e+00	-1.812117e-05	-1.468487e-03
1.005617274984593e-02	3.299666e+00	-1.798746e-05	-1.456554e-03
1.006010395494379e-02	3.299663e+00	-1.786250e-05	-1.444199e-03
1.006530559235228e-02	3.299658e+00	-1.770352e-05	-1.428026e-03
1.007075634474894e-02	3.299652e+00	-1.754395e-05	-1.409791e-03
1.007837127569304e-02	3.299644e+00	-1.732846e-05	-1.382850e-03
1.008729411767305e-02	3.299633e+00	-1.708554e-05	-1.345995e-03
1.009729411767305e-02	3.299620e+00	-1.682137e-05	-1.295291e-03
1.010729411767305e-02	3.299603e+00	-1.656479e-05	-1.225821e-03
1.011729411767305e-02	3.299584e+00	-1.631399e-05	-1.120512e-03
1.012027857749714e-02	3.299583e+00	-1.624068e-05	-1.183129e-03
1.012168985598856e-02	3.299595e+00	-1.621107e-05	-6.335414e-03
1.012253479478960e-02	3.299622e+00	-1.619709e-05	-1.262811e-02
1.012337210364190e-02	3.299682e+00	-1.618494e-05	-2.077138e-02
1.012504672134652e-02	3.299926e+00	-1.616698e-05	-4.127336e-02
1.012786852791353e-02	3.300669e+00	-1.615280e-05	-8.140168e-02
1.013178814466664e-02	3.302219e+00	-1.617319e-05	-1.226869e-01
1.013605228299787e-02	3.304346e+00	-1.623319e-05	-1.364098e-01
1.013946829178107e-02	3.306321e+00	-1.627649e-05	-1.542037e-01
1.014307392412672e-02	3.308741e+00	-1.632641e-05	-1.793886e-01
1.014724399136844e-02	3.312065e+00	-1.638926e-05	-2.159843e-01
1.015169987611737e-02	3.316570e+00	-1.646055e-05	-2.632308e-01
1.016009516573277e-02	3.327262e+00	-1.660561e-05	-3.730302e-01
1.016484064589256e-02	3.334632e+00	-1.669143e-05	-4.458742e-01
