I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3766274,-3.3766274,-3.3766274,-3.3766274,-3.3766274,-3.3585851,-3.3585851,-3.3585851,-3.3585851,-3.3585851,-3.3303337,-3.3303337,-3.3303337,-3.3303337,-3.3303337,-3.3245795,-3.3245795,-3.3245795,-3.3245795,-3.3245795,-3.3145714,-3.3145714,-3.3145714,-3.3145714,-3.3145714,16.49951,16.498688,3.3834680942138402e-06
-3.3770435,-3.3770435,-3.3770435,-3.3770435,-3.3770435,-3.359006,-3.359006,-3.359006,-3.359006,-3.359006,-3.330705,-3.330705,-3.330705,-3.330705,-3.330705,-3.3267665,-3.3267665,-3.3267665,-3.3267665,-3.3267665,-3.315265,-3.315265,-3.315265,-3.315265,-3.315265,16.499506,16.498001,4.868512816890095e-06
-3.377245,-3.377245,-3.377245,-3.377245,-3.377245,-3.3592613,-3.3592613,-3.3592613,-3.3592613,-3.3592613,-3.3309152,-3.3309152,-3.3309152,-3.3309152,-3.3309152,-3.3269703,-3.3269703,-3.3269703,-3.3269703,-3.3269703,-3.3151336,-3.3151336,-3.3151336,-3.3151336,-3.3151336,16.499495,16.498236,7.838602262242607e-06
-3.3771367,-3.3771367,-3.3771367,-3.3771367,-3.3771367,-3.3592553,-3.3592553,-3.3592553,-3.3592553,-3.3592553,-3.3309417,-3.3309417,-3.3309417,-3.3309417,-3.3309417,-3.3269887,-3.3269887,-3.3269887,-3.3269887,-3.3269887,-3.314995,-3.3149953,-3.3149953,-3.3149953,-3.3149953,16.49948,16.498884,1.1317883222602377e-05
-3.3770638,-3.3770638,-3.3770638,-3.3770638,-3.3770638,-3.3590171,-3.3590171,-3.3590171,-3.3590171,-3.3590171,-3.3308299,-3.3308299,-3.3308299,-3.3308299,-3.3308299,-3.3269854,-3.3269854,-3.3269854,-3.3269854,-3.3269854,-3.3151302,-3.3151302,-3.3151302,-3.3151302,-3.3151302,16.499441,16.499378,1.706348888456112e-05
-3.3766758,-3.3766758,-3.3766758,-3.3766758,-3.3766758,-3.3585067,-3.3585067,-3.3585067,-3.3585067,-3.3585067,-3.3306494,-3.3306494,-3.3306494,-3.3306494,-3.3306494,-3.3269773,-3.3269773,-3.3269773,-3.3269773,-3.3269773,-3.3150544,-3.3150544,-3.3150544,-3.3150544,-3.3150544,16.499311,16.499369,2.7063488884561118e-05
-3.3759184,-3.3759184,-3.3759184,-3.3759184,-3.3759184,-3.3579183,-3.3579183,-3.3579183,-3.3579183,-3.3579183,-3.330422,-3.330422,-3.330422,-3.330422,-3.330422,-3.326937,-3.3269367,-3.3269367,-3.3269367,-3.3269367,-3.315056,-3.315056,-3.315056,-3.315056,-3.315056,16.499063,16.499086,3.706348888456112e-05
-3.3758132,-3.3758132,-3.3758132,-3.3758132,-3.3758132,-3.3578417,-3.3578417,-3.3578417,-3.3578417,-3.3578417,-3.3303945,-3.3303945,-3.3303945,-3.3303945,-3.3303945,-3.3269193,-3.3269193,-3.3269193,-3.3269193,-3.3269193,-3.315025,-3.315025,-3.315025,-3.315025,-3.315025,16.498981,16.498999,3.8313488884561114e-05
-3.375581,-3.375581,-3.375581,-3.375581,-3.375581,-3.3576474,-3.3576474,-3.3576474,-3.3576474,-3.3576474,-3.330276,-3.330276,-3.330276,-3.330276,-3.330276,-3.3268642,-3.3268642,-3.3268642,-3.3268642,-3.3268642,-3.3149636,-3.3149636,-3.3149636,-3.3149636,-3.3149636,16.49869,16.49871,4.081348888456111e-05
-3.375512,-3.375512,-3.375512,-3.375512,-3.375512,-3.357594,-3.357594,-3.357594,-3.357594,-3.357594,-3.3302467,-3.3302467,-3.3302467,-3.3302467,-3.3302467,-3.3268392,-3.3268392,-3.3268392,-3.3268392,-3.3268392,-3.314939,-3.314939,-3.314939,-3.314939,-3.314939,16.498558,16.498583,4.1438488884561115e-05
-3.3753378,-3.3753378,-3.3753378,-3.3753378,-3.3753378,-3.357439,-3.357439,-3.357439,-3.357439,-3.357439,-3.3301063,-3.3301063,-3.3301063,-3.3301063,-3.3301063,-3.3267548,-3.3267548,-3.3267548,-3.3267548,-3.3267548,-3.3148549,-3.3148549,-3.3148549,-3.3148549,-3.3148549,16.49581,16.497986,4.268848888456112e-05
-3.3720572,-3.3720572,-3.3720572,-3.3720572,-3.3720572,-3.3542008,-3.3542008,-3.3542008,-3.3542008,-3.3542008,-3.3257515,-3.3257518,-3.3257518,-3.3257515,-3.3257515,-3.3237028,-3.3237028,-3.3237028,-3.3237028,-3.3237028,-3.3118415,-3.3118415,-3.3118415,-3.3118415,-3.3118415,16.478596,16.482792,4.518848888456112e-05
-3.369365,-3.369365,-3.369365,-3.369365,-3.369365,-3.3515093,-3.3515093,-3.3515093,-3.3515093,-3.3515093,-3.3205433,-3.3205435,-3.3205433,-3.320543,-3.3205433,-3.3210871,-3.3210871,-3.3210871,-3.3210871,-3.3210871,-3.3092668,-3.3092668,-3.3092668,-3.3092668,-3.3092668,16.47039,16.470459,4.5558085068862267e-05
-3.3639638,-3.3639638,-3.3639638,-3.3639638,-3.3639638,-3.3461106,-3.3461106,-3.3461106,-3.3461106,-3.3461106,-3.315078,-3.3150783,-3.3150783,-3.3150778,-3.315078,-3.3158312,-3.3158312,-3.3158312,-3.3158312,-3.3158312,-3.304081,-3.304081,-3.304081,-3.304081,-3.304081,16.444698,16.444836,4.629727743746456e-05
-3.3532853,-3.3532853,-3.3532853,-3.3532853,-3.3532853,-3.3354473,-3.3354473,-3.3354473,-3.3354473,-3.3354473,-3.3046405,-3.3046408,-3.3046408,-3.3046403,-3.3046405,-3.3054028,-3.3054028,-3.3054028,-3.3054028,-3.3054028,-3.293746,-3.293746,-3.293746,-3.293746,-3.293746,16.393446,16.39356,4.777566217466915e-05
