I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.421063,-3.421063,-3.421063,-3.421063,-3.421063,-3.4199924,-3.4199924,-3.4199924,-3.4199924,-3.4199924,-3.3920963,-3.3920963,-3.3920963,-3.3920963,-3.3920963,-3.3547752,-3.3547752,-3.3547752,-3.3547752,-3.3547752,-3.3064528,-3.3064528,-3.3064528,-3.3064528,-3.3064528,16.49949,16.498604,3.357086064120008e-06
-3.4217694,-3.4217694,-3.4217694,-3.4217694,-3.4217694,-3.4201512,-3.4201512,-3.4201512,-3.4201512,-3.4201512,-3.3923304,-3.3923304,-3.3923304,-3.3923304,-3.3923304,-3.3548987,-3.3548987,-3.3548987,-3.3548987,-3.3548987,-3.3064952,-3.3064952,-3.3064952,-3.3064952,-3.3064952,16.499477,16.497902,4.817871306272328e-06
-3.4222262,-3.4222262,-3.4222262,-3.4222262,-3.4222262,-3.4207993,-3.4207993,-3.4207993,-3.4207993,-3.4207993,-3.3924184,-3.3924184,-3.3924184,-3.3924184,-3.3924184,-3.3549004,-3.3549004,-3.3549004,-3.3549004,-3.3549004,-3.3064508,-3.3064508,-3.3064508,-3.3064508,-3.3064508,16.499441,16.497324,7.739441790576968e-06
-3.421881,-3.421881,-3.421881,-3.421881,-3.421881,-3.4210515,-3.4210515,-3.4210515,-3.4210515,-3.4210515,-3.3919466,-3.3919466,-3.3919466,-3.3919466,-3.3919466,-3.354495,-3.354495,-3.354495,-3.354495,-3.354495,-3.3062265,-3.3062265,-3.3062265,-3.3062265,-3.3062265,16.49926,16.497562,1.3582582759186247e-05
-3.4202857,-3.4202857,-3.4202857,-3.4202857,-3.4202857,-3.4193923,-3.4193923,-3.4193923,-3.4193923,-3.4193923,-3.3904405,-3.3904405,-3.3904405,-3.3904405,-3.3904405,-3.353381,-3.353381,-3.353381,-3.353381,-3.353381,-3.3056674,-3.3056676,-3.3056676,-3.3056676,-3.3056676,16.498552,16.498568,2.3582582759186246e-05
-3.4199905,-3.4199905,-3.4199905,-3.4199905,-3.4199905,-3.4190853,-3.4190853,-3.4190853,-3.4190853,-3.4190853,-3.390181,-3.390181,-3.390181,-3.390181,-3.390181,-3.3531845,-3.3531845,-3.3531845,-3.3531845,-3.3531845,-3.3055394,-3.3055396,-3.3055396,-3.3055396,-3.3055396,16.498247,16.49828,2.4832582759186246e-05
-3.419899,-3.419899,-3.419899,-3.419899,-3.419899,-3.4189928,-3.4189928,-3.4189928,-3.4189928,-3.4189928,-3.39009,-3.39009,-3.39009,-3.39009,-3.39009,-3.3531036,-3.3531036,-3.3531036,-3.3531036,-3.3531036,-3.305445,-3.305445,-3.3054452,-3.3054452,-3.3054452,16.49804,16.498087,2.5145082759186247e-05
-3.4196541,-3.4196541,-3.4196541,-3.4196541,-3.4196541,-3.4187484,-3.4187484,-3.4187484,-3.4187484,-3.4187484,-3.3898532,-3.3898532,-3.3898532,-3.3898532,-3.3898532,-3.3528926,-3.3528926,-3.3528926,-3.3528926,-3.3528926,-3.3051646,-3.3051648,-3.3051648,-3.3051648,-3.3051648,16.497345,16.497398,2.5770082759186245e-05
-3.4195657,-3.4195657,-3.4195657,-3.4195657,-3.4195657,-3.4186594,-3.4186594,-3.4186594,-3.4186594,-3.4186594,-3.3897705,-3.3897705,-3.3897705,-3.3897705,-3.3897705,-3.3528187,-3.3528187,-3.3528187,-3.3528187,-3.3528187,-3.3050609,-3.305061,-3.3050613,-3.3050613,-3.3050613,16.497017,16.49709,2.5926332759186246e-05
-3.4192986,-3.4192986,-3.4192986,-3.4192986,-3.4192986,-3.4183924,-3.4183924,-3.4183924,-3.4183924,-3.4183924,-3.3895075,-3.3895075,-3.3895075,-3.3895075,-3.3895075,-3.3525686,-3.3525686,-3.3525686,-3.3525686,-3.3525686,-3.3045228,-3.3045232,-3.3045235,-3.3045235,-3.3045235,16.493202,16.495956,2.6238832759186247e-05
