I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.37194,-3.37194,-3.37194,-3.37194,-3.37194,-3.3551605,-3.3551605,-3.3551605,-3.3551605,-3.3551605,-3.3273435,-3.3273435,-3.3273435,-3.3273435,-3.3273435,-3.3238473,-3.3238473,-3.3238473,-3.3238473,-3.3238473,-3.3131287,-3.3131287,-3.3131287,-3.3131287,-3.3131287,16.49952,16.498615,7.961265234505821e-07
-3.372755,-3.372755,-3.372755,-3.372755,-3.372755,-3.3559136,-3.3559136,-3.3559136,-3.3559136,-3.3559136,-3.3280406,-3.3280406,-3.3280406,-3.3280406,-3.3280406,-3.3236976,-3.3236976,-3.3236976,-3.3236976,-3.3236976,-3.3125443,-3.3125443,-3.3125443,-3.3125443,-3.3125443,16.49952,16.498697,1.066743019398193e-06
-3.3735752,-3.3735752,-3.3735752,-3.3735752,-3.3735752,-3.3566904,-3.3566904,-3.3566904,-3.3566904,-3.3566904,-3.3287807,-3.3287807,-3.3287807,-3.3287807,-3.3287807,-3.3235376,-3.3235376,-3.3235376,-3.3235376,-3.3235376,-3.3119307,-3.3119307,-3.3119307,-3.3119307,-3.3119307,16.499517,16.498863,1.4887644250613363e-06
-3.3741984,-3.3741984,-3.3741984,-3.3741984,-3.3741984,-3.3572743,-3.3572743,-3.3572743,-3.3572743,-3.3572743,-3.329323,-3.329323,-3.329323,-3.329323,-3.329323,-3.323435,-3.323435,-3.323435,-3.323435,-3.323435,-3.3115177,-3.3115177,-3.3115177,-3.3115177,-3.3115177,16.499516,16.499004,1.966648932208678e-06
-3.3747382,-3.3747382,-3.3747382,-3.3747382,-3.3747382,-3.3577678,-3.3577678,-3.3577678,-3.3577678,-3.3577678,-3.3297744,-3.3297744,-3.3297744,-3.3297744,-3.3297744,-3.3233855,-3.3233855,-3.3233855,-3.3233855,-3.3233855,-3.3119297,-3.3119297,-3.3119297,-3.3119297,-3.3119297,16.499512,16.49905,2.5759714503514356e-06
-3.3752675,-3.3752675,-3.3752675,-3.3752675,-3.3752675,-3.3582363,-3.3582363,-3.3582363,-3.3582363,-3.3582363,-3.3301861,-3.3301861,-3.3301861,-3.3301861,-3.3301861,-3.3245847,-3.3245847,-3.3245847,-3.3245847,-3.3245847,-3.3145752,-3.3145752,-3.3145752,-3.3145752,-3.3145752,16.49951,16.498861,3.4396013572615284e-06
-3.3758094,-3.3758094,-3.3758094,-3.3758094,-3.3758094,-3.3586943,-3.3586943,-3.3586943,-3.3586943,-3.3586943,-3.3305814,-3.3305814,-3.3305814,-3.3305814,-3.3305814,-3.3266926,-3.3266926,-3.3266926,-3.3266926,-3.3266926,-3.3150897,-3.3150897,-3.3150897,-3.3150897,-3.3150897,16.499502,16.498302,4.977182310043414e-06
-3.3761773,-3.3761773,-3.3761773,-3.3761773,-3.3761773,-3.3589625,-3.3589625,-3.3589625,-3.3589625,-3.3589625,-3.330798,-3.330798,-3.330798,-3.330798,-3.330798,-3.3268769,-3.3268769,-3.3268769,-3.3268769,-3.3268769,-3.3150682,-3.3150682,-3.3150682,-3.3150682,-3.3150682,16.499489,16.498096,8.052344215607183e-06
-3.3760943,-3.3760943,-3.3760943,-3.3760943,-3.3760943,-3.3588488,-3.3588488,-3.3588488,-3.3588488,-3.3588488,-3.3307638,-3.3307638,-3.3307638,-3.3307638,-3.3307638,-3.326867,-3.326867,-3.326867,-3.326867,-3.326867,-3.3150249,-3.3150249,-3.3150249,-3.3150249,-3.3150249,16.499454,16.498554,1.4202668026734723e-05
-3.3755853,-3.3755853,-3.3755853,-3.3755853,-3.3755853,-3.3584416,-3.3584416,-3.3584416,-3.3584416,-3.3584416,-3.3305984,-3.3305984,-3.3305984,-3.3305984,-3.3305984,-3.326875,-3.326875,-3.326875,-3.326875,-3.326875,-3.3150475,-3.3150475,-3.3150475,-3.3150475,-3.3150475,16.499378,16.499147,2.2470068172701923e-05
