time	V(out_positive,out_negative)
2.250870658748990e-02	3.190800e+00
2.251870658748990e-02	3.190798e+00
2.252870658748990e-02	3.190800e+00
2.253870658748990e-02	3.190798e+00
2.254870658748991e-02	3.190800e+00
2.255870658748991e-02	3.190798e+00
2.256870658748990e-02	3.190800e+00
2.257870658748990e-02	3.190799e+00
2.258870658748990e-02	3.190800e+00
2.259870658748990e-02	3.190799e+00
2.260870658748990e-02	3.190800e+00
2.261870658748990e-02	3.190799e+00
2.262870658748991e-02	3.190800e+00
2.263870658748991e-02	3.190799e+00
2.264870658748991e-02	3.190801e+00
2.265870658748990e-02	3.190799e+00
2.266870658748990e-02	3.190801e+00
2.267870658748990e-02	3.190799e+00
2.268870658748990e-02	3.190801e+00
2.269870658748990e-02	3.190799e+00
2.270870658748990e-02	3.190801e+00
2.271870658748991e-02	3.190799e+00
2.272870658748991e-02	3.190801e+00
2.273870658748990e-02	3.190799e+00
2.274870658748990e-02	3.190801e+00
2.275870658748990e-02	3.190800e+00
2.276870658748990e-02	3.190801e+00
2.277870658748990e-02	3.190800e+00
2.278870658748990e-02	3.190801e+00
2.279870658748991e-02	3.190800e+00
2.280870658748991e-02	3.190802e+00
2.281870658748991e-02	3.190800e+00
2.282870658748990e-02	3.190802e+00
2.283870658748990e-02	3.190800e+00
2.284870658748990e-02	3.190802e+00
2.285870658748990e-02	3.190800e+00
2.286870658748990e-02	3.190802e+00
2.287870658748990e-02	3.190800e+00
2.288870658748991e-02	3.190802e+00
2.289870658748991e-02	3.190800e+00
2.290870658748990e-02	3.190802e+00
2.291870658748990e-02	3.190800e+00
2.292870658748990e-02	3.190802e+00
2.293870658748990e-02	3.190800e+00
2.294870658748990e-02	3.190802e+00
2.295870658748990e-02	3.190800e+00
2.296870658748991e-02	3.190802e+00
2.297870658748991e-02	3.190800e+00
2.298870658748991e-02	3.190802e+00
2.299870658748990e-02	3.190801e+00
2.300870658748990e-02	3.190802e+00
2.301870658748990e-02	3.190801e+00
2.302870658748990e-02	3.190802e+00
2.303870658748990e-02	3.190801e+00
2.304870658748990e-02	3.190802e+00
2.305870658748991e-02	3.190801e+00
2.306870658748991e-02	3.190802e+00
2.307870658748990e-02	3.190801e+00
2.308870658748990e-02	3.190802e+00
2.309870658748990e-02	3.190801e+00
2.310870658748990e-02	3.190802e+00
2.311870658748990e-02	3.190801e+00
2.312870658748990e-02	3.190803e+00
2.313870658748990e-02	3.190801e+00
2.314870658748991e-02	3.190803e+00
2.315870658748991e-02	3.190801e+00
2.316870658748990e-02	3.190803e+00
2.317870658748990e-02	3.190801e+00
2.318870658748990e-02	3.190803e+00
2.319870658748990e-02	3.190801e+00
2.320870658748990e-02	3.190803e+00
2.321870658748990e-02	3.190801e+00
2.322870658748991e-02	3.190803e+00
2.323870658748991e-02	3.190801e+00
2.324870658748990e-02	3.190803e+00
2.325870658748990e-02	3.190801e+00
2.326870658748990e-02	3.190803e+00
2.327870658748990e-02	3.190801e+00
2.328870658748990e-02	3.190803e+00
2.329870658748990e-02	3.190801e+00
2.330870658748990e-02	3.190803e+00
2.331870658748991e-02	3.190801e+00
2.332870658748991e-02	3.190803e+00
2.333870658748990e-02	3.190801e+00
2.334870658748990e-02	3.190803e+00
2.335870658748990e-02	3.190801e+00
2.336870658748990e-02	3.190803e+00
2.337870658748990e-02	3.190801e+00
2.338870658748990e-02	3.190803e+00
2.339870658748991e-02	3.190801e+00
2.340870658748991e-02	3.190803e+00
2.341870658748990e-02	3.190801e+00
2.342870658748990e-02	3.190803e+00
2.343870658748990e-02	3.190801e+00
2.344870658748990e-02	3.190803e+00
2.345870658748990e-02	3.190801e+00
2.346870658748990e-02	3.190803e+00
2.347870658748990e-02	3.190801e+00
2.348870658748991e-02	3.190803e+00
2.349870658748991e-02	3.190801e+00
2.350870658748990e-02	3.190803e+00
2.351870658748990e-02	3.190801e+00
2.352870658748990e-02	3.190803e+00
2.353870658748990e-02	3.190801e+00
2.354870658748990e-02	3.190803e+00
2.355870658748990e-02	3.190801e+00
2.356870658748991e-02	3.190803e+00
2.357870658748991e-02	3.190801e+00
2.358870658748990e-02	3.190803e+00
2.359870658748990e-02	3.190801e+00
2.360870658748990e-02	3.190803e+00
2.361870658748990e-02	3.190801e+00
2.362870658748990e-02	3.190803e+00
2.363870658748990e-02	3.190801e+00
2.364870658748990e-02	3.190803e+00
2.365870658748991e-02	3.190801e+00
2.366870658748991e-02	3.190803e+00
2.367870658748990e-02	3.190801e+00
2.368870658748990e-02	3.190803e+00
2.369870658748990e-02	3.190801e+00
2.370870658748990e-02	3.190803e+00
2.371870658748990e-02	3.190801e+00
2.372870658748990e-02	3.190803e+00
2.373870658748991e-02	3.190801e+00
2.374870658748991e-02	3.190803e+00
2.375870658748990e-02	3.190801e+00
2.376870658748990e-02	3.190803e+00
2.377870658748990e-02	3.190801e+00
2.378870658748990e-02	3.190803e+00
2.379870658748990e-02	3.190801e+00
2.380870658748990e-02	3.190803e+00
2.381870658748990e-02	3.190801e+00
2.382870658748991e-02	3.190803e+00
2.383870658748991e-02	3.190801e+00
2.384870658748990e-02	3.190803e+00
2.385870658748990e-02	3.190801e+00
