config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,7.696809246229701e-06,-0.09116528,-0.09116528,0.09264253,0.09264253,6.5866427,6.58664,0.0003676895028819297
3.0,9.200370731784735e-06,-0.089898944,-0.089898944,0.08930546,0.08930546,6.576421,6.5764084,0.00046523131111812457
3.0,1.2207493702894801e-05,-0.084880404,-0.084880404,0.0852791,0.0852791,6.556047,6.556019,0.0006051359347449247
3.0,1.571035293022183e-05,-0.08182542,-0.08182542,0.07904521,0.07904521,6.5324183,6.5323887,0.0007488980628248325
3.0,1.89454546053671e-05,-0.077008784,-0.077008784,0.07516291,0.07516291,6.510706,6.510677,0.0008949387466486861
3.0,2.2600835434838415e-05,-0.0728907,-0.0728907,0.06924412,0.06924412,6.486297,6.486268,0.0010436148823372248
3.0,2.6013178004631546e-05,-0.06645876,-0.06645876,0.06571286,0.06571286,6.4636154,6.463594,0.0011879827994470868
3.0,2.9511998230884985e-05,-0.056762338,-0.056762338,0.06398654,0.06398654,6.4404287,6.440433,0.0012830078416461667
3.0,3.059500028633596e-05,-0.029667195,-0.029667195,0.08478256,0.08478256,6.4332514,6.433253,0.0013104706627050623
3.0,3.083912991855067e-05,-0.03253124,-0.03253124,0.081034906,0.081034906,6.4316306,6.431631,0.0013185719099386374
3.0,3.0986687728328114e-05,-0.02570241,-0.02570241,0.08667951,0.08667951,6.43065,6.4306498,0.0013239879966267843
3.0,3.110107235250913e-05,-0.030619176,-0.030619176,0.081572734,0.081572734,6.42989,6.42989,0.0013284978214303915
3.0,3.1204851460692176e-05,-0.024833001,-0.024833001,0.08647183,0.08647183,6.4292,6.4292,0.001332726303224066
3.0,3.1305669970260896e-05,-0.029692149,-0.029692149,0.08146101,0.08146101,6.42853,6.42853,0.0013368498808864868
3.0,3.140441481228929e-05,-0.024456881,-0.024456881,0.0858869,0.0858869,6.427874,6.427874,0.001340848724592614
