Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
1408,1408000.000us,5920,3360,2560
1409,1409000.000us,5920,3360,2560
1410,1410000.000us,5920,3360,2560
1411,1411000.000us,5760,3280,2480
1412,1412000.000us,5920,3360,2560
1413,1413000.000us,5920,3280,2640
1414,1414000.000us,5920,3360,2560
1415,1415000.000us,5840,3280,2560
1416,1416000.000us,5920,3360,2560
1417,1417000.000us,5840,3360,2480
1418,1418000.000us,5920,3360,2560
1419,1419000.000us,5840,3280,2560
1420,1420000.000us,5840,3360,2480
1421,1421000.000us,5920,3360,2560
1422,1422000.000us,5920,3360,2560
1423,1423000.000us,5840,3280,2560
1424,1424000.000us,5920,3280,2640
1425,1425000.000us,5840,3280,2560
1426,1426000.000us,5920,3360,2560
1427,1427000.000us,5840,3280,2560
1428,1428000.000us,5920,3360,2560
1429,1429000.000us,5920,3360,2560
1430,1430000.000us,5920,3360,2560
1431,1431000.000us,5760,2720,3040
1432,1432000.000us,5920,2800,3120
1433,1433000.000us,5840,2800,3040
1434,1434000.000us,5920,2800,3120
1435,1435000.000us,5840,2720,3120
1436,1436000.000us,5840,2800,3040
1437,1437000.000us,5760,2800,2960
1438,1438000.000us,5920,2800,3120
1439,1439000.000us,5760,2720,3040
1440,1440000.000us,5920,2800,3120
1441,1441000.000us,5920,2720,3200
1442,1442000.000us,5920,2880,3040
1443,1443000.000us,5840,2720,3120
1444,1444000.000us,5840,2800,3040
1445,1445000.000us,5840,2800,3040
1446,1446000.000us,5920,2800,3120
1447,1447000.000us,5760,2720,3040
1448,1448000.000us,5920,2720,3200
1449,1449000.000us,5920,2800,3120
1450,1450000.000us,5920,2800,3120
1451,1451000.000us,5840,2720,3120
1452,1452000.000us,5840,2720,3120
1453,1453000.000us,5920,2800,3120
1454,1454000.000us,5920,2800,3120
1455,1455000.000us,5840,2640,3200
1456,1456000.000us,5920,2800,3120
1457,1457000.000us,5920,2800,3120
1458,1458000.000us,5920,2800,3120
1459,1459000.000us,5840,2720,3120
1460,1460000.000us,5920,2800,3120
1461,1461000.000us,5840,2800,3040
1462,1462000.000us,5920,2800,3120
1463,1463000.000us,5840,2720,3120
1464,1464000.000us,5920,2800,3120
1465,1465000.000us,5840,2800,3040
1466,1466000.000us,5920,2800,3120
1467,1467000.000us,5840,2720,3120
1468,1468000.000us,5840,2800,3040
1469,1469000.000us,5920,2800,3120
1470,1470000.000us,5920,2800,3120
1471,1471000.000us,5840,2720,3120
1472,1472000.000us,5920,2800,3120
1473,1473000.000us,5920,2800,3120
1474,1474000.000us,5920,2800,3120
1475,1475000.000us,5840,2720,3120
1476,1476000.000us,5920,2800,3120
1477,1477000.000us,5840,2720,3120
1478,1478000.000us,5920,2880,3040
1479,1479000.000us,5840,2720,3120
1480,1480000.000us,5840,2800,3040
1481,1481000.000us,5840,2800,3040
1482,1482000.000us,5920,2880,3040
1483,1483000.000us,5760,2720,3040
1484,1484000.000us,5920,2800,3120
1485,1485000.000us,5920,2800,3120
1486,1486000.000us,5920,2800,3120
1487,1487000.000us,5840,2720,3120
1488,1488000.000us,5840,2800,3040
1489,1489000.000us,5840,2800,3040
1490,1490000.000us,5920,2800,3120
1491,1491000.000us,5840,2720,3120
1492,1492000.000us,5840,2800,3040
1493,1493000.000us,5920,2720,3200
1494,1494000.000us,5920,2800,3120
1495,1495000.000us,5840,2720,3120
1496,1496000.000us,5840,2800,3040
1497,1497000.000us,5920,2720,3200
1498,1498000.000us,5920,2800,3120
1499,1499000.000us,5760,2720,3040
1500,1500000.000us,5840,2800,3040
1501,1501000.000us,5840,2720,3120
1502,1502000.000us,5920,2800,3120
1503,1503000.000us,5840,2720,3120
1504,1504000.000us,5840,2720,3120
1505,1505000.000us,5840,2800,3040
1506,1506000.000us,5920,2800,3120
1507,1507000.000us,5840,2720,3120
1508,1508000.000us,5840,2800,3040
1509,1509000.000us,5840,2800,3040
1510,1510000.000us,5920,2800,3120
1511,1511000.000us,5840,2720,3120
1512,1512000.000us,5840,2720,3120
1513,1513000.000us,5840,2880,2960
1514,1514000.000us,5840,2880,2960
1515,1515000.000us,5760,2720,3040
1516,1516000.000us,5840,2800,3040
1517,1517000.000us,5840,2800,3040
1518,1518000.000us,5920,2800,3120
1519,1519000.000us,5840,2720,3120
1520,1520000.000us,5840,2800,3040
1521,1521000.000us,5840,2720,3120
1522,1522000.000us,5920,2880,3040
1523,1523000.000us,5760,2720,3040
1524,1524000.000us,5840,2720,3120
1525,1525000.000us,5840,2800,3040
1526,1526000.000us,5840,2800,3040
1527,1527000.000us,5760,2720,3040
1528,1528000.000us,5840,2800,3040
1529,1529000.000us,5840,2800,3040
1530,1530000.000us,5920,2800,3120
1531,1531000.000us,5760,2720,3040
1532,1532000.000us,5920,2800,3120
1533,1533000.000us,5920,2800,3120
1534,1534000.000us,5920,2800,3120
1535,1535000.000us,5840,2800,3040
1536,1536000.000us,5920,2800,3120
1537,1537000.000us,5840,2800,3040
1538,1538000.000us,5920,2880,3040
1539,1539000.000us,5840,2720,3120
1540,1540000.000us,5840,2800,3040
1541,1541000.000us,5840,2800,3040
1542,1542000.000us,5920,2800,3120
1543,1543000.000us,5840,2720,3120
1544,1544000.000us,5920,2800,3120
1545,1545000.000us,5760,2800,2960
1546,1546000.000us,5920,2880,3040
1547,1547000.000us,5760,2800,2960
1548,1548000.000us,5920,2800,3120
1549,1549000.000us,5840,2800,3040
1550,1550000.000us,6000,2800,3200
1551,1551000.000us,5760,2720,3040
1552,1552000.000us,5840,2800,3040
1553,1553000.000us,5840,2800,3040
1554,1554000.000us,5920,2800,3120
1555,1555000.000us,5760,2720,3040
1556,1556000.000us,5920,2800,3120
1557,1557000.000us,5920,2720,3200
1558,1558000.000us,5920,2800,3120
1559,1559000.000us,5840,2720,3120
1560,1560000.000us,5920,2800,3120
1561,1561000.000us,5840,2720,3120
1562,1562000.000us,5920,2800,3120
1563,1563000.000us,5840,2720,3120
1564,1564000.000us,5840,2800,3040
1565,1565000.000us,5840,2800,3040
1566,1566000.000us,5920,2800,3120
1567,1567000.000us,5840,2720,3120
1568,1568000.000us,5840,2800,3040
