Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
354,354000.000us,5840,2800,3040
355,355000.000us,5760,2720,3040
356,356000.000us,5840,2800,3040
357,357000.000us,5920,2800,3120
358,358000.000us,5920,2800,3120
359,359000.000us,5760,2720,3040
360,360000.000us,5840,2800,3040
361,361000.000us,5840,2800,3040
362,362000.000us,5920,2800,3120
363,363000.000us,5840,2720,3120
364,364000.000us,5920,2800,3120
365,365000.000us,5920,2800,3120
366,366000.000us,5920,2800,3120
367,367000.000us,5760,2720,3040
368,368000.000us,5920,2720,3200
369,369000.000us,5920,2800,3120
370,370000.000us,5920,2800,3120
371,371000.000us,5840,2720,3120
372,372000.000us,5840,2800,3040
373,373000.000us,5840,2800,3040
374,374000.000us,5920,2880,3040
375,375000.000us,5760,2720,3040
376,376000.000us,5920,2800,3120
377,377000.000us,5840,2800,3040
378,378000.000us,5920,2800,3120
379,379000.000us,5840,2720,3120
380,380000.000us,5920,2800,3120
381,381000.000us,5760,2720,3040
382,382000.000us,5920,2800,3120
383,383000.000us,5760,2640,3120
384,384000.000us,5840,2720,3120
385,385000.000us,5840,2800,3040
386,386000.000us,5920,2800,3120
387,387000.000us,5760,2720,3040
388,388000.000us,5840,2800,3040
389,389000.000us,5840,2800,3040
390,390000.000us,5920,2800,3120
391,391000.000us,5840,2640,3200
392,392000.000us,5840,2800,3040
393,393000.000us,5920,2800,3120
394,394000.000us,5920,2800,3120
395,395000.000us,5760,2720,3040
396,396000.000us,5760,2800,2960
397,397000.000us,5840,2800,3040
398,398000.000us,5920,2800,3120
399,399000.000us,5760,2640,3120
400,400000.000us,5760,2720,3040
401,401000.000us,5840,2800,3040
402,402000.000us,5920,2800,3120
403,403000.000us,5840,2720,3120
404,404000.000us,5920,2800,3120
405,405000.000us,5840,2800,3040
406,406000.000us,5920,2800,3120
407,407000.000us,5840,2720,3120
408,408000.000us,5920,2800,3120
409,409000.000us,5920,2800,3120
410,410000.000us,5920,2880,3040
411,411000.000us,5840,2720,3120
412,412000.000us,5840,2720,3120
413,413000.000us,5840,2800,3040
414,414000.000us,5840,2800,3040
415,415000.000us,5840,2720,3120
416,416000.000us,5840,2800,3040
417,417000.000us,5840,2800,3040
418,418000.000us,5920,2800,3120
419,419000.000us,5840,2720,3120
420,420000.000us,5920,2720,3200
421,421000.000us,5840,2800,3040
422,422000.000us,5920,2800,3120
423,423000.000us,5840,2720,3120
424,424000.000us,5840,2720,3120
425,425000.000us,5920,2800,3120
426,426000.000us,5920,2800,3120
427,427000.000us,5760,2720,3040
428,428000.000us,5840,2720,3120
429,429000.000us,5840,2800,3040
430,430000.000us,5920,2880,3040
431,431000.000us,5840,2720,3120
432,432000.000us,5840,2800,3040
433,433000.000us,5920,2800,3120
434,434000.000us,5920,2800,3120
435,435000.000us,5840,2720,3120
436,436000.000us,5920,2800,3120
437,437000.000us,5920,2720,3200
438,438000.000us,5920,2800,3120
439,439000.000us,5760,2720,3040
440,440000.000us,5920,2800,3120
441,441000.000us,5920,2800,3120
442,442000.000us,5920,2800,3120
443,443000.000us,5840,2720,3120
444,444000.000us,5840,2800,3040
445,445000.000us,5840,2720,3120
446,446000.000us,5920,2800,3120
447,447000.000us,5760,2720,3040
448,448000.000us,5920,2720,3200
449,449000.000us,5840,2720,3120
450,450000.000us,5920,2800,3120
451,451000.000us,5760,2720,3040
452,452000.000us,5840,2720,3120
453,453000.000us,5920,2800,3120
454,454000.000us,5920,2800,3120
455,455000.000us,5840,2720,3120
456,456000.000us,5840,2720,3120
457,457000.000us,5840,2800,3040
458,458000.000us,5840,2800,3040
459,459000.000us,5760,2720,3040
460,460000.000us,5840,2720,3120
461,461000.000us,5840,2800,3040
462,462000.000us,5920,2800,3120
463,463000.000us,5760,2720,3040
464,464000.000us,5920,2720,3200
465,465000.000us,5920,2720,3200
466,466000.000us,5920,2800,3120
467,467000.000us,5760,2720,3040
468,468000.000us,5920,2720,3200
469,469000.000us,5920,2800,3120
470,470000.000us,5920,2800,3120
471,471000.000us,5840,2720,3120
472,472000.000us,5840,2800,3040
473,473000.000us,5840,2720,3120
474,474000.000us,5920,2800,3120
475,475000.000us,5840,2720,3120
476,476000.000us,5840,2720,3120
477,477000.000us,5840,2720,3120
478,478000.000us,5920,2800,3120
479,479000.000us,5760,2720,3040
480,480000.000us,5840,2720,3120
481,481000.000us,5840,2800,3040
482,482000.000us,5920,2800,3120
483,483000.000us,5840,2720,3120
484,484000.000us,5920,2800,3120
485,485000.000us,5840,2800,3040
486,486000.000us,5920,2800,3120
487,487000.000us,5840,2720,3120
488,488000.000us,5920,2800,3120
489,489000.000us,5920,2720,3200
490,490000.000us,5920,2880,3040
491,491000.000us,5840,2720,3120
492,492000.000us,5920,2880,3040
493,493000.000us,5920,2800,3120
494,494000.000us,5920,2800,3120
495,495000.000us,5840,2720,3120
496,496000.000us,5840,2800,3040
497,497000.000us,5840,2720,3120
498,498000.000us,6000,2880,3120
499,499000.000us,5840,2640,3200
500,500000.000us,5840,2800,3040
501,501000.000us,5840,2800,3040
502,502000.000us,5920,2800,3120
503,503000.000us,5840,2720,3120
504,504000.000us,5840,2800,3040
505,505000.000us,5840,2800,3040
506,506000.000us,5920,2800,3120
507,507000.000us,5840,2720,3120
508,508000.000us,5920,2800,3120
509,509000.000us,5840,2720,3120
510,510000.000us,5920,2800,3120
511,511000.000us,5760,2720,3040
512,512000.000us,5760,2800,2960
513,513000.000us,5840,2800,3040
514,514000.000us,5920,2800,3120
515,515000.000us,5760,2720,3040
516,516000.000us,5840,2800,3040
517,517000.000us,5920,2800,3120
518,518000.000us,5920,2800,3120
519,519000.000us,5840,2720,3120
520,520000.000us,5840,2800,3040
521,521000.000us,5920,2800,3120
522,522000.000us,5920,2800,3120
523,523000.000us,5760,2720,3040
524,524000.000us,5840,2720,3120
525,525000.000us,5840,2800,3040
526,526000.000us,5920,2800,3120
527,527000.000us,5760,2720,3040
528,528000.000us,5840,2800,3040
529,529000.000us,5840,2720,3120
530,530000.000us,5920,2800,3120
531,531000.000us,5760,2720,3040
532,532000.000us,5840,2800,3040
533,533000.000us,5920,2800,3120
534,534000.000us,5920,2800,3120
535,535000.000us,5760,2720,3040
536,536000.000us,5760,2800,2960
537,537000.000us,5840,2720,3120
538,538000.000us,5920,2800,3120
539,539000.000us,5840,2720,3120
540,540000.000us,5920,2720,3200
541,541000.000us,5840,2800,3040
542,542000.000us,5920,2800,3120
543,543000.000us,5760,2720,3040
544,544000.000us,5760,2720,3040
545,545000.000us,5760,2720,3040
546,546000.000us,5920,2800,3120
547,547000.000us,5760,2720,3040
548,548000.000us,5920,2800,3120
549,549000.000us,5840,2800,3040
550,550000.000us,5920,2880,3040
551,551000.000us,5760,2720,3040
552,552000.000us,5840,2800,3040
553,553000.000us,5920,2800,3120
554,554000.000us,5920,2880,3040
555,555000.000us,5840,2720,3120
556,556000.000us,5920,2800,3120
557,557000.000us,5840,2800,3040
558,558000.000us,5920,2800,3120
559,559000.000us,5760,2720,3040
560,560000.000us,5920,2800,3120
561,561000.000us,5840,2800,3040
562,562000.000us,5920,2880,3040
563,563000.000us,5760,2720,3040
564,564000.000us,5920,2800,3120
565,565000.000us,5840,2800,3040
566,566000.000us,5920,2800,3120
567,567000.000us,5840,2720,3120
568,568000.000us,5840,2720,3120
569,569000.000us,5920,2800,3120
570,570000.000us,5920,2800,3120
571,571000.000us,5840,2720,3120
572,572000.000us,5840,2720,3120
573,573000.000us,5840,2800,3040
574,574000.000us,5920,2800,3120
575,575000.000us,5840,2640,3200
576,576000.000us,5840,2720,3120
577,577000.000us,5920,2800,3120
578,578000.000us,5920,2800,3120
579,579000.000us,5840,2720,3120
580,580000.000us,5840,2720,3120
581,581000.000us,5840,2800,3040
582,582000.000us,5920,2800,3120
583,583000.000us,5840,2720,3120
584,584000.000us,5920,2800,3120
585,585000.000us,5920,2800,3120
586,586000.000us,5920,2800,3120
587,587000.000us,5840,2720,3120
588,588000.000us,5920,2800,3120
589,589000.000us,5840,2800,3040
590,590000.000us,5840,2800,3040
591,591000.000us,5760,2720,3040
592,592000.000us,5840,2800,3040
593,593000.000us,5920,2800,3120
594,594000.000us,5920,2880,3040
595,595000.000us,5840,2720,3120
596,596000.000us,5840,2880,2960
597,597000.000us,5840,2720,3120
598,598000.000us,5920,2800,3120
599,599000.000us,5840,2720,3120
600,600000.000us,5840,2720,3120
601,601000.000us,5840,2720,3120
602,602000.000us,5920,2800,3120
603,603000.000us,5760,2720,3040
604,604000.000us,5840,2800,3040
605,605000.000us,5840,2800,3040
606,606000.000us,5920,2800,3120
607,607000.000us,5760,2640,3120
608,608000.000us,5920,2800,3120
609,609000.000us,5840,2800,3040
610,610000.000us,5920,2800,3120
611,611000.000us,5840,2720,3120
612,612000.000us,5840,2800,3040
613,613000.000us,5840,2800,3040
614,614000.000us,5920,2800,3120
615,615000.000us,5760,2720,3040
616,616000.000us,5840,2800,3040
617,617000.000us,5840,2800,3040
618,618000.000us,5920,2800,3120
619,619000.000us,5840,2720,3120
620,620000.000us,5840,2800,3040
621,621000.000us,5840,2800,3040
622,622000.000us,5920,2800,3120
623,623000.000us,5760,2720,3040
624,624000.000us,5840,2800,3040
625,625000.000us,5760,2720,3040
626,626000.000us,5920,2880,3040
627,627000.000us,5760,2720,3040
628,628000.000us,5840,2720,3120
629,629000.000us,5840,2640,3200
630,630000.000us,5920,2800,3120
631,631000.000us,5760,2640,3120
632,632000.000us,5840,2800,3040
633,633000.000us,5920,2800,3120
634,634000.000us,5920,2800,3120
635,635000.000us,5760,2720,3040
636,636000.000us,5760,2720,3040
637,637000.000us,5840,2720,3120
638,638000.000us,5920,2800,3120
639,639000.000us,5760,2720,3040
640,640000.000us,5840,2720,3120
641,641000.000us,5840,2800,3040
642,642000.000us,5920,2880,3040
643,643000.000us,5840,2720,3120
644,644000.000us,5840,2800,3040
645,645000.000us,5840,2800,3040
646,646000.000us,5920,2800,3120
647,647000.000us,5840,2720,3120
648,648000.000us,5840,2800,3040
649,649000.000us,5840,2800,3040
650,650000.000us,5920,2800,3120
651,651000.000us,5840,2720,3120
652,652000.000us,5840,2720,3120
653,653000.000us,5840,2800,3040
654,654000.000us,5920,2800,3120
655,655000.000us,5760,2720,3040
656,656000.000us,5920,2800,3120
657,657000.000us,5840,3360,2480
658,658000.000us,5920,3360,2560
659,659000.000us,5840,3280,2560
660,660000.000us,5840,3360,2480
661,661000.000us,5920,3360,2560
662,662000.000us,5920,3360,2560
663,663000.000us,5760,3280,2480
664,664000.000us,5840,3360,2480
665,665000.000us,5920,3280,2640
666,666000.000us,6000,3360,2640
667,667000.000us,5840,3280,2560
668,668000.000us,6000,3360,2640
669,669000.000us,5840,3360,2480
670,670000.000us,6000,3360,2640
671,671000.000us,5840,3280,2560
672,672000.000us,6000,3360,2640
673,673000.000us,5840,3360,2480
674,674000.000us,5920,3360,2560
675,675000.000us,5840,3200,2640
676,676000.000us,5920,3360,2560
677,677000.000us,5920,3360,2560
678,678000.000us,5920,3360,2560
679,679000.000us,5840,3280,2560
680,680000.000us,5920,3360,2560
681,681000.000us,5840,3280,2560
682,682000.000us,6000,3360,2640
683,683000.000us,5840,3280,2560
684,684000.000us,5840,3360,2480
685,685000.000us,5840,3280,2560
686,686000.000us,5920,3360,2560
687,687000.000us,5840,3280,2560
688,688000.000us,5920,3360,2560
689,689000.000us,5920,3440,2480
690,690000.000us,5920,3440,2480
691,691000.000us,5840,3280,2560
692,692000.000us,5920,3360,2560
693,693000.000us,5840,3360,2480
694,694000.000us,5920,3360,2560
695,695000.000us,5840,3280,2560
696,696000.000us,5840,3360,2480
697,697000.000us,5920,3360,2560
698,698000.000us,5920,3360,2560
699,699000.000us,5840,3280,2560
700,700000.000us,5920,3360,2560
701,701000.000us,5920,3280,2640
702,702000.000us,5920,3360,2560
703,703000.000us,5840,3280,2560
704,704000.000us,5840,3360,2480
705,705000.000us,5840,3360,2480
706,706000.000us,5920,3360,2560
707,707000.000us,5840,3280,2560
708,708000.000us,5840,3280,2560
709,709000.000us,5920,3280,2640
710,710000.000us,6320,3280,3040
711,711000.000us,5920,80,5840
712,712000.000us,6160,80,6080
713,713000.000us,6240,160,6080
714,714000.000us,6240,160,6080
715,715000.000us,6160,0,6160
716,716000.000us,6240,80,6160
717,717000.000us,6160,80,6080
718,718000.000us,6320,80,6240
719,719000.000us,6160,0,6160
720,720000.000us,6240,80,6160
721,721000.000us,6240,80,6160
722,722000.000us,6320,80,6240
723,723000.000us,6160,80,6080
724,724000.000us,6160,80,6080
725,725000.000us,6240,80,6160
726,726000.000us,6320,160,6160
727,727000.000us,6160,0,6160
728,728000.000us,6240,80,6160
729,729000.000us,6240,80,6160
730,730000.000us,6240,80,6160
731,731000.000us,6160,0,6160
732,732000.000us,6240,80,6160
733,733000.000us,6240,80,6160
734,734000.000us,6320,160,6160
735,735000.000us,6160,0,6160
736,736000.000us,6240,80,6160
737,737000.000us,6240,80,6160
738,738000.000us,6240,80,6160
739,739000.000us,6160,80,6080
740,740000.000us,6240,80,6160
741,741000.000us,6240,80,6160
742,742000.000us,6240,80,6160
743,743000.000us,6240,0,6240
744,744000.000us,6240,80,6160
745,745000.000us,6240,0,6240
746,746000.000us,6240,80,6160
747,747000.000us,6160,0,6160
748,748000.000us,6240,80,6160
749,749000.000us,6240,80,6160
750,750000.000us,6240,80,6160
751,751000.000us,6160,0,6160
752,752000.000us,6240,80,6160
753,753000.000us,6240,160,6080
754,754000.000us,6240,160,6080
755,755000.000us,6160,0,6160
756,756000.000us,6240,80,6160
757,757000.000us,6240,80,6160
758,758000.000us,6320,160,6160
759,759000.000us,6160,0,6160
760,760000.000us,6160,80,6080
761,761000.000us,6240,80,6160
762,762000.000us,6240,80,6160
763,763000.000us,6160,0,6160
764,764000.000us,6240,80,6160
765,765000.000us,6240,80,6160
766,766000.000us,6240,80,6160
767,767000.000us,6160,0,6160
768,768000.000us,6240,80,6160
769,769000.000us,6160,80,6080
770,770000.000us,6240,160,6080
771,771000.000us,6160,0,6160
772,772000.000us,6240,80,6160
773,773000.000us,6240,80,6160
774,774000.000us,6240,160,6080
775,775000.000us,6160,0,6160
776,776000.000us,6160,80,6080
777,777000.000us,6240,80,6160
778,778000.000us,6240,80,6160
779,779000.000us,6240,80,6160
780,780000.000us,6240,80,6160
781,781000.000us,6240,80,6160
782,782000.000us,6240,80,6160
783,783000.000us,6160,80,6080
784,784000.000us,6240,80,6160
785,785000.000us,6240,80,6160
786,786000.000us,6240,80,6160
787,787000.000us,6160,0,6160
788,788000.000us,6240,0,6240
789,789000.000us,6240,0,6240
790,790000.000us,6240,160,6080
791,791000.000us,6160,0,6160
792,792000.000us,6160,80,6080
793,793000.000us,6160,80,6080
794,794000.000us,6320,160,6160
795,795000.000us,6160,80,6080
796,796000.000us,6240,160,6080
797,797000.000us,6240,80,6160
798,798000.000us,6240,160,6080
799,799000.000us,6160,0,6160
800,800000.000us,6240,0,6240
801,801000.000us,6240,80,6160
802,802000.000us,6240,160,6080
803,803000.000us,6160,0,6160
804,804000.000us,6240,80,6160
805,805000.000us,6240,80,6160
806,806000.000us,6240,160,6080
807,807000.000us,6160,80,6080
808,808000.000us,6240,80,6160
809,809000.000us,6240,80,6160
810,810000.000us,6320,80,6240
811,811000.000us,6160,80,6080
812,812000.000us,6160,80,6080
813,813000.000us,6240,80,6160
814,814000.000us,6320,80,6240
815,815000.000us,6240,0,6240
816,816000.000us,6240,80,6160
817,817000.000us,6240,80,6160
818,818000.000us,6320,80,6240
819,819000.000us,6160,0,6160
820,820000.000us,6240,80,6160
821,821000.000us,6240,80,6160
822,822000.000us,6320,160,6160
823,823000.000us,6240,80,6160
824,824000.000us,6240,80,6160
825,825000.000us,6320,80,6240
826,826000.000us,6320,80,6240
827,827000.000us,6160,0,6160
828,828000.000us,6160,0,6160
829,829000.000us,6160,80,6080
830,830000.000us,6320,160,6160
831,831000.000us,6160,0,6160
832,832000.000us,6240,80,6160
833,833000.000us,6240,80,6160
834,834000.000us,6320,160,6160
835,835000.000us,6160,0,6160
836,836000.000us,6320,80,6240
837,837000.000us,6240,80,6160
838,838000.000us,6320,80,6240
839,839000.000us,6160,0,6160
840,840000.000us,6240,80,6160
841,841000.000us,6240,80,6160
842,842000.000us,6240,160,6080
843,843000.000us,6160,0,6160
844,844000.000us,6160,80,6080
845,845000.000us,6240,80,6160
846,846000.000us,6240,80,6160
847,847000.000us,6160,0,6160
848,848000.000us,6160,80,6080
849,849000.000us,6240,80,6160
850,850000.000us,6240,160,6080
851,851000.000us,6160,0,6160
852,852000.000us,6240,80,6160
853,853000.000us,6160,80,6080
854,854000.000us,6240,80,6160
855,855000.000us,6160,80,6080
856,856000.000us,6240,80,6160
857,857000.000us,6240,80,6160
858,858000.000us,6240,80,6160
859,859000.000us,6240,80,6160
860,860000.000us,6240,80,6160
861,861000.000us,6240,80,6160
862,862000.000us,6240,80,6160
863,863000.000us,6160,80,6080
864,864000.000us,6240,80,6160
865,865000.000us,6240,80,6160
866,866000.000us,6240,160,6080
867,867000.000us,6160,0,6160
868,868000.000us,6240,80,6160
869,869000.000us,6240,80,6160
870,870000.000us,6240,80,6160
871,871000.000us,6160,0,6160
872,872000.000us,6240,80,6160
873,873000.000us,6240,80,6160
874,874000.000us,6240,160,6080
875,875000.000us,6160,0,6160
876,876000.000us,6160,80,6080
877,877000.000us,6160,80,6080
878,878000.000us,6240,80,6160
879,879000.000us,6160,-80,6240
880,880000.000us,6160,80,6080
881,881000.000us,6240,80,6160
882,882000.000us,6240,160,6080
883,883000.000us,6240,80,6160
884,884000.000us,6240,80,6160
885,885000.000us,6240,160,6080
886,886000.000us,6240,160,6080
887,887000.000us,6160,0,6160
888,888000.000us,6240,80,6160
889,889000.000us,6160,80,6080
890,890000.000us,6240,160,6080
891,891000.000us,6160,80,6080
892,892000.000us,6240,80,6160
893,893000.000us,6240,0,6240
894,894000.000us,6240,160,6080
895,895000.000us,6160,0,6160
896,896000.000us,6240,80,6160
897,897000.000us,6240,80,6160
898,898000.000us,6240,80,6160
899,899000.000us,6160,80,6080
900,900000.000us,6160,80,6080
901,901000.000us,6160,80,6080
902,902000.000us,6240,80,6160
903,903000.000us,6160,0,6160
904,904000.000us,6240,80,6160
905,905000.000us,6240,80,6160
906,906000.000us,6240,80,6160
907,907000.000us,6240,0,6240
908,908000.000us,6240,0,6240
909,909000.000us,6240,80,6160
910,910000.000us,6240,80,6160
911,911000.000us,6240,80,6160
912,912000.000us,6240,80,6160
913,913000.000us,6240,80,6160
914,914000.000us,6240,80,6160
915,915000.000us,6160,80,6080
916,916000.000us,6240,80,6160
917,917000.000us,6240,160,6080
918,918000.000us,6320,160,6160
919,919000.000us,6160,80,6080
920,920000.000us,6160,80,6080
921,921000.000us,6240,80,6160
922,922000.000us,6240,80,6160
923,923000.000us,6160,0,6160
924,924000.000us,6240,0,6240
925,925000.000us,6240,0,6240
926,926000.000us,6320,80,6240
927,927000.000us,6160,0,6160
928,928000.000us,6240,80,6160
929,929000.000us,6240,80,6160
930,930000.000us,6320,80,6240
931,931000.000us,6160,0,6160
932,932000.000us,6240,80,6160
933,933000.000us,6240,160,6080
934,934000.000us,6240,160,6080
935,935000.000us,6160,0,6160
936,936000.000us,6160,80,6080
937,937000.000us,6240,160,6080
938,938000.000us,6320,160,6160
939,939000.000us,6160,0,6160
940,940000.000us,6240,80,6160
941,941000.000us,6240,80,6160
942,942000.000us,6240,160,6080
943,943000.000us,6160,0,6160
944,944000.000us,6240,80,6160
945,945000.000us,6240,80,6160
946,946000.000us,6240,80,6160
947,947000.000us,6240,0,6240
948,948000.000us,6240,80,6160
949,949000.000us,6160,80,6080
950,950000.000us,6240,160,6080
951,951000.000us,6160,0,6160
952,952000.000us,6240,80,6160
953,953000.000us,6240,0,6240
954,954000.000us,6240,160,6080
955,955000.000us,6240,0,6240
956,956000.000us,6240,80,6160
957,957000.000us,6240,160,6080
958,958000.000us,6240,160,6080
959,959000.000us,6160,0,6160
960,960000.000us,6240,80,6160
961,961000.000us,6160,80,6080
962,962000.000us,6240,80,6160
963,963000.000us,6160,0,6160
964,964000.000us,6240,80,6160
965,965000.000us,6240,80,6160
966,966000.000us,6320,160,6160
967,967000.000us,6160,0,6160
968,968000.000us,6320,80,6240
969,969000.000us,6320,0,6320
970,970000.000us,6320,80,6240
971,971000.000us,6160,0,6160
972,972000.000us,6240,0,6240
973,973000.000us,6240,80,6160
974,974000.000us,6240,80,6160
975,975000.000us,6160,80,6080
976,976000.000us,6240,80,6160
977,977000.000us,6240,160,6080
978,978000.000us,6240,160,6080
979,979000.000us,6160,80,6080
980,980000.000us,6240,80,6160
981,981000.000us,6160,80,6080
982,982000.000us,6240,160,6080
983,983000.000us,6160,0,6160
984,984000.000us,6240,80,6160
985,985000.000us,6240,80,6160
986,986000.000us,6240,80,6160
987,987000.000us,6160,80,6080
988,988000.000us,6160,80,6080
989,989000.000us,6240,160,6080
990,990000.000us,6240,160,6080
991,991000.000us,6160,0,6160
992,992000.000us,6240,80,6160
993,993000.000us,6240,80,6160
994,994000.000us,6240,80,6160
995,995000.000us,6240,0,6240
996,996000.000us,6240,80,6160
997,997000.000us,6160,80,6080
998,998000.000us,6240,160,6080
999,999000.000us,6160,0,6160
1000,1000000.000us,6240,80,6160
1001,1001000.000us,6240,80,6160
1002,1002000.000us,6240,160,6080
1003,1003000.000us,6160,0,6160
1004,1004000.000us,6240,160,6080
1005,1005000.000us,6240,80,6160
1006,1006000.000us,6320,80,6240
1007,1007000.000us,6240,0,6240
1008,1008000.000us,6240,80,6160
1009,1009000.000us,6240,80,6160
1010,1010000.000us,6320,80,6240
1011,1011000.000us,6160,0,6160
1012,1012000.000us,6240,80,6160
1013,1013000.000us,6160,80,6080
1014,1014000.000us,6240,160,6080
1015,1015000.000us,6160,0,6160
1016,1016000.000us,6240,80,6160
1017,1017000.000us,6240,80,6160
1018,1018000.000us,6240,80,6160
1019,1019000.000us,6240,80,6160
1020,1020000.000us,6240,80,6160
1021,1021000.000us,6240,80,6160
1022,1022000.000us,6320,80,6240
1023,1023000.000us,6160,0,6160
1024,1024000.000us,6240,80,6160
1025,1025000.000us,6240,80,6160
1026,1026000.000us,6320,160,6160
1027,1027000.000us,6240,0,6240
1028,1028000.000us,6240,80,6160
1029,1029000.000us,6240,80,6160
1030,1030000.000us,6320,80,6240
1031,1031000.000us,6160,0,6160
1032,1032000.000us,6240,80,6160
1033,1033000.000us,6240,0,6240
1034,1034000.000us,6240,80,6160
1035,1035000.000us,6160,0,6160
1036,1036000.000us,6240,0,6240
1037,1037000.000us,6240,80,6160
1038,1038000.000us,6320,160,6160
1039,1039000.000us,6240,0,6240
1040,1040000.000us,6240,80,6160
1041,1041000.000us,6240,80,6160
1042,1042000.000us,6240,80,6160
1043,1043000.000us,6080,0,6080
1044,1044000.000us,6160,80,6080
1045,1045000.000us,6240,80,6160
1046,1046000.000us,6240,160,6080
1047,1047000.000us,6160,80,6080
1048,1048000.000us,6240,160,6080
1049,1049000.000us,6240,80,6160
1050,1050000.000us,6320,80,6240
1051,1051000.000us,6160,0,6160
1052,1052000.000us,6240,0,6240
1053,1053000.000us,6240,80,6160
1054,1054000.000us,6240,80,6160
1055,1055000.000us,6160,0,6160
1056,1056000.000us,6240,80,6160
1057,1057000.000us,6240,80,6160
1058,1058000.000us,6240,160,6080
1059,1059000.000us,6160,80,6080
1060,1060000.000us,6240,80,6160
1061,1061000.000us,6240,160,6080
1062,1062000.000us,6240,160,6080
1063,1063000.000us,6160,0,6160
1064,1064000.000us,6240,80,6160
1065,1065000.000us,6240,80,6160
1066,1066000.000us,6240,160,6080
1067,1067000.000us,6160,80,6080
1068,1068000.000us,6240,160,6080
1069,1069000.000us,6240,80,6160
1070,1070000.000us,6240,80,6160
1071,1071000.000us,6160,0,6160
1072,1072000.000us,6240,80,6160
1073,1073000.000us,6240,80,6160
1074,1074000.000us,6320,80,6240
1075,1075000.000us,6240,0,6240
1076,1076000.000us,6240,80,6160
1077,1077000.000us,6240,80,6160
1078,1078000.000us,6240,80,6160
1079,1079000.000us,6160,0,6160
1080,1080000.000us,6240,80,6160
1081,1081000.000us,6240,80,6160
1082,1082000.000us,6320,80,6240
1083,1083000.000us,6160,0,6160
1084,1084000.000us,6240,80,6160
1085,1085000.000us,6240,80,6160
1086,1086000.000us,6320,80,6240
1087,1087000.000us,6160,80,6080
1088,1088000.000us,6240,80,6160
1089,1089000.000us,6160,80,6080
1090,1090000.000us,6320,80,6240
1091,1091000.000us,6160,0,6160
1092,1092000.000us,6240,80,6160
1093,1093000.000us,6240,80,6160
1094,1094000.000us,6240,160,6080
1095,1095000.000us,6160,0,6160
1096,1096000.000us,6240,80,6160
1097,1097000.000us,6240,80,6160
1098,1098000.000us,6240,160,6080
1099,1099000.000us,6160,80,6080
1100,1100000.000us,6240,160,6080
1101,1101000.000us,6240,80,6160
1102,1102000.000us,6240,160,6080
1103,1103000.000us,6160,0,6160
1104,1104000.000us,6240,80,6160
1105,1105000.000us,6240,80,6160
1106,1106000.000us,6240,160,6080
1107,1107000.000us,6160,0,6160
1108,1108000.000us,6240,160,6080
1109,1109000.000us,6240,80,6160
1110,1110000.000us,6240,80,6160
1111,1111000.000us,6160,0,6160
1112,1112000.000us,6240,80,6160
1113,1113000.000us,6240,80,6160
1114,1114000.000us,6240,160,6080
1115,1115000.000us,6160,0,6160
1116,1116000.000us,6240,80,6160
1117,1117000.000us,6160,0,6160
1118,1118000.000us,6320,80,6240
1119,1119000.000us,6160,0,6160
1120,1120000.000us,6240,80,6160
1121,1121000.000us,6160,80,6080
1122,1122000.000us,6240,80,6160
1123,1123000.000us,6160,0,6160
1124,1124000.000us,6240,80,6160
1125,1125000.000us,6240,80,6160
1126,1126000.000us,6320,160,6160
1127,1127000.000us,6160,0,6160
1128,1128000.000us,6240,0,6240
1129,1129000.000us,6240,80,6160
1130,1130000.000us,6240,160,6080
1131,1131000.000us,6160,0,6160
1132,1132000.000us,6240,160,6080
1133,1133000.000us,6240,80,6160
1134,1134000.000us,6240,80,6160
1135,1135000.000us,6160,0,6160
1136,1136000.000us,6240,80,6160
1137,1137000.000us,6160,80,6080
1138,1138000.000us,6320,80,6240
1139,1139000.000us,6160,0,6160
1140,1140000.000us,6240,80,6160
1141,1141000.000us,6240,80,6160
1142,1142000.000us,6240,80,6160
1143,1143000.000us,6160,0,6160
1144,1144000.000us,6240,80,6160
1145,1145000.000us,6240,80,6160
1146,1146000.000us,6320,160,6160
1147,1147000.000us,6160,0,6160
1148,1148000.000us,6240,80,6160
1149,1149000.000us,6240,80,6160
1150,1150000.000us,6320,160,6160
1151,1151000.000us,6160,0,6160
1152,1152000.000us,6240,80,6160
1153,1153000.000us,6240,80,6160
1154,1154000.000us,6240,160,6080
1155,1155000.000us,6160,0,6160
1156,1156000.000us,6240,80,6160
1157,1157000.000us,6240,80,6160
1158,1158000.000us,6240,160,6080
1159,1159000.000us,6240,80,6160
1160,1160000.000us,6240,80,6160
1161,1161000.000us,6240,80,6160
1162,1162000.000us,6240,80,6160
1163,1163000.000us,6240,-80,6320
1164,1164000.000us,6240,80,6160
1165,1165000.000us,6320,80,6240
1166,1166000.000us,6320,160,6160
1167,1167000.000us,6080,80,6000
1168,1168000.000us,6240,80,6160
1169,1169000.000us,6240,80,6160
1170,1170000.000us,6240,160,6080
1171,1171000.000us,6160,80,6080
1172,1172000.000us,6240,80,6160
1173,1173000.000us,6240,0,6240
1174,1174000.000us,6240,80,6160
1175,1175000.000us,6160,0,6160
