config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,5.981543872330196e-05,0.04084032,0.04084032,0.0032216297,0.0032216297,6.586836,6.586836,0.0026119973843785733
2.0,6.0136225679723303e-05,0.04545868,0.04545868,0.0032632772,0.0032632772,6.5846734,6.5846744,0.0026328603707066432
2.0,6.077779959256599e-05,0.055482432,0.055482432,0.0031594506,0.0031594506,6.5803394,6.5803456,0.0026745314702261106
2.0,6.206094741825137e-05,0.08066572,0.08066572,0.0031299896,0.0031299896,6.5716124,6.5716505,0.0027573293438965204
2.0,6.461224690846e-05,0.15750863,0.15750863,0.0028440082,0.0028440082,6.553983,6.554136,0.0028758845048808563
2.0,6.758082815191978e-05,0.3216417,0.3216417,0.0025088508,0.0025088508,6.5326767,6.5331,0.0030135896813071592
2.0,7.106536794362035e-05,0.7083408,0.7083408,0.0016007761,0.0016007761,6.505461,6.5065746,0.0031659091873631642
2.0,7.47778857593054e-05,1.5865486,1.5865486,-0.00017023175,-0.00017023175,6.4714713,6.4737306,0.0033158473284325505
2.0,7.822324867897838e-05,3.266547,3.266547,-0.0036644405,-0.0036644405,6.431438,6.4345617,0.003444032811737056
2.0,8.097289226782866e-05,5.702121,5.702121,-0.008520356,-0.008520356,6.389514,6.392101,0.003532386169491296
2.0,8.254979754099247e-05,8.441194,8.441194,-0.014097499,-0.014097499,6.3567433,6.3596497,0.003594232196350665
2.0,8.403255766466806e-05,13.299547,13.299547,-0.023774266,-0.023774266,6.314178,6.317906,0.0036523383177920333
2.0,8.546294121346761e-05,18.71458,18.71458,-0.03448413,-0.03448413,6.258877,6.2630186,0.00370911333096474
2.0,8.692928161677262e-05,24.792618,24.792618,-0.046323743,-0.046323743,6.180845,6.1899924,0.003793265250252442
2.0,8.986196242338263e-05,37.562214,37.562214,-0.07070478,-0.07070478,5.982918,5.9890685,0.003863309936316062
2.0,9.083888666537574e-05,41.72638,41.72638,-0.07806486,-0.07806486,5.9043818,5.9057364,0.0038919814711972285
2.0,9.150645698177591e-05,44.472572,44.472572,-0.08331282,-0.08331282,5.8440394,5.844206,0.003909542287975417
2.0,9.186722505620081e-05,43.403534,43.403534,-2.618959,-2.618959,5.8110924,5.8103642,0.003921389129307845
2.0,9.220818921842208e-05,36.697147,36.697147,-10.773047,-10.773047,5.7821665,5.7811007,0.003931783158605869
2.0,9.248911395381045e-05,29.742382,29.742382,-19.01392,-19.01392,5.76185,5.7608304,0.0039416576557103015
2.0,9.280316315960314e-05,22.88815,22.88815,-27.418005,-27.418005,5.74334,5.7424984,0.003951537527612859
2.0,9.308823683912142e-05,18.322723,18.322723,-33.480637,-33.480637,5.729842,5.729111,0.00396314243835826
2.0,9.351019980180462e-05,14.130025,14.130025,-40.007103,-40.007103,5.7135015,5.712986,0.003975190061205044
2.0,9.38264229294185e-05,12.49047,12.49047,-43.46501,-43.46501,5.7029505,5.7027426,0.003985784546030445
2.0,9.416171787804876e-05,11.516742,11.516742,-46.412537,-46.412537,5.692907,5.6927648,0.003997781701710593
2.0,9.456679662557723e-05,10.910676,10.910676,-49.45204,-49.45204,5.6814547,5.6813545,0.004011982051110943
2.0,9.504158599206092e-05,10.58737,10.58737,-52.684406,-52.684406,5.668492,5.668427,0.004029054815142464
2.0,9.562947962342485e-05,10.415397,10.415397,-56.532177,-56.532177,5.652767,5.6527195,0.004050457258904179
2.0,9.638118507372093e-05,10.310207,10.310207,-61.44656,-61.44656,5.6329093,5.6328573,0.004079799706150832
2.0,9.747902428647697e-05,10.205368,10.205368,-68.78002,-68.78002,5.6042047,5.6041074,0.004124477031575211
2.0,9.922627961300685e-05,10.058032,10.058032,-80.89706,-80.89706,5.5589213,5.558857,0.004163427712227601
2.0,0.0001000000019999994,9.996666,9.996666,-86.42739,-86.42739,5.5390058,5.5390058,0.004175297084934412
2.0,0.00010000001799999939,9.996617,9.996617,-86.42754,-86.42754,5.5390053,5.5390053,0.0041752988030467906
2.0,0.0001000001139999994,9.99665,9.99665,-86.4282,-86.4282,5.539003,5.539003,0.004175362127706377
2.0,0.0001000041459999994,9.996385,9.996385,-86.457245,-86.457245,5.5389,5.5389,0.004175485827096311
2.0,0.0001000081779999994,9.996037,9.996037,-86.486336,-86.486336,5.5387964,5.5387964,0.0041759246490226075
2.0,0.00010003275399999943,9.994115,9.994115,-86.663605,-86.663605,5.538168,5.538168,0.00417780909394601
2.0,0.00010013105799999955,9.986427,9.986427,-87.37365,-87.37365,5.5356545,5.535654,0.004242575168256386
2.0,0.00010425982600000423,9.677229,9.677229,-118.40892,-118.40892,5.4319353,5.4316173,0.004364391136152033
2.0,0.00010838859400000891,9.391142,9.391142,-151.43658,-151.43658,5.331179,5.330466,0.0044835971915054024
2.0,0.00011264939955538849,9.109909,9.109909,-186.71317,-186.71317,5.229818,5.228924,0.004615961402663201
2.0,0.00011806918122300161,8.756457,8.756457,-232.03194,-232.03194,5.1050825,5.103824,0.004763531438832239
2.0,0.0001239767863800009,8.349526,8.349526,-279.50565,-279.50565,4.973779,4.9727225,0.004886076494777625
2.0,0.00012797852838834173,7.9804044,7.9804044,-307.99664,-307.99664,4.888248,4.887459,0.0049693001778178085
2.0,0.00013094370224494997,7.498156,7.498156,-324.03302,-324.03302,4.8277264,4.8270216,0.005023662705094828
2.0,0.00013264413117952545,6.73259,6.73259,-327.88727,-327.88727,4.7948213,4.794577,0.005057228726438083
2.0,0.000133863865666506,6.8223796,6.8223796,-328.59445,-328.59445,4.7721515,4.7721477,0.0050833109312169375
2.0,0.00013493471510968479,6.7460113,6.7460113,-329.3029,-329.3029,4.7524924,4.752472,0.005108073688339093
2.0,0.0001360566100210174,6.764574,6.764574,-329.91437,-329.91437,4.7319565,4.731943,0.005137932533158078
2.0,0.00013760171339692568,6.7309904,6.7309904,-330.72214,-330.72214,4.70376,4.7037334,0.005209788503737791
2.0,0.0001425519960488058,6.732964,6.732964,-332.47522,-332.47522,4.6137285,4.613797,0.005315801654049565
2.0,0.0001475621687680939,6.878651,6.878651,-332.56873,-332.56873,4.5212255,4.5225024,0.0054268929713833
2.0,0.00015341813155539746,7.777444,7.777444,-327.7443,-327.7443,4.4074135,4.410291,0.005507053875642039
2.0,0.00015581003403042544,10.324317,10.324317,-319.55222,-319.55222,4.3540215,4.3564024,0.005541378606076539
