Save Time: 2026-02-13 12:59:23,,,,,,
Units:(mV),,,,,,
,,CH2,,,CH1,
Frequency:,,?,,,1.000 Hz,
Period:,,?,,,1000.000 mS,
SP:,,2000.000 uS,,,2000.000 uS,
PK-PK:,,3.400 V,,,3.520 V,
,,CH1,ch2,,,math
298,,80,3320,,594000,3240
299,,80,3320,,596000,3240
300,,80,3280,,598000,3200
301,,80,3320,,600000,3240
302,,160,3320,,602000,3160
303,,160,3320,,604000,3160
304,,80,3280,,606000,3200
305,,160,3360,,608000,3200
306,,80,3320,,610000,3240
307,,80,3320,,612000,3240
308,,80,3320,,614000,3240
309,,80,3320,,616000,3240
310,,80,3280,,618000,3200
311,,80,3320,,620000,3240
312,,0,3320,,622000,3320
313,,80,3320,,624000,3240
314,,80,3280,,626000,3200
315,,80,3320,,628000,3240
316,,80,3320,,630000,3240
317,,80,3320,,632000,3240
318,,160,3320,,634000,3160
319,,80,3320,,636000,3240
320,,3360,3320,,638000,-40
321,,3360,3320,,640000,-40
322,,3440,3320,,642000,-120
323,,3440,3320,,644000,-120
324,,3440,3320,,646000,-120
325,,3440,3360,,648000,-80
326,,3440,3320,,650000,-120
327,,3360,3320,,652000,-40
328,,3440,3320,,654000,-120
329,,3440,3320,,656000,-120
330,,3360,3320,,658000,-40
331,,3440,3320,,660000,-120
332,,3440,3320,,662000,-120
333,,3440,3320,,664000,-120
334,,3440,3320,,666000,-120
335,,3360,3280,,668000,-80
336,,3440,3320,,670000,-120
337,,3360,3360,,672000,0
338,,3440,3320,,674000,-120
339,,3360,3320,,676000,-40
340,,3440,3320,,678000,-120
341,,3440,3360,,680000,-80
342,,3360,3320,,682000,-40
343,,3440,3320,,684000,-120
344,,3360,3320,,686000,-40
345,,3440,3320,,688000,-120
346,,3440,3320,,690000,-120
347,,3440,3360,,692000,-80
348,,3440,3320,,694000,-120
349,,3360,3320,,696000,-40
350,,3440,3320,,698000,-120
351,,3440,3280,,700000,-160
352,,3360,3320,,702000,-40
353,,3440,3320,,704000,-120
354,,3440,3320,,706000,-120
355,,3360,3320,,708000,-40
356,,3440,3320,,710000,-120
357,,3360,3320,,712000,-40
358,,3440,3320,,714000,-120
359,,3360,3320,,716000,-40
360,,3440,3320,,718000,-120
361,,3440,3320,,720000,-120
362,,3440,3320,,722000,-120
363,,3440,3320,,724000,-120
364,,3440,3320,,726000,-120
365,,3440,3280,,728000,-160
366,,3440,3280,,730000,-160
367,,3440,3320,,732000,-120
368,,3440,3320,,734000,-120
369,,3440,3320,,736000,-120
370,,3440,3400,,738000,-40
371,,3360,3320,,740000,-40
372,,3440,3320,,742000,-120
373,,3360,3320,,744000,-40
374,,3360,3360,,746000,0
375,,3360,3320,,748000,-40
376,,3440,3360,,750000,-80
377,,3440,3320,,752000,-120
378,,3440,3320,,754000,-120
379,,3440,3320,,756000,-120
380,,3440,3360,,758000,-80
381,,3440,3320,,760000,-120
382,,3360,3320,,762000,-40
383,,3360,3320,,764000,-40
384,,3440,3320,,766000,-120
385,,3440,3320,,768000,-120
386,,3360,3320,,770000,-40
387,,3440,3320,,772000,-120
388,,3440,3320,,774000,-120
389,,3440,3320,,776000,-120
390,,3440,3320,,778000,-120
391,,3360,3320,,780000,-40
392,,3440,3320,,782000,-120
393,,3440,3320,,784000,-120
394,,3360,3360,,786000,0
395,,3440,3320,,788000,-120
396,,3440,3360,,790000,-80
397,,3440,3320,,792000,-120
398,,3440,3320,,794000,-120
399,,3360,3360,,796000,0
400,,3440,3320,,798000,-120
401,,3360,3320,,800000,-40
402,,3440,3320,,802000,-120
403,,3360,3320,,804000,-40
404,,3360,3320,,806000,-40
