Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
771,770000,3440,2720
772,771000,3440,2720
773,772000,3440,2800
774,773000,3520,2800
775,774000,3440,880
776,775000,3440,880
777,776000,3520,880
778,777000,3520,960
779,778000,3360,880
780,779000,3440,880
781,780000,3440,880
782,781000,3520,960
783,782000,3440,880
784,783000,3440,960
785,784000,3440,880
786,785000,3520,960
787,786000,3440,800
788,787000,3440,800
789,788000,3520,880
790,789000,3520,960
791,790000,3440,800
792,791000,3440,880
793,792000,3440,880
794,793000,3520,960
795,794000,3440,800
796,795000,3440,880
797,796000,3440,880
798,797000,3520,960
799,798000,3360,800
800,799000,3440,880
801,800000,3440,880
802,801000,3520,960
803,802000,3440,800
804,803000,3440,880
805,804000,3440,880
806,805000,3520,960
807,806000,3440,800
808,807000,3440,960
809,808000,3440,880
810,809000,3520,960
811,810000,3360,800
812,811000,3440,800
813,812000,3440,880
814,813000,3520,960
815,814000,3440,800
816,815000,3440,880
817,816000,3520,880
818,817000,3520,960
819,818000,3360,880
820,819000,3520,880
821,820000,3440,880
822,821000,3520,880
823,822000,3440,800
824,823000,3440,880
825,824000,3520,880
826,825000,3520,880
827,826000,3360,880
828,827000,3520,880
829,828000,3440,880
830,829000,3520,960
831,830000,3360,880
832,831000,3360,880
833,832000,3360,880
834,833000,3520,960
835,834000,3360,880
836,835000,3440,960
837,836000,3440,880
838,837000,3520,880
839,838000,3440,800
840,839000,3520,880
841,840000,3440,800
842,841000,3520,880
843,842000,3440,800
844,843000,3440,880
845,844000,3440,800
846,845000,3520,880
847,846000,3440,800
848,847000,3440,880
849,848000,3440,880
850,849000,3520,960
851,850000,3360,880
852,851000,3360,880
853,852000,3360,880
854,853000,3520,880
855,854000,3360,880
856,855000,3440,880
857,856000,3440,960
858,857000,3520,960
859,858000,3360,800
860,859000,3440,880
861,860000,3520,880
862,861000,3520,960
863,862000,3440,800
864,863000,3440,800
865,864000,3440,960
866,865000,3520,960
867,866000,3440,880
868,867000,3520,880
869,868000,3520,880
870,869000,3520,880
871,870000,3440,800
872,871000,3440,800
873,872000,3440,880
874,873000,3520,960
875,874000,3440,880
876,875000,3440,880
877,876000,3520,880
878,877000,3520,880
879,878000,3360,800
880,879000,3520,880
881,880000,3440,880
882,881000,3440,960
883,882000,3440,800
884,883000,3440,960
885,884000,3440,880
886,885000,3520,960
887,886000,3440,880
888,887000,3440,880
889,888000,3520,880
890,889000,3520,960
891,890000,3440,880
892,891000,3440,880
893,892000,3520,960
894,893000,3520,960
895,894000,3440,800
896,895000,3440,880
897,896000,3440,880
898,897000,3520,960
899,898000,3440,880
900,899000,3440,880
901,900000,3440,880
902,901000,3520,960
903,902000,3440,800
904,903000,3440,800
905,904000,3440,800
906,905000,3520,960
907,906000,3440,800
908,907000,3440,960
909,908000,3520,880
910,909000,3520,880
911,910000,3440,800
912,911000,3440,800
913,912000,3440,960
914,913000,3520,960
915,914000,3440,800
916,915000,3440,800
917,916000,3520,800
918,917000,3520,880
919,918000,3360,800
920,919000,3520,880
921,920000,3520,880
922,921000,3520,880
923,922000,3360,880
924,923000,3440,880
925,924000,3520,800
926,925000,3520,960
927,926000,3440,800
928,927000,3440,800
929,928000,3440,880
930,929000,3520,880
931,930000,3440,800
932,931000,3440,800
933,932000,3520,880
934,933000,3520,880
935,934000,3360,880
936,935000,3360,880
937,936000,3440,880
938,937000,3520,880
939,938000,3360,800
940,939000,3440,880
941,940000,3440,800
942,941000,3520,960
943,942000,3440,800
944,943000,3440,880
945,944000,3520,880
946,945000,3520,880
947,946000,3440,880
948,947000,3520,880
949,948000,3440,880
950,949000,3520,960
951,950000,3360,800
952,951000,3440,880
953,952000,3440,880
954,953000,3520,960
955,954000,3360,800
956,955000,3440,880
957,956000,3440,880
958,957000,3520,960
959,958000,3360,800
960,959000,3520,960
961,960000,3520,880
962,961000,3520,880
963,962000,3360,800
964,963000,3440,880
965,964000,3520,960
966,965000,3520,960
967,966000,3440,880
968,967000,3440,880
969,968000,3440,880
970,969000,3520,960
971,970000,3440,880
972,971000,3440,880
973,972000,3440,880
974,973000,3520,880
975,974000,3440,880
976,975000,3440,880
977,976000,3440,800
978,977000,3520,880
979,978000,3440,800
980,979000,3520,880
981,980000,3440,880
982,981000,3520,880
983,982000,3360,880
984,983000,3520,880
985,984000,3520,880
986,985000,3520,880
987,986000,3440,800
988,987000,3440,880
989,988000,3440,880
990,989000,3520,880
991,990000,3440,800
992,991000,3440,880
993,992000,3440,880
994,993000,3600,960
995,994000,3440,880
996,995000,3440,880
997,996000,3520,960
998,997000,3520,960
999,998000,3360,880
1000,999000,3360,880
1001,1000000,3440,800
1002,1001000,3520,880
1003,1002000,3440,800
1004,1003000,3440,880
1005,1004000,3440,880
1006,1005000,3520,960
1007,1006000,3360,880
1008,1007000,3520,960
1009,1008000,3440,880
1010,1009000,3520,960
1011,1010000,3360,880
1012,1011000,3440,880
1013,1012000,3520,880
1014,1013000,3520,880
1015,1014000,3440,800
1016,1015000,3520,880
1017,1016000,3440,880
1018,1017000,3520,960
1019,1018000,3360,880
1020,1019000,3440,960
1021,1020000,3520,880
1022,1021000,3520,960
1023,1022000,3360,800
1024,1023000,3520,880
1025,1024000,3440,800
1026,1025000,3440,960
1027,1026000,0,800
1028,1027000,80,880
1029,1028000,80,880
1030,1029000,160,880
1031,1030000,0,880
1032,1031000,0,880
1033,1032000,80,880
1034,1033000,160,880
1035,1034000,0,800
1036,1035000,80,880
1037,1036000,160,800
1038,1037000,160,1040
1039,1038000,80,800
1040,1039000,80,880
1041,1040000,80,880
1042,1041000,160,960
1043,1042000,80,880
1044,1043000,80,960
1045,1044000,0,880
1046,1045000,80,880
1047,1046000,0,880
1048,1047000,80,880
1049,1048000,80,880
1050,1049000,160,960
1051,1050000,0,880
1052,1051000,80,880
1053,1052000,80,880
1054,1053000,80,960
1055,1054000,80,880
1056,1055000,80,880
1057,1056000,0,880
1058,1057000,160,960
1059,1058000,0,880
1060,1059000,80,880
1061,1060000,80,880
1062,1061000,80,960
1063,1062000,0,800
1064,1063000,80,880
1065,1064000,160,960
1066,1065000,160,960
1067,1066000,0,880
1068,1067000,0,880
1069,1068000,160,960
1070,1069000,160,960
1071,1070000,0,800
1072,1071000,0,880
1073,1072000,80,880
1074,1073000,160,2800
1075,1074000,80,880
1076,1075000,80,2800
1077,1076000,80,2720
1078,1077000,3520,2800
1079,1078000,80,2720
1080,1079000,3440,2720
1081,1080000,3440,2720
1082,1081000,3520,2800
1083,1082000,3360,2640
1084,1083000,3440,2720
1085,1084000,3440,2720
1086,1085000,3520,2800
1087,1086000,3360,2720
1088,1087000,3360,2720
1089,1088000,3440,2800
1090,1089000,3520,2800
1091,1090000,3440,2720
1092,1091000,3440,2720
1093,1092000,3520,2720
1094,1093000,3520,2800
1095,1094000,3440,2640
1096,1095000,3440,2720
1097,1096000,3440,2800
1098,1097000,3520,2800
1099,1098000,3440,2720
1100,1099000,3440,2720
1101,1100000,3440,2720
1102,1101000,3520,2800
1103,1102000,3440,2720
1104,1103000,3440,2720
1105,1104000,3440,2800
1106,1105000,3520,2800
1107,1106000,3360,2720
1108,1107000,3440,2720
1109,1108000,3440,2720
1110,1109000,3520,2800
1111,1110000,3360,2640
1112,1111000,3520,2720
1113,1112000,3440,2720
1114,1113000,3520,2800
1115,1114000,3440,2720
1116,1115000,3440,2720
1117,1116000,3440,2800
1118,1117000,3520,2880
1119,1118000,0,2720
1120,1119000,0,2720
1121,1120000,80,2720
1122,1121000,160,2800
1123,1122000,0,2640
1124,1123000,80,2720
1125,1124000,80,2800
1126,1125000,80,3280
1127,1126000,0,2720
1128,1127000,80,3280
1129,1128000,80,3200
1130,1129000,160,3280
1131,1130000,0,3200
1132,1131000,0,3280
1133,1132000,80,3280
1134,1133000,80,3280
1135,1134000,80,3200
1136,1135000,80,3200
1137,1136000,80,3200
1138,1137000,160,3280
1139,1138000,0,3200
1140,1139000,160,3200
1141,1140000,0,3280
1142,1141000,160,3280
1143,1142000,0,3200
1144,1143000,160,3200
1145,1144000,80,3280
1146,1145000,80,3280
1147,1146000,0,3200
1148,1147000,80,3200
1149,1148000,80,3200
1150,1149000,80,3280
1151,1150000,80,3200
1152,1151000,80,3280
1153,1152000,80,3280
1154,1153000,160,3280
1155,1154000,80,3200
1156,1155000,80,3280
1157,1156000,80,3280
1158,1157000,160,3280
1159,1158000,80,3200
1160,1159000,80,3280
1161,1160000,160,3200
1162,1161000,160,3280
1163,1162000,0,3200
1164,1163000,80,3200
1165,1164000,80,3280
1166,1165000,160,3280
1167,1166000,0,3200
1168,1167000,160,3200
1169,1168000,80,3200
1170,1169000,160,3280
1171,1170000,0,3200
1172,1171000,160,3280
1173,1172000,80,3200
1174,1173000,80,3280
1175,1174000,0,3200
1176,1175000,80,3280
1177,1176000,80,3280
1178,1177000,80,3280
1179,1178000,80,3200
1180,1179000,80,3280
1181,1180000,80,3200
1182,1181000,80,3280
1183,1182000,0,3200
1184,1183000,0,3200
1185,1184000,80,3200
1186,1185000,80,3280
1187,1186000,80,3200
1188,1187000,80,3280
1189,1188000,80,3200
1190,1189000,80,3280
1191,1190000,0,3200
1192,1191000,80,3280
1193,1192000,80,3200
1194,1193000,160,3280
1195,1194000,80,3200
1196,1195000,80,3200
1197,1196000,80,3280
1198,1197000,160,3280
1199,1198000,0,3200
1200,1199000,80,3200
1201,1200000,160,3200
1202,1201000,160,3280
1203,1202000,0,3200
1204,1203000,80,3280
1205,1204000,80,3280
1206,1205000,160,3280
1207,1206000,80,3200
1208,1207000,160,3280
1209,1208000,80,3280
