Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
665,664000,80,3200
666,665000,160,3280
667,666000,0,3200
668,667000,80,3200
669,668000,80,3200
670,669000,160,3280
671,670000,80,3200
672,671000,80,3200
673,672000,80,3200
674,673000,80,3280
675,674000,0,3200
676,675000,0,3200
677,676000,80,3200
678,677000,160,3280
679,678000,80,3200
680,679000,80,3200
681,680000,80,3280
682,681000,80,3280
683,682000,80,3200
684,683000,80,3200
685,684000,80,3200
686,685000,80,3280
687,686000,0,3200
688,687000,80,3280
689,688000,80,3280
690,689000,160,3280
691,690000,80,3200
692,691000,80,3280
693,692000,80,3200
694,693000,160,3280
695,694000,0,3200
696,695000,80,3280
697,696000,80,3280
698,697000,160,3280
699,698000,0,3200
700,699000,80,3280
701,700000,80,3280
702,701000,160,3280
703,702000,80,3200
704,703000,80,3200
705,704000,80,3280
706,705000,80,3280
707,706000,0,3200
708,707000,80,3280
709,708000,80,3200
710,709000,80,3280
711,710000,0,3200
712,711000,80,3200
713,712000,160,3200
714,713000,160,3280
715,714000,0,3200
716,715000,160,3280
717,716000,80,3200
718,717000,160,3280
719,718000,80,3200
720,719000,80,3280
721,720000,80,3200
722,721000,80,3280
723,722000,0,2720
724,723000,80,2800
725,724000,0,2720
726,725000,160,2800
727,726000,0,2720
