Save Time: 2026-07-14 15:23:55,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.423 Hz,
Period:,351.500 mS,702.667 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.440 V,
,,,
890,889000,3440,80
891,890000,3440,80
892,891000,3440,0
893,892000,3440,80
894,893000,3360,80
895,894000,3440,80
896,895000,3360,0
897,896000,3440,0
898,897000,3360,80
899,898000,3520,80
900,899000,3360,0
901,900000,3520,80
902,901000,3440,0
903,902000,3520,80
904,903000,3440,-80
905,904000,3440,80
906,905000,3440,80
907,906000,3440,80
908,907000,3360,0
909,908000,3440,80
910,909000,3440,80
911,910000,3520,80
912,911000,3360,80
913,912000,3520,80
914,913000,3440,80
915,914000,3520,80
916,915000,3440,0
917,916000,3440,80
918,917000,3440,80
919,918000,3520,80
920,919000,3440,0
921,920000,3440,0
922,921000,3440,0
923,922000,3520,80
924,923000,3360,0
925,924000,3520,0
926,925000,3440,80
927,926000,3520,80
928,927000,3440,0
929,928000,3440,80
930,929000,3440,80
931,930000,3520,80
932,931000,3440,0
933,932000,3440,80
934,933000,3440,80
935,934000,3520,80
936,935000,3440,0
937,936000,3440,0
938,937000,3440,0
939,938000,3520,160
940,939000,3360,0
941,940000,3440,0
942,941000,3520,80
943,942000,3520,80
944,943000,3440,0
945,944000,3440,80
946,945000,3440,0
947,946000,3520,160
948,947000,3360,0
949,948000,3440,0
950,949000,3520,80
951,950000,3520,160
952,951000,3440,0
953,952000,3440,80
954,953000,3440,80
955,954000,3520,80
956,955000,3360,0
957,956000,3520,80
958,957000,3440,80
959,958000,3520,80
960,959000,3440,0
961,960000,3440,80
962,961000,3520,80
963,962000,3520,160
964,963000,3440,0
965,964000,3440,80
966,965000,3440,80
967,966000,3520,80
968,967000,3440,0
969,968000,3440,80
970,969000,3440,80
971,970000,3520,80
972,971000,3440,80
973,972000,3440,80
974,973000,3440,80
975,974000,3520,80
976,975000,3360,0
977,976000,3440,0
978,977000,3440,80
979,978000,3520,80
980,979000,3360,0
981,980000,3360,0
982,981000,3440,0
983,982000,3520,80
984,983000,3360,0
985,984000,3520,80
986,985000,3440,80
987,986000,3520,80
988,987000,3440,0
989,988000,3440,0
990,989000,3520,80
991,990000,3520,80
992,991000,3360,0
993,992000,3360,80
994,993000,3440,80
995,994000,3520,80
996,995000,3360,0
997,996000,3520,80
998,997000,3440,80
999,998000,3520,80
1000,999000,3440,0
1001,1000000,3440,0
1002,1001000,3360,80
1003,1002000,3520,80
1004,1003000,3360,0
1005,1004000,3440,0
1006,1005000,3440,0
1007,1006000,3520,80
1008,1007000,3440,0
1009,1008000,3440,80
1010,1009000,3520,0
1011,1010000,3520,80
1012,1011000,3440,-80
1013,1012000,3440,0
1014,1013000,3360,0
1015,1014000,3520,80
1016,1015000,3360,0
1017,1016000,3440,80
1018,1017000,3520,0
1019,1018000,3520,80
1020,1019000,3440,-80
1021,1020000,3440,80
1022,1021000,3440,80
1023,1022000,3520,80
1024,1023000,80,0
1025,1024000,80,80
1026,1025000,80,0
1027,1026000,160,80
1028,1027000,0,0
1029,1028000,0,0
1030,1029000,80,0
1031,1030000,80,80
1032,1031000,80,0
1033,1032000,80,0
1034,1033000,80,80
1035,1034000,160,80
1036,1035000,0,80
1037,1036000,160,80
1038,1037000,80,0
1039,1038000,160,80
1040,1039000,0,0
1041,1040000,80,80
1042,1041000,80,0
1043,1042000,80,80
1044,1043000,80,0
1045,1044000,80,0
1046,1045000,80,80
1047,1046000,160,80
1048,1047000,80,-80
1049,1048000,80,0
1050,1049000,80,80
1051,1050000,80,80
1052,1051000,0,0
1053,1052000,80,80
1054,1053000,80,80
1055,1054000,160,80
1056,1055000,80,0
1057,1056000,80,80
1058,1057000,80,80
1059,1058000,80,160
1060,1059000,0,0
1061,1060000,0,80
1062,1061000,80,0
1063,1062000,160,80
1064,1063000,80,0
1065,1064000,80,80
1066,1065000,80,80
1067,1066000,160,80
1068,1067000,0,0
1069,1068000,80,0
1070,1069000,80,80
1071,1070000,160,80
1072,1071000,0,80
1073,1072000,80,80
1074,1073000,80,80
1075,1074000,3520,80
1076,1075000,80,0
1077,1076000,3440,80
1078,1077000,3440,80
1079,1078000,3520,80
1080,1079000,3440,0
1081,1080000,3440,80
1082,1081000,3440,80
1083,1082000,3520,80
1084,1083000,3440,0
1085,1084000,3440,80
1086,1085000,3440,80
1087,1086000,3520,80
1088,1087000,3440,0
1089,1088000,3440,0
1090,1089000,3440,80
1091,1090000,3520,80
1092,1091000,3440,0
1093,1092000,3440,80
1094,1093000,3440,80
1095,1094000,3520,80
1096,1095000,3360,0
1097,1096000,3440,80
1098,1097000,3440,80
1099,1098000,3520,80
1100,1099000,3360,0
1101,1100000,3440,80
1102,1101000,3520,80
1103,1102000,3520,80
1104,1103000,3360,0
1105,1104000,3360,80
1106,1105000,3440,80
1107,1106000,3520,80
1108,1107000,3440,0
1109,1108000,3520,0
1110,1109000,3440,-80
1111,1110000,3520,80
1112,1111000,3440,-80
1113,1112000,3440,80
1114,1113000,3520,80
1115,1114000,3520,80
1116,1115000,160,0
1117,1116000,160,80
1118,1117000,80,80
1119,1118000,80,80
1120,1119000,80,0
1121,1120000,80,80
1122,1121000,80,0
1123,1122000,80,3200
1124,1123000,0,0
1125,1124000,0,3200
1126,1125000,80,3200
1127,1126000,160,3280
1128,1127000,0,3200
1129,1128000,80,3200
1130,1129000,160,3280
1131,1130000,160,3280
1132,1131000,80,3200
1133,1132000,80,3280
1134,1133000,80,3200
1135,1134000,80,3280
1136,1135000,80,3200
1137,1136000,80,3200
1138,1137000,80,3200
1139,1138000,80,3280
1140,1139000,0,3200
1141,1140000,80,3200
1142,1141000,80,3280
1143,1142000,160,3280
1144,1143000,0,3200
1145,1144000,80,3280
1146,1145000,80,3200
1147,1146000,80,3280
1148,1147000,0,3120
1149,1148000,80,3200
1150,1149000,80,3280
1151,1150000,160,3360
1152,1151000,0,3120
1153,1152000,0,3200
1154,1153000,80,3280
1155,1154000,80,3280
1156,1155000,0,3200
1157,1156000,0,3280
1158,1157000,80,3280
1159,1158000,160,3280
1160,1159000,80,3200
1161,1160000,80,3280
1162,1161000,80,3200
1163,1162000,160,3280
1164,1163000,0,3200
1165,1164000,80,3280
1166,1165000,80,3280
1167,1166000,160,3280
1168,1167000,0,3200
1169,1168000,0,3280
1170,1169000,80,3200
1171,1170000,160,3280
1172,1171000,0,3200
1173,1172000,80,3280
1174,1173000,80,3280
1175,1174000,80,3280
1176,1175000,0,3120
1177,1176000,0,3200
1178,1177000,80,3200
1179,1178000,160,3280
1180,1179000,80,3200
1181,1180000,160,3200
1182,1181000,80,3200
1183,1182000,80,3280
1184,1183000,80,3120
1185,1184000,80,3200
1186,1185000,80,3200
1187,1186000,160,3280
1188,1187000,0,3200
1189,1188000,160,3200
1190,1189000,80,3280
1191,1190000,160,3280
1192,1191000,0,3200
1193,1192000,160,3280
1194,1193000,80,3280
1195,1194000,80,3280
1196,1195000,80,3200
1197,1196000,80,3200
1198,1197000,80,3280
1199,1198000,80,3280
1200,1199000,0,3200
1201,1200000,80,3280
1202,1201000,80,3280
1203,1202000,160,3280
1204,1203000,0,3200
1205,1204000,80,3280
1206,1205000,80,3280
1207,1206000,160,3280
1208,1207000,0,3200
1209,1208000,80,3280
1210,1209000,80,3280
1211,1210000,160,3280
1212,1211000,80,3200
1213,1212000,80,3200
1214,1213000,80,3200
1215,1214000,80,3280
1216,1215000,0,3200
1217,1216000,80,3280
1218,1217000,80,3200
1219,1218000,80,3280
1220,1219000,0,3200
1221,1220000,80,3280
1222,1221000,80,3200
1223,1222000,80,3280
1224,1223000,80,3200
1225,1224000,80,3280
1226,1225000,160,3200
1227,1226000,160,3280
1228,1227000,0,3200
1229,1228000,80,3280
1230,1229000,80,3200
1231,1230000,80,3280
1232,1231000,0,3200
1233,1232000,80,3200
1234,1233000,80,3200
1235,1234000,160,3280
1236,1235000,0,3200
1237,1236000,80,3200
1238,1237000,80,3280
1239,1238000,80,3280
1240,1239000,0,3200
1241,1240000,80,3280
1242,1241000,80,3200
1243,1242000,160,3280
1244,1243000,0,3120
1245,1244000,0,3200
1246,1245000,80,3200
1247,1246000,160,3280
1248,1247000,80,3200
1249,1248000,80,3280
1250,1249000,160,3200
1251,1250000,160,3280
1252,1251000,0,3200
1253,1252000,80,3200
1254,1253000,0,3200
1255,1254000,160,3280
1256,1255000,0,3200
1257,1256000,80,3280
1258,1257000,80,3280
1259,1258000,160,3360
1260,1259000,80,3200
1261,1260000,80,3200
1262,1261000,80,3200
1263,1262000,160,3280
1264,1263000,0,3120
1265,1264000,80,3200
1266,1265000,80,3280
1267,1266000,160,3280
1268,1267000,0,3200
1269,1268000,80,3280
1270,1269000,0,3200
1271,1270000,80,3280
1272,1271000,0,3200
1273,1272000,80,3280
1274,1273000,80,3200
1275,1274000,80,3280
1276,1275000,0,3200
1277,1276000,80,3200
1278,1277000,80,3200
1279,1278000,160,3280
1280,1279000,80,3200
1281,1280000,80,3200
1282,1281000,80,3200
1283,1282000,80,3280
1284,1283000,0,3200
1285,1284000,80,3200
1286,1285000,160,3280
1287,1286000,160,3280
1288,1287000,0,3200
1289,1288000,80,3200
1290,1289000,80,3200
1291,1290000,160,3280
1292,1291000,80,3200
1293,1292000,80,3280
1294,1293000,80,3200
1295,1294000,160,3280
1296,1295000,0,3200
