Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
1814,1814000.000us,3520,80
1815,1815000.000us,3440,0
1816,1816000.000us,3520,80
1817,1817000.000us,3440,0
1818,1818000.000us,3520,80
1819,1819000.000us,3440,0
1820,1820000.000us,3520,0
1821,1821000.000us,3360,0
1822,1822000.000us,3440,80
1823,1823000.000us,80,0
1824,1824000.000us,80,0
1825,1825000.000us,80,80
1826,1826000.000us,160,80
1827,1827000.000us,0,0
1828,1828000.000us,160,0
1829,1829000.000us,80,80
1830,1830000.000us,80,3440
1831,1831000.000us,0,0
1832,1832000.000us,80,80
1833,1833000.000us,160,80
1834,1834000.000us,160,80
1835,1835000.000us,80,0
1836,1836000.000us,80,80
1837,1837000.000us,80,0
1838,1838000.000us,80,80
1839,1839000.000us,0,0
1840,1840000.000us,80,0
1841,1841000.000us,80,80
1842,1842000.000us,160,80
1843,1843000.000us,80,0
1844,1844000.000us,80,80
1845,1845000.000us,80,80
1846,1846000.000us,80,80
1847,1847000.000us,0,0
1848,1848000.000us,80,80
1849,1849000.000us,80,0
1850,1850000.000us,80,80
1851,1851000.000us,0,0
1852,1852000.000us,80,0
1853,1853000.000us,80,0
1854,1854000.000us,80,80
1855,1855000.000us,0,0
1856,1856000.000us,80,0
1857,1857000.000us,80,0
1858,1858000.000us,160,80
1859,1859000.000us,0,-80
1860,1860000.000us,80,80
1861,1861000.000us,80,80
1862,1862000.000us,80,80
1863,1863000.000us,0,0
1864,1864000.000us,80,80
1865,1865000.000us,80,80
1866,1866000.000us,80,80
1867,1867000.000us,0,0
1868,1868000.000us,80,80
1869,1869000.000us,80,0
1870,1870000.000us,80,80
1871,1871000.000us,0,-80
1872,1872000.000us,80,80
1873,1873000.000us,80,80
1874,1874000.000us,160,80
1875,1875000.000us,80,0
1876,1876000.000us,80,80
1877,1877000.000us,80,0
1878,1878000.000us,160,80
1879,1879000.000us,0,0
1880,1880000.000us,80,80
1881,1881000.000us,80,80
1882,1882000.000us,160,80
1883,1883000.000us,0,0
1884,1884000.000us,0,0
1885,1885000.000us,80,0
1886,1886000.000us,80,80
1887,1887000.000us,0,0
1888,1888000.000us,80,0
1889,1889000.000us,80,0
1890,1890000.000us,80,80
1891,1891000.000us,0,0
1892,1892000.000us,80,0
1893,1893000.000us,80,0
1894,1894000.000us,80,80
1895,1895000.000us,0,0
1896,1896000.000us,80,0
1897,1897000.000us,80,0
1898,1898000.000us,160,80
1899,1899000.000us,0,0
1900,1900000.000us,80,0
1901,1901000.000us,80,80
1902,1902000.000us,80,80
1903,1903000.000us,0,0
1904,1904000.000us,80,0
1905,1905000.000us,80,0
1906,1906000.000us,80,80
1907,1907000.000us,80,0
1908,1908000.000us,80,80
1909,1909000.000us,80,80
1910,1910000.000us,80,80
1911,1911000.000us,0,0
1912,1912000.000us,80,0
1913,1913000.000us,80,80
1914,1914000.000us,160,80
1915,1915000.000us,80,0
1916,1916000.000us,80,0
1917,1917000.000us,0,80
1918,1918000.000us,80,80
1919,1919000.000us,0,0
1920,1920000.000us,80,0
1921,1921000.000us,80,80
1922,1922000.000us,80,80
1923,1923000.000us,0,0
1924,1924000.000us,80,80
1925,1925000.000us,80,0
1926,1926000.000us,80,80
1927,1927000.000us,80,0
1928,1928000.000us,80,80
1929,1929000.000us,80,0
1930,1930000.000us,160,80
1931,1931000.000us,80,0
1932,1932000.000us,80,80
1933,1933000.000us,80,80
1934,1934000.000us,80,80
1935,1935000.000us,0,0
1936,1936000.000us,80,0
1937,1937000.000us,80,80
1938,1938000.000us,160,80
1939,1939000.000us,0,0
1940,1940000.000us,80,0
1941,1941000.000us,0,0
1942,1942000.000us,160,80
1943,1943000.000us,0,0
1944,1944000.000us,80,0
1945,1945000.000us,80,0
1946,1946000.000us,80,80
1947,1947000.000us,0,0
1948,1948000.000us,80,0
1949,1949000.000us,80,0
1950,1950000.000us,160,80
1951,1951000.000us,80,0
1952,1952000.000us,80,0
1953,1953000.000us,80,0
1954,1954000.000us,80,80
1955,1955000.000us,0,0
1956,1956000.000us,80,0
1957,1957000.000us,80,80
1958,1958000.000us,80,80
1959,1959000.000us,0,0
1960,1960000.000us,80,80
1961,1961000.000us,80,0
1962,1962000.000us,80,80
1963,1963000.000us,0,0
1964,1964000.000us,0,0
1965,1965000.000us,0,80
1966,1966000.000us,80,80
1967,1967000.000us,0,0
1968,1968000.000us,0,80
1969,1969000.000us,80,80
1970,1970000.000us,160,80
1971,1971000.000us,0,0
1972,1972000.000us,0,80
1973,1973000.000us,80,0
1974,1974000.000us,80,80
1975,1975000.000us,0,0
1976,1976000.000us,80,0
1977,1977000.000us,0,80
1978,1978000.000us,80,80
1979,1979000.000us,0,0
1980,1980000.000us,80,80
1981,1981000.000us,80,0
1982,1982000.000us,160,80
1983,1983000.000us,80,0
1984,1984000.000us,80,80
1985,1985000.000us,0,-80
1986,1986000.000us,80,80
1987,1987000.000us,0,-80
1988,1988000.000us,80,80
1989,1989000.000us,80,0
1990,1990000.000us,80,80
1991,1991000.000us,0,0
1992,1992000.000us,80,0
1993,1993000.000us,80,80
1994,1994000.000us,80,80
1995,1995000.000us,0,0
1996,1996000.000us,80,80
1997,1997000.000us,80,0
1998,1998000.000us,160,80
1999,1999000.000us,0,0
2000,2000000.000us,0,0
2001,2001000.000us,80,0
2002,2002000.000us,80,80
2003,2003000.000us,80,0
2004,2004000.000us,80,80
2005,2005000.000us,80,80
2006,2006000.000us,160,80
2007,2007000.000us,0,0
2008,2008000.000us,80,0
2009,2009000.000us,80,0
2010,2010000.000us,80,80
2011,2011000.000us,0,0
2012,2012000.000us,80,80
2013,2013000.000us,80,80
