Save Time: 2026-07-14 15:24:45,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,?,
Period:,351.500 mS,?,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,800.000 mV,
,,,
273,272000,3440,-480
274,273000,3520,-400
275,274000,3440,-480
276,275000,3440,-480
277,276000,3440,-480
278,277000,3520,-400
279,278000,3440,-560
280,279000,3440,-400
281,280000,3440,-480
282,281000,3520,-400
283,282000,3360,-560
284,283000,3520,-560
285,284000,3520,-560
286,285000,3520,-400
287,286000,3440,-560
288,287000,3440,-560
289,288000,3360,-480
290,289000,3520,-480
291,290000,3360,-560
292,291000,3360,-480
293,292000,3440,-480
294,293000,3520,-400
295,294000,3440,-560
296,295000,3520,-480
297,296000,3520,-480
298,297000,3520,-400
299,298000,3440,-560
300,299000,3440,-480
301,300000,3440,-480
302,301000,3440,-480
303,302000,3360,-560
304,303000,3440,-480
305,304000,3440,-480
306,305000,3520,-400
307,306000,3440,-560
308,307000,3440,-560
309,308000,3440,-480
310,309000,3520,-480
311,310000,3440,-560
312,311000,3520,-560
313,312000,3440,-560
314,313000,3520,-480
315,314000,3440,-560
316,315000,3520,-560
317,316000,3440,-480
318,317000,3520,-400
319,318000,3440,-560
320,319000,3440,-480
321,320000,3440,-480
322,321000,3520,-400
323,322000,80,-560
324,323000,80,-480
325,324000,80,-480
326,325000,160,-400
327,326000,80,-560
328,327000,160,-480
329,328000,80,-560
330,329000,160,-480
331,330000,0,-560
332,331000,80,-480
333,332000,0,-480
334,333000,160,-400
335,334000,0,-560
336,335000,80,-560
337,336000,80,-480
338,337000,80,-480
339,338000,0,-560
340,339000,80,-480
341,340000,80,-560
342,341000,160,-480
343,342000,0,-560
344,343000,80,-560
345,344000,160,-480
346,345000,160,-480
347,346000,0,-560
348,347000,0,-560
349,348000,80,-480
350,349000,160,-480
351,350000,0,-560
352,351000,80,-480
353,352000,80,-560
354,353000,80,-480
355,354000,80,-560
356,355000,80,-480
357,356000,80,-480
358,357000,80,-400
359,358000,0,-560
360,359000,80,-480
361,360000,160,-400
362,361000,160,-400
363,362000,80,-560
364,363000,80,-560
365,364000,80,-480
366,365000,160,-400
367,366000,80,-560
368,367000,80,-480
369,368000,80,-480
370,369000,80,-480
371,370000,80,-560
372,371000,80,-560
373,372000,80,-560
374,373000,3440,-480
375,374000,80,-560
376,375000,3440,-480
377,376000,3440,-560
378,377000,3520,-400
379,378000,3360,-560
380,379000,3440,-480
381,380000,3440,-480
382,381000,3520,-480
383,382000,3360,-560
384,383000,3440,-560
385,384000,3440,-480
386,385000,3520,-480
387,386000,3360,-560
388,387000,3440,-480
389,388000,3440,-560
390,389000,3520,-480
391,390000,3360,-560
392,391000,3360,-480
393,392000,3520,-480
394,393000,3520,-480
395,394000,3440,-560
396,395000,3440,-560
397,396000,3440,-480
398,397000,3520,-480
399,398000,3440,-560
400,399000,3440,-480
401,400000,3440,-480
402,401000,3440,-320
403,402000,3360,-560
404,403000,3440,-480
405,404000,3440,-560
406,405000,3520,-400
407,406000,3360,-560
408,407000,3440,-480
409,408000,3440,-480
410,409000,3520,-480
411,410000,3360,-560
412,411000,3440,-480
413,412000,3520,-480
414,413000,3520,-400
415,414000,3360,-560
416,415000,3440,-400
417,416000,80,-480
418,417000,160,-480
419,418000,0,-560
420,419000,160,-560
421,420000,80,-560
422,421000,160,-480
423,422000,0,-560
424,423000,0,-560
425,424000,160,80
426,425000,160,80
427,426000,0,0
428,427000,80,0
429,428000,80,80
430,429000,80,80
431,430000,0,-80
432,431000,0,0
433,432000,80,80
434,433000,160,80
435,434000,0,0
436,435000,80,0
437,436000,80,80
438,437000,160,80
439,438000,80,-80
440,439000,80,-80
441,440000,80,80
442,441000,80,80
443,442000,0,-80
444,443000,80,-80
445,444000,80,0
446,445000,160,80
447,446000,0,0
448,447000,80,0
449,448000,80,0
450,449000,80,80
451,450000,80,0
452,451000,80,0
453,452000,160,80
454,453000,160,80
455,454000,0,0
456,455000,160,80
457,456000,80,0
458,457000,160,80
459,458000,0,0
460,459000,160,80
461,460000,80,80
462,461000,160,80
463,462000,0,0
464,463000,80,0
465,464000,80,0
466,465000,160,80
467,466000,80,0
468,467000,80,80
469,468000,80,0
470,469000,160,80
471,470000,0,0
472,471000,0,80
473,472000,80,0
474,473000,160,80
475,474000,0,0
476,475000,0,80
477,476000,80,0
478,477000,160,80
479,478000,0,-80
480,479000,160,0
481,480000,80,80
482,481000,160,80
483,482000,80,0
484,483000,80,0
485,484000,80,0
486,485000,160,80
487,486000,0,0
488,487000,0,80
489,488000,80,80
490,489000,160,80
491,490000,0,0
492,491000,80,80
493,492000,80,80
494,493000,80,80
495,494000,0,0
496,495000,80,0
497,496000,80,0
498,497000,160,80
499,498000,80,0
500,499000,80,80
501,500000,80,80
502,501000,80,80
503,502000,80,0
504,503000,80,80
505,504000,80,0
506,505000,80,80
507,506000,0,0
508,507000,80,0
509,508000,80,80
510,509000,160,80
511,510000,0,0
512,511000,80,0
513,512000,80,0
514,513000,80,80
515,514000,0,0
516,515000,80,80
517,516000,80,0
