time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.861273817609324e-02	7.959121e-06
1.862273817609324e-02	7.959121e-06
1.863273817609324e-02	7.959121e-06
1.864273817609324e-02	7.959121e-06
1.865273817609324e-02	7.959121e-06
1.866273817609324e-02	7.959121e-06
1.867273817609324e-02	7.959121e-06
1.868273817609324e-02	7.959121e-06
1.869273817609324e-02	7.959121e-06
1.870273817609324e-02	7.959121e-06
1.871273817609324e-02	7.959121e-06
1.872273817609324e-02	7.959121e-06
1.873273817609324e-02	7.959121e-06
1.874273817609324e-02	7.959121e-06
1.875273817609324e-02	7.959121e-06
1.876273817609324e-02	7.959121e-06
1.877273817609324e-02	7.959121e-06
1.878273817609324e-02	7.959121e-06
1.879273817609324e-02	7.959121e-06
1.880273817609324e-02	7.959121e-06
1.881273817609324e-02	7.959121e-06
1.882273817609324e-02	7.959121e-06
1.883273817609324e-02	7.959121e-06
1.884273817609324e-02	7.959121e-06
1.885273817609324e-02	7.959121e-06
1.886273817609324e-02	7.959121e-06
1.887273817609324e-02	7.959121e-06
1.888273817609324e-02	7.959121e-06
1.889273817609324e-02	7.959121e-06
1.890273817609324e-02	7.959121e-06
1.891273817609324e-02	7.959121e-06
1.892273817609324e-02	7.959121e-06
1.893273817609324e-02	7.959121e-06
1.894273817609324e-02	7.959121e-06
1.895273817609324e-02	7.959121e-06
1.896273817609324e-02	7.959121e-06
1.897273817609324e-02	7.959121e-06
1.898273817609324e-02	7.959121e-06
1.899273817609324e-02	7.959121e-06
1.900273817609324e-02	7.959120e-06
1.901273817609324e-02	7.959120e-06
1.902273817609324e-02	7.959120e-06
1.903273817609324e-02	7.959120e-06
1.904273817609324e-02	7.959120e-06
1.905273817609324e-02	7.959120e-06
1.906273817609324e-02	7.959121e-06
1.907273817609324e-02	7.959121e-06
1.908273817609324e-02	7.959121e-06
1.909273817609324e-02	7.959121e-06
1.910273817609324e-02	7.959121e-06
1.911273817609324e-02	7.959121e-06
1.912273817609324e-02	7.959121e-06
1.913273817609324e-02	7.959121e-06
1.914273817609324e-02	7.959121e-06
1.915273817609324e-02	7.959121e-06
1.916273817609324e-02	7.959121e-06
1.917273817609324e-02	7.959121e-06
1.918273817609324e-02	7.959121e-06
1.919273817609324e-02	7.959121e-06
1.920273817609324e-02	7.959121e-06
1.921273817609324e-02	7.959121e-06
1.922273817609324e-02	7.959121e-06
1.923273817609324e-02	7.959121e-06
1.924273817609324e-02	7.959121e-06
1.925273817609324e-02	7.959121e-06
1.926273817609324e-02	7.959121e-06
1.927273817609324e-02	7.959121e-06
1.928273817609324e-02	7.959121e-06
1.929273817609324e-02	7.959121e-06
1.930273817609324e-02	7.959120e-06
