time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
3.219018816887252e-04	3.178035e+00	-3.178367e-01
3.319018816887251e-04	3.180355e+00	-3.180602e-01
3.419018816887252e-04	3.182036e+00	-3.182205e-01
3.519018816887251e-04	3.183294e+00	-3.183434e-01
3.619018816887252e-04	3.184267e+00	-3.184371e-01
3.719018816887251e-04	3.185037e+00	-3.185135e-01
3.819018816887252e-04	3.185659e+00	-3.185734e-01
3.919018816887251e-04	3.186169e+00	-3.186247e-01
4.019018816887251e-04	3.186593e+00	-3.186654e-01
4.119018816887251e-04	3.186948e+00	-3.187015e-01
4.219018816887251e-04	3.187249e+00	-3.187302e-01
4.319018816887251e-04	3.187505e+00	-3.187567e-01
4.419018816887251e-04	3.187725e+00	-3.187774e-01
4.519018816887251e-04	3.187915e+00	-3.187973e-01
4.619018816887251e-04	3.188080e+00	-3.188126e-01
4.719018816887251e-04	3.188223e+00	-3.188280e-01
4.819018816887251e-04	3.188348e+00	-3.188394e-01
4.919018816887252e-04	3.188458e+00	-3.188514e-01
5.019018816887251e-04	3.188554e+00	-3.188599e-01
5.119018816887251e-04	3.188638e+00	-3.188694e-01
5.219018816887251e-04	3.188713e+00	-3.188758e-01
5.319018816887252e-04	3.188779e+00	-3.188835e-01
5.419018816887251e-04	3.188838e+00	-3.188883e-01
5.519018816887251e-04	3.188890e+00	-3.188946e-01
5.619018816887251e-04	3.188936e+00	-3.188982e-01
5.719018816887252e-04	3.188977e+00	-3.189034e-01
5.819018816887251e-04	3.189013e+00	-3.189059e-01
5.919018816887251e-04	3.189045e+00	-3.189103e-01
6.019018816887251e-04	3.189074e+00	-3.189121e-01
6.119018816887252e-04	3.189100e+00	-3.189158e-01
6.219018816887251e-04	3.189122e+00	-3.189171e-01
6.319018816887251e-04	3.189143e+00	-3.189202e-01
6.419018816887251e-04	3.189161e+00	-3.189210e-01
6.519018816887252e-04	3.189178e+00	-3.189237e-01
6.619018816887251e-04	3.189192e+00	-3.189242e-01
6.719018816887251e-04	3.189206e+00	-3.189266e-01
6.819018816887251e-04	3.189217e+00	-3.189267e-01
6.919018816887252e-04	3.189227e+00	-3.189288e-01
7.019018816887251e-04	3.189237e+00	-3.189287e-01
7.119018816887251e-04	3.189245e+00	-3.189307e-01
7.219018816887251e-04	3.189253e+00	-3.189303e-01
7.319018816887251e-04	3.189260e+00	-3.189321e-01
7.419018816887251e-04	3.189265e+00	-3.189316e-01
7.519018816887251e-04	3.189271e+00	-3.189333e-01
7.619018816887251e-04	3.189276e+00	-3.189327e-01
7.719018816887251e-04	3.189280e+00	-3.189342e-01
7.819018816887251e-04	3.189284e+00	-3.189335e-01
7.919018816887251e-04	3.189287e+00	-3.189350e-01
