time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
7.257716841680766e-04	3.166199e+00	5.737093e-06	-1.583169e-01
7.357716841680767e-04	3.166378e+00	5.694008e-06	-1.583238e-01
7.457716841680766e-04	3.166542e+00	5.652641e-06	-1.583340e-01
7.557716841680766e-04	3.166694e+00	5.612922e-06	-1.583395e-01
7.657716841680766e-04	3.166833e+00	5.574780e-06	-1.583484e-01
7.757716841680767e-04	3.166962e+00	5.538146e-06	-1.583528e-01
7.857716841680766e-04	3.167080e+00	5.502955e-06	-1.583606e-01
7.957716841680766e-04	3.167190e+00	5.469146e-06	-1.583641e-01
8.057716841680766e-04	3.167291e+00	5.436657e-06	-1.583711e-01
8.157716841680767e-04	3.167385e+00	5.405432e-06	-1.583738e-01
8.257716841680766e-04	3.167472e+00	5.375413e-06	-1.583800e-01
8.357716841680766e-04	3.167552e+00	5.346548e-06	-1.583820e-01
8.457716841680766e-04	3.167626e+00	5.318788e-06	-1.583877e-01
8.557716841680766e-04	3.167694e+00	5.292082e-06	-1.583891e-01
8.657716841680766e-04	3.167758e+00	5.266385e-06	-1.583942e-01
8.757716841680766e-04	3.167817e+00	5.241653e-06	-1.583952e-01
8.857716841680766e-04	3.167872e+00	5.217844e-06	-1.583999e-01
8.957716841680766e-04	3.167922e+00	5.194919e-06	-1.584004e-01
9.057716841680766e-04	3.167969e+00	5.172838e-06	-1.584047e-01
9.157716841680766e-04	3.168013e+00	5.151567e-06	-1.584049e-01
9.257716841680766e-04	3.168054e+00	5.131069e-06	-1.584088e-01
9.357716841680766e-04	3.168091e+00	5.111314e-06	-1.584087e-01
9.457716841680766e-04	3.168126e+00	5.092268e-06	-1.584124e-01
9.557716841680766e-04	3.168158e+00	5.073903e-06	-1.584121e-01
9.657716841680766e-04	3.168189e+00	5.056190e-06	-1.584155e-01
9.757716841680766e-04	3.168217e+00	5.039102e-06	-1.584149e-01
9.857716841680767e-04	3.168243e+00	5.022614e-06	-1.584182e-01
9.957716841680767e-04	3.168267e+00	5.006700e-06	-1.584174e-01
1.005771684168076e-03	3.168289e+00	4.991338e-06	-1.584205e-01
1.015771684168077e-03	3.168310e+00	4.976506e-06	-1.584195e-01
1.025771684168077e-03	3.168330e+00	4.962182e-06	-1.584225e-01
1.035771684168077e-03	3.168348e+00	4.948346e-06	-1.584214e-01
1.045771684168077e-03	3.168365e+00	4.934979e-06	-1.584242e-01
1.055771684168077e-03	3.168380e+00	4.922063e-06	-1.584230e-01
1.065771684168077e-03	3.168395e+00	4.909580e-06	-1.584256e-01
1.075771684168077e-03	3.168408e+00	4.897513e-06	-1.584243e-01
1.085771684168076e-03	3.168421e+00	4.885846e-06	-1.584269e-01
1.095771684168077e-03	3.168433e+00	4.874565e-06	-1.584255e-01
1.105771684168077e-03	3.168444e+00	4.863655e-06	-1.584280e-01
1.115771684168077e-03	3.168454e+00	4.853101e-06	-1.584266e-01
1.125771684168077e-03	3.168463e+00	4.842892e-06	-1.584290e-01
1.135771684168077e-03	3.168472e+00	4.833013e-06	-1.584275e-01
1.145771684168077e-03	3.168480e+00	4.823453e-06	-1.584298e-01
1.155771684168077e-03	3.168488e+00	4.814201e-06	-1.584282e-01
1.165771684168076e-03	3.168495e+00	4.805244e-06	-1.584305e-01
1.175771684168077e-03	3.168502e+00	4.796573e-06	-1.584289e-01
1.185771684168077e-03	3.168508e+00	4.788177e-06	-1.584312e-01
1.195771684168077e-03	3.168514e+00	4.780047e-06	-1.584295e-01
1.205771684168077e-03	3.168519e+00	4.772173e-06	-1.584317e-01
1.215771684168077e-03	3.168524e+00	4.764546e-06	-1.584300e-01
1.225771684168077e-03	3.168529e+00	4.757158e-06	-1.584322e-01
1.235771684168077e-03	3.168533e+00	4.750001e-06	-1.584304e-01
1.245771684168076e-03	3.168537e+00	4.743065e-06	-1.584326e-01
1.255771684168077e-03	3.168541e+00	4.736345e-06	-1.584308e-01
1.265771684168077e-03	3.168544e+00	4.729832e-06	-1.584329e-01
1.275771684168077e-03	3.168548e+00	4.723520e-06	-1.584311e-01
1.285771684168077e-03	3.168551e+00	4.717402e-06	-1.584332e-01
1.295771684168077e-03	3.168554e+00	4.711471e-06	-1.584314e-01
1.305771684168077e-03	3.168556e+00	4.705721e-06	-1.584335e-01
1.315771684168077e-03	3.168558e+00	4.700147e-06	-1.584316e-01
1.325771684168076e-03	3.168561e+00	4.694742e-06	-1.584337e-01
1.335771684168076e-03	3.168563e+00	4.689500e-06	-1.584319e-01
1.345771684168077e-03	3.168565e+00	4.684417e-06	-1.584339e-01
1.355771684168077e-03	3.168567e+00	4.679488e-06	-1.584321e-01
1.365771684168077e-03	3.168569e+00	4.674706e-06	-1.584341e-01
1.375771684168077e-03	3.168570e+00	4.670069e-06	-1.584322e-01
1.385771684168077e-03	3.168572e+00	4.665570e-06	-1.584342e-01
1.395771684168077e-03	3.168573e+00	4.661206e-06	-1.584323e-01
1.405771684168076e-03	3.168574e+00	4.656972e-06	-1.584344e-01
1.415771684168076e-03	3.168576e+00	4.652865e-06	-1.584325e-01
1.425771684168077e-03	3.168577e+00	4.648879e-06	-1.584345e-01
1.435771684168077e-03	3.168578e+00	4.645012e-06	-1.584326e-01
1.445771684168077e-03	3.168579e+00	4.641260e-06	-1.584346e-01
1.455771684168077e-03	3.168580e+00	4.637619e-06	-1.584326e-01
1.465771684168077e-03	3.168581e+00	4.634085e-06	-1.584346e-01
1.475771684168077e-03	3.168582e+00	4.630656e-06	-1.584327e-01
1.485771684168076e-03	3.168582e+00	4.627327e-06	-1.584347e-01
1.495771684168076e-03	3.168583e+00	4.624097e-06	-1.584328e-01
1.505771684168077e-03	3.168584e+00	4.620962e-06	-1.584348e-01
1.515771684168077e-03	3.168585e+00	4.617918e-06	-1.584329e-01
1.525771684168077e-03	3.168585e+00	4.614963e-06	-1.584348e-01
1.535771684168077e-03	3.168585e+00	4.612096e-06	-1.584329e-01
1.545771684168077e-03	3.168586e+00	4.609312e-06	-1.584349e-01
1.555771684168077e-03	3.168587e+00	4.606609e-06	-1.584329e-01
1.565771684168076e-03	3.168587e+00	4.603985e-06	-1.584349e-01
1.575771684168076e-03	3.168587e+00	4.601437e-06	-1.584330e-01
1.585771684168077e-03	3.168587e+00	4.598964e-06	-1.584350e-01
1.595771684168077e-03	3.168588e+00	4.596563e-06	-1.584330e-01
1.605771684168077e-03	3.168588e+00	4.594231e-06	-1.584350e-01
1.615771684168077e-03	3.168589e+00	4.591967e-06	-1.584330e-01
1.625771684168077e-03	3.168589e+00	4.589769e-06	-1.584350e-01
1.635771684168077e-03	3.168589e+00	4.587634e-06	-1.584331e-01
1.645771684168076e-03	3.168589e+00	4.585561e-06	-1.584350e-01
1.655771684168076e-03	3.168590e+00	4.583548e-06	-1.584331e-01
1.665771684168076e-03	3.168590e+00	4.581593e-06	-1.584351e-01
1.675771684168077e-03	3.168590e+00	4.579694e-06	-1.584331e-01
1.685771684168077e-03	3.168590e+00	4.577851e-06	-1.584351e-01
1.695771684168077e-03	3.168591e+00	4.576060e-06	-1.584331e-01
1.705771684168077e-03	3.168591e+00	4.574321e-06	-1.584351e-01
1.715771684168077e-03	3.168591e+00	4.572632e-06	-1.584331e-01
1.725771684168076e-03	3.168591e+00	4.570992e-06	-1.584351e-01
1.735771684168076e-03	3.168591e+00	4.569399e-06	-1.584332e-01
1.745771684168076e-03	3.168591e+00	4.567851e-06	-1.584351e-01
1.755771684168077e-03	3.168592e+00	4.566348e-06	-1.584332e-01
1.765771684168077e-03	3.168592e+00	4.564889e-06	-1.584351e-01
1.775771684168077e-03	3.168592e+00	4.563471e-06	-1.584332e-01
1.785771684168077e-03	3.168592e+00	4.562093e-06	-1.584351e-01
1.795771684168077e-03	3.168592e+00	4.560755e-06	-1.584332e-01
1.805771684168076e-03	3.168592e+00	4.559455e-06	-1.584351e-01
1.815771684168076e-03	3.168592e+00	4.558193e-06	-1.584332e-01
1.825771684168076e-03	3.168592e+00	4.556966e-06	-1.584352e-01
1.835771684168077e-03	3.168592e+00	4.555775e-06	-1.584332e-01
1.845771684168077e-03	3.168592e+00	4.554618e-06	-1.584352e-01
1.855771684168077e-03	3.168593e+00	4.553493e-06	-1.584332e-01
1.865771684168077e-03	3.168592e+00	4.552401e-06	-1.584352e-01
1.875771684168077e-03	3.168593e+00	4.551340e-06	-1.584332e-01
1.885771684168076e-03	3.168592e+00	4.550309e-06	-1.584352e-01
1.895771684168076e-03	3.168593e+00	4.549307e-06	-1.584332e-01
1.905771684168076e-03	3.168593e+00	4.548334e-06	-1.584352e-01
1.915771684168076e-03	3.168593e+00	4.547388e-06	-1.584332e-01
1.925771684168077e-03	3.168593e+00	4.546470e-06	-1.584352e-01
1.935771684168077e-03	3.168593e+00	4.545578e-06	-1.584332e-01
1.945771684168077e-03	3.168593e+00	4.544711e-06	-1.584352e-01
1.955771684168077e-03	3.168593e+00	4.543868e-06	-1.584332e-01
1.965771684168077e-03	3.168593e+00	4.543050e-06	-1.584352e-01
1.975771684168077e-03	3.168593e+00	4.542255e-06	-1.584332e-01
1.985771684168077e-03	3.168593e+00	4.541482e-06	-1.584352e-01
1.995771684168077e-03	3.168593e+00	4.540731e-06	-1.584332e-01
2.005771684168076e-03	3.168593e+00	4.540002e-06	-1.584352e-01
2.015771684168076e-03	3.168593e+00	4.539293e-06	-1.584332e-01
2.025771684168076e-03	3.168593e+00	4.538604e-06	-1.584352e-01
2.035771684168076e-03	3.168593e+00	4.537935e-06	-1.584332e-01
