time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
1.417484269496506e-02	-2.384186e-07	3.421291e-06	6.972469e-06
1.418484269496506e-02	-2.384186e-07	3.420849e-06	-1.431458e-05
1.419484269496506e-02	-2.384186e-07	3.420416e-06	6.972506e-06
1.420484269496506e-02	-4.768372e-07	3.419989e-06	-1.431373e-05
1.421484269496506e-02	-2.384186e-07	3.419571e-06	6.972528e-06
1.422484269496506e-02	-4.768372e-07	3.419159e-06	-1.431291e-05
1.423484269496506e-02	-2.384186e-07	3.418755e-06	6.972537e-06
1.424484269496506e-02	-2.384186e-07	3.418357e-06	-1.431209e-05
1.425484269496506e-02	-2.384186e-07	3.417967e-06	6.972533e-06
1.426484269496506e-02	-2.384186e-07	3.417583e-06	-1.431129e-05
1.427484269496506e-02	-2.384186e-07	3.417206e-06	6.972516e-06
1.428484269496506e-02	0.000000e+00	3.416836e-06	-1.431051e-05
1.429484269496506e-02	-2.384186e-07	3.416472e-06	6.972487e-06
1.430484269496506e-02	-2.384186e-07	3.416114e-06	-1.430973e-05
1.431484269496506e-02	-2.384186e-07	3.415762e-06	6.972445e-06
1.432484269496506e-02	-2.384186e-07	3.415417e-06	-1.430897e-05
1.433484269496506e-02	-2.384186e-07	3.415078e-06	6.972391e-06
1.434484269496506e-02	-2.384186e-07	3.414744e-06	-1.430822e-05
1.435484269496506e-02	-2.384186e-07	3.414417e-06	6.972327e-06
1.436484269496506e-02	-2.384186e-07	3.414094e-06	-1.430748e-05
1.437484269496506e-02	-2.384186e-07	3.413778e-06	6.972252e-06
1.438484269496506e-02	-2.384186e-07	3.413467e-06	-1.430675e-05
1.439484269496506e-02	-2.384186e-07	3.413162e-06	6.972166e-06
1.440484269496506e-02	-2.384186e-07	3.412861e-06	-1.430603e-05
1.441484269496506e-02	-2.384186e-07	3.412566e-06	6.972070e-06
1.442484269496506e-02	-2.384186e-07	3.412276e-06	-1.430532e-05
1.443484269496506e-02	-2.384186e-07	3.411991e-06	6.971963e-06
1.444484269496506e-02	-2.384186e-07	3.411711e-06	-1.430462e-05
1.445484269496506e-02	-2.384186e-07	3.411436e-06	6.971847e-06
1.446484269496506e-02	-2.384186e-07	3.411166e-06	-1.430393e-05
1.447484269496506e-02	-2.384186e-07	3.410900e-06	6.971722e-06
1.448484269496506e-02	-2.384186e-07	3.410639e-06	-1.430325e-05
1.449484269496506e-02	-2.384186e-07	3.410383e-06	6.971588e-06
1.450484269496506e-02	0.000000e+00	3.410130e-06	-1.430258e-05
1.451484269496506e-02	0.000000e+00	3.409883e-06	6.971445e-06
1.452484269496506e-02	0.000000e+00	3.409639e-06	-1.430192e-05
1.453484269496506e-02	-2.384186e-07	3.409400e-06	6.971293e-06
1.454484269496506e-02	-4.768372e-07	3.409165e-06	-1.430126e-05
1.455484269496506e-02	0.000000e+00	3.408934e-06	6.971134e-06
1.456484269496506e-02	-4.768372e-07	3.408707e-06	-1.430062e-05
1.457484269496506e-02	-2.384186e-07	3.408484e-06	6.970966e-06
1.458484269496506e-02	-2.384186e-07	3.408265e-06	-1.429998e-05
1.459484269496506e-02	-2.384186e-07	3.408049e-06	6.970790e-06
1.460484269496506e-02	0.000000e+00	3.407838e-06	-1.429935e-05
1.461484269496506e-02	-2.384186e-07	3.407630e-06	6.970608e-06
