time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
1.104273817609324e-02	3.299671e+00	9.232731e-06	-8.182024e-06
1.105273817609324e-02	3.299673e+00	9.194936e-06	-8.699541e-06
1.106273817609324e-02	3.299676e+00	9.158323e-06	-8.166189e-06
1.107273817609324e-02	3.299678e+00	9.122851e-06	-8.684964e-06
1.108273817609324e-02	3.299679e+00	9.088481e-06	-8.151653e-06
1.109273817609324e-02	3.299680e+00	9.055176e-06	-8.671619e-06
1.110273817609324e-02	3.299682e+00	9.022899e-06	-8.138285e-06
1.111273817609324e-02	3.299683e+00	8.991616e-06	-8.659384e-06
1.112273817609324e-02	3.299683e+00	8.961292e-06	-8.125972e-06
1.113273817609324e-02	3.299684e+00	8.931898e-06	-8.648151e-06
1.114273817609324e-02	3.299685e+00	8.903402e-06	-8.114613e-06
1.115273817609324e-02	3.299685e+00	8.875773e-06	-8.637825e-06
1.116273817609324e-02	3.299685e+00	8.848984e-06	-8.104116e-06
1.117273817609324e-02	3.299686e+00	8.823007e-06	-8.628319e-06
1.118273817609324e-02	3.299686e+00	8.797816e-06	-8.094401e-06
1.119273817609324e-02	3.299686e+00	8.773385e-06	-8.619557e-06
1.120273817609324e-02	3.299687e+00	8.749691e-06	-8.085394e-06
1.121273817609324e-02	3.299687e+00	8.726708e-06	-8.611471e-06
1.122273817609324e-02	3.299687e+00	8.704415e-06	-8.077033e-06
1.123273817609324e-02	3.299688e+00	8.682789e-06	-8.604000e-06
1.124273817609324e-02	3.299688e+00	8.661810e-06	-8.069260e-06
1.125273817609324e-02	3.299688e+00	8.641457e-06	-8.597090e-06
1.126273817609324e-02	3.299688e+00	8.621709e-06	-8.062022e-06
1.127273817609324e-02	3.299688e+00	8.602548e-06	-8.590691e-06
1.128273817609324e-02	3.299688e+00	8.583957e-06	-8.055274e-06
1.129273817609324e-02	3.299688e+00	8.565916e-06	-8.584761e-06
1.130273817609324e-02	3.299688e+00	8.548410e-06	-8.048974e-06
1.131273817609324e-02	3.299688e+00	8.531420e-06	-8.579260e-06
1.132273817609324e-02	3.299688e+00	8.514932e-06	-8.043086e-06
1.133273817609324e-02	3.299688e+00	8.498931e-06	-8.574152e-06
1.134273817609324e-02	3.299689e+00	8.483399e-06	-8.037576e-06
1.135273817609324e-02	3.299688e+00	8.468325e-06	-8.569406e-06
1.136273817609324e-02	3.299688e+00	8.453693e-06	-8.032413e-06
1.137273817609324e-02	3.299689e+00	8.439491e-06	-8.564994e-06
1.138273817609324e-02	3.299689e+00	8.425704e-06	-8.027569e-06
1.139273817609324e-02	3.299689e+00	8.412320e-06	-8.560889e-06
