time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
5.057716841680766e-04	-4.103518e-02	1.793446e-06
5.157716841680766e-04	-3.987694e-02	8.852594e-07
5.257716841680766e-04	-3.875732e-02	1.706558e-06
5.357716841680767e-04	-3.770304e-02	7.979283e-07
5.457716841680766e-04	-3.672504e-02	1.619863e-06
5.557716841680766e-04	-3.582597e-02	7.130056e-07
5.657716841680766e-04	-3.500438e-02	1.536817e-06
5.757716841680767e-04	-3.425598e-02	6.323682e-07
5.857716841680766e-04	-3.357482e-02	1.458361e-06
5.957716841680766e-04	-3.295636e-02	5.564098e-07
6.057716841680766e-04	-3.239369e-02	1.384567e-06
6.157716841680767e-04	-3.188252e-02	4.850198e-07
6.257716841680766e-04	-3.141737e-02	1.315222e-06
6.357716841680766e-04	-3.099346e-02	4.179334e-07
6.457716841680766e-04	-3.060699e-02	1.250037e-06
6.557716841680767e-04	-3.025484e-02	3.548567e-07
6.657716841680766e-04	-2.993274e-02	1.188721e-06
6.757716841680766e-04	-2.963829e-02	2.955088e-07
6.857716841680766e-04	-2.936864e-02	1.131005e-06
6.957716841680767e-04	-2.912164e-02	2.396328e-07
7.057716841680766e-04	-2.889490e-02	1.076644e-06
7.157716841680766e-04	-2.868676e-02	1.869969e-07
7.257716841680766e-04	-2.849579e-02	1.025417e-06
7.357716841680767e-04	-2.831960e-02	1.373915e-07
7.457716841680766e-04	-2.815771e-02	9.771242e-07
7.557716841680766e-04	-2.800822e-02	9.062639e-08
7.657716841680766e-04	-2.787066e-02	9.315844e-07
7.757716841680767e-04	-2.774358e-02	4.652762e-08
7.857716841680766e-04	-2.762651e-02	8.886304e-07
7.957716841680766e-04	-2.751851e-02	4.935240e-09
8.057716841680766e-04	-2.741838e-02	8.481082e-07
8.157716841680767e-04	-2.732563e-02	-3.429873e-08
8.257716841680766e-04	-2.724004e-02	8.098753e-07
8.357716841680766e-04	-2.716088e-02	-7.131175e-08
8.457716841680766e-04	-2.708745e-02	7.737988e-07
8.557716841680766e-04	-2.701950e-02	-1.062321e-07
8.657716841680766e-04	-2.695632e-02	7.397546e-07
8.757716841680766e-04	-2.689791e-02	-1.391795e-07
8.857716841680766e-04	-2.684379e-02	7.076266e-07
8.957716841680766e-04	-2.679348e-02	-1.702666e-07
9.057716841680766e-04	-2.674699e-02	6.773058e-07
9.157716841680766e-04	-2.670360e-02	-1.995989e-07
9.257716841680766e-04	-2.666330e-02	6.486899e-07
9.357716841680766e-04	-2.662611e-02	-2.272755e-07
9.457716841680766e-04	-2.659154e-02	6.216824e-07
9.557716841680766e-04	-2.655935e-02	-2.533900e-07
9.657716841680766e-04	-2.652931e-02	5.961927e-07
9.757716841680766e-04	-2.650118e-02	-2.780303e-07
9.857716841680767e-04	-2.647567e-02	5.721353e-07
9.957716841680767e-04	-2.645135e-02	-3.012794e-07
1.005771684168076e-03	-2.642918e-02	5.494297e-07
1.015771684168077e-03	-2.640820e-02	-3.232157e-07
1.025771684168077e-03	-2.638888e-02	5.279997e-07
1.035771684168077e-03	-2.637100e-02	-3.439127e-07
1.045771684168077e-03	-2.635407e-02	5.077737e-07
1.055771684168077e-03	-2.633858e-02	-3.634403e-07
1.065771684168077e-03	-2.632403e-02	4.886840e-07
1.075771684168077e-03	-2.631068e-02	-3.818641e-07
1.085771684168076e-03	-2.629805e-02	4.706667e-07
1.095771684168077e-03	-2.628636e-02	-3.992461e-07
1.105771684168077e-03	-2.627540e-02	4.536616e-07
1.115771684168077e-03	-2.626514e-02	-4.156449e-07
1.125771684168077e-03	-2.625585e-02	4.376118e-07
1.135771684168077e-03	-2.624702e-02	-4.311159e-07
1.145771684168077e-03	-2.623892e-02	4.224636e-07
1.155771684168077e-03	-2.623129e-02	-4.457110e-07
1.165771684168076e-03	-2.622414e-02	4.081662e-07
1.175771684168077e-03	-2.621746e-02	-4.594797e-07
1.185771684168077e-03	-2.621126e-02	3.946717e-07
1.195771684168077e-03	-2.620578e-02	-4.724684e-07
1.205771684168077e-03	-2.620029e-02	3.819351e-07
1.215771684168077e-03	-2.619529e-02	-4.847210e-07
1.225771684168077e-03	-2.619076e-02	3.699136e-07
1.235771684168077e-03	-2.618647e-02	-4.962789e-07
1.245771684168076e-03	-2.618241e-02	3.585670e-07
1.255771684168077e-03	-2.617860e-02	-5.071813e-07
1.265771684168077e-03	-2.617502e-02	3.478572e-07
1.275771684168077e-03	-2.617192e-02	-5.174651e-07
1.285771684168077e-03	-2.616858e-02	3.377484e-07
1.295771684168077e-03	-2.616572e-02	-5.271651e-07
1.305771684168077e-03	-2.616310e-02	3.282067e-07
1.315771684168077e-03	-2.616096e-02	-5.363143e-07
1.325771684168076e-03	-2.615833e-02	3.192002e-07
1.335771684168076e-03	-2.615619e-02	-5.449436e-07
1.345771684168077e-03	-2.615452e-02	3.106987e-07
1.355771684168077e-03	-2.615237e-02	-5.530825e-07
1.365771684168077e-03	-2.615070e-02	3.026737e-07
1.375771684168077e-03	-2.614927e-02	-5.607585e-07
1.385771684168077e-03	-2.614784e-02	2.950983e-07
1.395771684168077e-03	-2.614617e-02	-5.679978e-07
1.405771684168076e-03	-2.614498e-02	2.879471e-07
1.415771684168076e-03	-2.614379e-02	-5.748250e-07
1.425771684168077e-03	-2.614260e-02	2.811963e-07
1.435771684168077e-03	-2.614141e-02	-5.812634e-07
1.445771684168077e-03	-2.614045e-02	2.748232e-07
1.455771684168077e-03	-2.613950e-02	-5.873348e-07
1.465771684168077e-03	-2.613878e-02	2.688065e-07
1.475771684168077e-03	-2.613783e-02	-5.930601e-07
1.485771684168076e-03	-2.613688e-02	2.631261e-07
1.495771684168076e-03	-2.613640e-02	-5.984588e-07
1.505771684168077e-03	-2.613568e-02	2.577630e-07
1.515771684168077e-03	-2.613473e-02	-6.035493e-07
1.525771684168077e-03	-2.613449e-02	2.526993e-07
1.535771684168077e-03	-2.613401e-02	-6.083490e-07
1.545771684168077e-03	-2.613354e-02	2.479181e-07
1.555771684168077e-03	-2.613282e-02	-6.128743e-07
1.565771684168076e-03	-2.613258e-02	2.434034e-07
1.575771684168076e-03	-2.613235e-02	-6.171408e-07
1.585771684168077e-03	-2.613187e-02	2.391401e-07
1.595771684168077e-03	-2.613139e-02	-6.211629e-07
1.605771684168077e-03	-2.613091e-02	2.351142e-07
1.615771684168077e-03	-2.613068e-02	-6.249547e-07
1.625771684168077e-03	-2.613044e-02	2.313120e-07
1.635771684168077e-03	-2.613020e-02	-6.285291e-07
1.645771684168076e-03	-2.612996e-02	2.277211e-07
1.655771684168076e-03	-2.612972e-02	-6.318983e-07
1.665771684168076e-03	-2.612925e-02	2.243295e-07
1.675771684168077e-03	-2.612925e-02	-6.350740e-07
1.685771684168077e-03	-2.612877e-02	2.211259e-07
1.695771684168077e-03	-2.612877e-02	-6.380671e-07
