time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.430038390393885e-02	3.782103e-06
1.431038390393885e-02	3.782096e-06
1.432038390393885e-02	3.782088e-06
1.433038390393885e-02	3.782080e-06
1.434038390393885e-02	3.782073e-06
1.435038390393885e-02	3.782066e-06
1.436038390393885e-02	3.782058e-06
1.437038390393885e-02	3.782051e-06
1.438038390393885e-02	3.782044e-06
1.439038390393885e-02	3.782038e-06
1.440038390393885e-02	3.782031e-06
1.441038390393885e-02	3.782025e-06
1.442038390393885e-02	3.782019e-06
1.443038390393885e-02	3.782013e-06
1.444038390393885e-02	3.782007e-06
1.445038390393885e-02	3.782001e-06
1.446038390393885e-02	3.781995e-06
1.447038390393885e-02	3.781990e-06
1.448038390393885e-02	3.781984e-06
1.449038390393885e-02	3.781979e-06
1.450038390393885e-02	3.781974e-06
1.451038390393885e-02	3.781968e-06
1.452038390393885e-02	3.781964e-06
1.453038390393885e-02	3.781959e-06
1.454038390393885e-02	3.781954e-06
1.455038390393885e-02	3.781949e-06
1.456038390393885e-02	3.781945e-06
1.457038390393885e-02	3.781940e-06
1.458038390393885e-02	3.781936e-06
1.459038390393885e-02	3.781932e-06
1.460038390393885e-02	3.781927e-06
1.461038390393885e-02	3.781923e-06
1.462038390393885e-02	3.781919e-06
1.463038390393885e-02	3.781915e-06
1.464038390393885e-02	3.781911e-06
1.465038390393885e-02	3.781908e-06
1.466038390393885e-02	3.781904e-06
1.467038390393885e-02	3.781900e-06
1.468038390393885e-02	3.781897e-06
1.469038390393885e-02	3.781893e-06
1.470038390393885e-02	3.781890e-06
1.471038390393885e-02	3.781887e-06
1.472038390393885e-02	3.781883e-06
1.473038390393885e-02	3.781880e-06
1.474038390393885e-02	3.781877e-06
1.475038390393885e-02	3.781874e-06
1.476038390393885e-02	3.781871e-06
1.477038390393885e-02	3.781868e-06
1.478038390393885e-02	3.781865e-06
1.479038390393885e-02	3.781862e-06
1.480038390393885e-02	3.781860e-06
1.481038390393885e-02	3.781857e-06
1.482038390393885e-02	3.781855e-06
1.483038390393885e-02	3.781852e-06
1.484038390393885e-02	3.781849e-06
1.485038390393885e-02	3.781847e-06
1.486038390393885e-02	3.781844e-06
1.487038390393885e-02	3.781842e-06
1.488038390393885e-02	3.781839e-06
1.489038390393885e-02	3.781837e-06
1.490038390393885e-02	3.781835e-06
1.491038390393885e-02	3.781833e-06
1.492038390393885e-02	3.781831e-06
1.493038390393885e-02	3.781829e-06
1.494038390393885e-02	3.781826e-06
1.495038390393885e-02	3.781824e-06
1.496038390393885e-02	3.781822e-06
1.497038390393885e-02	3.781820e-06
1.498038390393885e-02	3.781819e-06
1.499038390393885e-02	3.781817e-06
1.500038390393885e-02	3.781815e-06
1.501038390393885e-02	3.781813e-06
1.502038390393885e-02	3.781811e-06
1.503038390393885e-02	3.781809e-06
1.504038390393885e-02	3.781808e-06
1.505038390393885e-02	3.781806e-06
1.506038390393885e-02	3.781804e-06
1.507038390393885e-02	3.781803e-06
1.508038390393885e-02	3.781801e-06
1.509038390393885e-02	3.781800e-06
1.510038390393885e-02	3.781798e-06
1.511038390393885e-02	3.781797e-06
1.512038390393885e-02	3.781795e-06
1.513038390393885e-02	3.781794e-06
1.514038390393885e-02	3.781792e-06
1.515038390393885e-02	3.781791e-06
1.516038390393885e-02	3.781790e-06
1.517038390393885e-02	3.781788e-06
1.518038390393885e-02	3.781787e-06
1.519038390393885e-02	3.781786e-06
1.520038390393885e-02	3.781784e-06
1.521038390393885e-02	3.781783e-06
1.522038390393885e-02	3.781782e-06
1.523038390393885e-02	3.781781e-06
1.524038390393885e-02	3.781780e-06
1.525038390393885e-02	3.781779e-06
1.526038390393885e-02	3.781777e-06
1.527038390393885e-02	3.781776e-06
1.528038390393885e-02	3.781775e-06
1.529038390393885e-02	3.781774e-06
1.530038390393885e-02	3.781773e-06
1.531038390393885e-02	3.781772e-06
1.532038390393885e-02	3.781771e-06
1.533038390393885e-02	3.781770e-06
1.534038390393885e-02	3.781769e-06
1.535038390393885e-02	3.781768e-06
