time	I(V1)	I(Vcell12)
9.505756592674950e-03	4.521532e-06	-1.584391e-01
9.515756592674949e-03	4.521538e-06	-1.584336e-01
9.525756592674951e-03	4.521532e-06	-1.584391e-01
9.535756592674950e-03	4.521538e-06	-1.584336e-01
9.545756592674950e-03	4.521532e-06	-1.584391e-01
9.555756592674949e-03	4.521538e-06	-1.584336e-01
9.565756592674951e-03	4.521532e-06	-1.584391e-01
9.575756592674950e-03	4.521538e-06	-1.584336e-01
9.585756592674950e-03	4.521532e-06	-1.584391e-01
9.595756592674949e-03	4.521538e-06	-1.584336e-01
9.605756592674951e-03	4.521532e-06	-1.584391e-01
9.615756592674950e-03	4.521538e-06	-1.584336e-01
9.625756592674950e-03	4.521532e-06	-1.584391e-01
9.635756592674950e-03	4.521538e-06	-1.584336e-01
9.645756592674951e-03	4.521532e-06	-1.584391e-01
9.655756592674950e-03	4.521538e-06	-1.584336e-01
9.665756592674950e-03	4.521532e-06	-1.584391e-01
9.675756592674950e-03	4.521538e-06	-1.584336e-01
9.685756592674949e-03	4.521532e-06	-1.584391e-01
9.695756592674951e-03	4.521538e-06	-1.584336e-01
9.705756592674950e-03	4.521532e-06	-1.584391e-01
9.715756592674950e-03	4.521538e-06	-1.584336e-01
9.725756592674949e-03	4.521532e-06	-1.584391e-01
9.735756592674951e-03	4.521538e-06	-1.584336e-01
9.745756592674950e-03	4.521532e-06	-1.584391e-01
9.755756592674950e-03	4.521538e-06	-1.584336e-01
9.765756592674949e-03	4.521532e-06	-1.584391e-01
9.775756592674951e-03	4.521538e-06	-1.584336e-01
9.785756592674950e-03	4.521532e-06	-1.584391e-01
9.795756592674950e-03	4.521538e-06	-1.584336e-01
9.805756592674950e-03	4.521532e-06	-1.584391e-01
9.815756592674951e-03	4.521538e-06	-1.584336e-01
9.825756592674951e-03	4.521532e-06	-1.584391e-01
9.835756592674950e-03	4.521538e-06	-1.584336e-01
9.845756592674950e-03	4.521532e-06	-1.584391e-01
9.855756592674949e-03	4.521538e-06	-1.584336e-01
9.865756592674951e-03	4.521532e-06	-1.584391e-01
9.875756592674950e-03	4.521538e-06	-1.584336e-01
9.885756592674950e-03	4.521532e-06	-1.584391e-01
9.895756592674949e-03	4.521538e-06	-1.584336e-01
9.905756592674951e-03	4.521532e-06	-1.584391e-01
9.915756592674950e-03	4.521538e-06	-1.584336e-01
9.925756592674950e-03	4.521532e-06	-1.584391e-01
9.935756592674949e-03	4.521538e-06	-1.584336e-01
9.945756592674951e-03	4.521532e-06	-1.584391e-01
9.955756592674950e-03	4.521538e-06	-1.584336e-01
9.965756592674950e-03	4.521532e-06	-1.584391e-01
9.975756592674950e-03	4.521538e-06	-1.584336e-01
9.985756592674951e-03	4.521532e-06	-1.584391e-01
9.995756592674951e-03	4.521538e-06	-1.584336e-01
1.000000000000000e-02	4.521532e-06	-1.584391e-01
1.000000000100000e-02	4.521176e-06	-1.584345e-01
1.000000000200000e-02	4.521462e-06	-1.584382e-01
1.000000000347517e-02	4.521415e-06	-1.584350e-01
1.000000000560198e-02	4.521347e-06	-1.584378e-01
1.000000000985560e-02	4.521212e-06	-1.584352e-01
1.000000001836286e-02	4.520941e-06	-1.584377e-01
1.000000003537736e-02	4.520396e-06	-1.584352e-01
1.000000006940636e-02	4.519296e-06	-1.584376e-01
1.000000013746438e-02	4.517055e-06	-1.584351e-01
1.000000027358040e-02	4.512421e-06	-1.584376e-01
1.000000054581244e-02	4.502599e-06	-1.584351e-01
