time	-I(Vcell15)
8.676777201000463e-03	3.200193e-02
8.686777201000462e-03	3.199398e-02
8.696777201000462e-03	3.200193e-02
8.706777201000462e-03	3.199398e-02
8.716777201000463e-03	3.200193e-02
8.726777201000463e-03	3.199398e-02
8.736777201000462e-03	3.200193e-02
8.746777201000462e-03	3.199398e-02
8.756777201000463e-03	3.200193e-02
8.766777201000463e-03	3.199398e-02
8.776777201000462e-03	3.200193e-02
8.786777201000462e-03	3.199398e-02
8.796777201000463e-03	3.200193e-02
8.806777201000463e-03	3.199398e-02
8.816777201000462e-03	3.200193e-02
8.826777201000462e-03	3.199398e-02
8.836777201000462e-03	3.200193e-02
8.846777201000463e-03	3.199398e-02
8.856777201000463e-03	3.200193e-02
8.866777201000462e-03	3.199398e-02
8.876777201000462e-03	3.200193e-02
8.886777201000463e-03	3.199398e-02
8.896777201000463e-03	3.200193e-02
8.906777201000462e-03	3.199398e-02
8.916777201000462e-03	3.200193e-02
8.926777201000463e-03	3.199398e-02
8.936777201000463e-03	3.200193e-02
8.946777201000462e-03	3.199398e-02
8.956777201000462e-03	3.200193e-02
8.966777201000463e-03	3.199398e-02
8.976777201000463e-03	3.200193e-02
8.986777201000462e-03	3.199398e-02
8.996777201000462e-03	3.200193e-02
9.006777201000462e-03	3.199398e-02
9.016777201000463e-03	3.200193e-02
9.026777201000463e-03	3.199398e-02
9.036777201000462e-03	3.200193e-02
9.046777201000462e-03	3.199398e-02
9.056777201000463e-03	3.200193e-02
9.066777201000463e-03	3.199398e-02
9.076777201000462e-03	3.200193e-02
9.086777201000462e-03	3.199398e-02
9.096777201000463e-03	3.200193e-02
9.106777201000463e-03	3.199398e-02
9.116777201000462e-03	3.200193e-02
9.126777201000462e-03	3.199398e-02
9.136777201000463e-03	3.200193e-02
9.146777201000463e-03	3.199398e-02
9.156777201000462e-03	3.200193e-02
9.166777201000462e-03	3.199398e-02
9.176777201000462e-03	3.200193e-02
9.186777201000463e-03	3.199398e-02
9.196777201000463e-03	3.200193e-02
9.206777201000462e-03	3.199398e-02
9.216777201000462e-03	3.200193e-02
9.226777201000463e-03	3.199398e-02
9.236777201000463e-03	3.200193e-02
9.246777201000462e-03	3.199398e-02
9.256777201000462e-03	3.200193e-02
9.266777201000463e-03	3.199398e-02
9.276777201000463e-03	3.200193e-02
9.286777201000462e-03	3.199398e-02
9.296777201000462e-03	3.200193e-02
9.306777201000463e-03	3.199398e-02
9.316777201000463e-03	3.200193e-02
9.326777201000462e-03	3.199398e-02
9.336777201000462e-03	3.200193e-02
9.346777201000462e-03	3.199398e-02
9.356777201000463e-03	3.200193e-02
9.366777201000463e-03	3.199398e-02
9.376777201000462e-03	3.200193e-02
9.386777201000462e-03	3.199398e-02
9.396777201000463e-03	3.200193e-02
9.406777201000463e-03	3.199398e-02
9.416777201000462e-03	3.200193e-02
9.426777201000462e-03	3.199398e-02
9.436777201000463e-03	3.200193e-02
9.446777201000463e-03	3.199398e-02
9.456777201000462e-03	3.200193e-02
9.466777201000462e-03	3.199398e-02
9.476777201000462e-03	3.200193e-02
9.486777201000463e-03	3.199398e-02
9.496777201000462e-03	3.200193e-02
9.506777201000462e-03	3.199398e-02
9.516777201000462e-03	3.200193e-02
9.526777201000463e-03	3.199398e-02
9.536777201000463e-03	3.200193e-02
9.546777201000462e-03	3.199398e-02
9.556777201000462e-03	3.200193e-02
9.566777201000463e-03	3.199398e-02
9.576777201000463e-03	3.200193e-02
9.586777201000462e-03	3.199398e-02
9.596777201000462e-03	3.200193e-02
9.606777201000463e-03	3.199398e-02
9.616777201000463e-03	3.200193e-02
9.626777201000462e-03	3.199398e-02
9.636777201000462e-03	3.200193e-02
9.646777201000462e-03	3.199398e-02
9.656777201000463e-03	3.200193e-02
9.666777201000462e-03	3.199398e-02
9.676777201000462e-03	3.200193e-02
9.686777201000462e-03	3.199398e-02
9.696777201000463e-03	3.200193e-02
9.706777201000463e-03	3.199398e-02
9.716777201000462e-03	3.200193e-02
9.726777201000462e-03	3.199398e-02
9.736777201000463e-03	3.200193e-02
9.746777201000463e-03	3.199398e-02
9.756777201000462e-03	3.200193e-02
9.766777201000462e-03	3.199398e-02
9.776777201000463e-03	3.200193e-02
9.786777201000463e-03	3.199398e-02
9.796777201000462e-03	3.200193e-02
9.806777201000462e-03	3.199398e-02
9.816777201000462e-03	3.200193e-02
9.826777201000463e-03	3.199398e-02
9.836777201000462e-03	3.200193e-02
9.846777201000462e-03	3.199398e-02
9.856777201000462e-03	3.200193e-02
9.866777201000463e-03	3.199398e-02
9.876777201000463e-03	3.200193e-02
9.886777201000462e-03	3.199398e-02
9.896777201000462e-03	3.200193e-02
9.906777201000463e-03	3.199398e-02
9.916777201000463e-03	3.200193e-02
9.926777201000462e-03	3.199398e-02
9.936777201000462e-03	3.200193e-02
9.946777201000463e-03	3.199398e-02
9.956777201000463e-03	3.200193e-02
9.966777201000462e-03	3.199398e-02
9.976777201000462e-03	3.200193e-02
