,tiempo,vgate,vcell_neg
467,932000,1760,-40
468,934000,1760,-80
469,936000,1760,-120
470,938000,1720,-120
471,940000,1720,-80
472,942000,1800,-40
473,944000,1720,-80
474,946000,1800,0
475,948000,1760,-40
476,950000,1760,-80
477,952000,1760,-40
478,954000,1760,-40
479,956000,1800,-80
480,958000,1760,-40
481,960000,1760,-80
482,962000,1720,-120
483,964000,1760,-80
484,966000,1760,-80
485,968000,1720,-80
486,970000,1760,-80
487,972000,1760,-40
488,974000,1720,-80
489,976000,1720,-80
490,978000,1760,-80
491,980000,1760,-40
492,982000,1760,-80
493,984000,1760,-40
494,986000,1760,-80
495,988000,1720,-80
496,990000,1760,-40
497,992000,1760,-40
498,994000,1760,-40
499,996000,1760,-80
500,998000,1720,-80
501,1000000,1720,-80
502,1002000,1760,-120
503,1004000,1760,-40
504,1006000,3360,80
505,1008000,3360,0
506,1010000,3360,40
507,1012000,3320,0
508,1014000,3320,40
509,1016000,3320,40
510,1018000,3320,0
511,1020000,3320,0
512,1022000,3360,0
513,1024000,3320,40
514,1026000,3320,40
515,1028000,3320,40
516,1030000,3320,40
517,1032000,3320,0
518,1034000,3280,0
519,1036000,3320,0
520,1038000,3320,0
521,1040000,3320,0
522,1042000,3320,40
523,1044000,3320,40
524,1046000,3320,0
525,1048000,3320,0
526,1050000,3320,0
527,1052000,3320,0
528,1054000,3320,40
529,1056000,3320,40
530,1058000,3320,40
531,1060000,3320,40
532,1062000,3320,0
533,1064000,3320,40
534,1066000,3360,40
535,1068000,3320,0
536,1070000,3320,0
537,1072000,3360,0
538,1074000,3280,0
539,1076000,3360,40
540,1078000,3320,40
541,1080000,3320,0
542,1082000,3320,40
543,1084000,3320,40
544,1086000,3320,0
545,1088000,3320,0
546,1090000,3320,0
547,1092000,3320,0
548,1094000,3360,0
549,1096000,3320,0
550,1098000,3320,0
551,1100000,3320,0
552,1102000,3320,40
553,1104000,3320,40
554,1106000,3320,40
555,1108000,3320,40
556,1110000,3280,40
557,1112000,3320,40
558,1114000,3320,0
559,1116000,3320,0
560,1118000,3280,0
561,1120000,3320,40
562,1122000,3320,0
563,1124000,3320,40
564,1126000,3320,40
565,1128000,3320,0
566,1130000,3280,40
567,1132000,3320,40
568,1134000,3320,40
569,1136000,3320,40
570,1138000,3320,0
571,1140000,3320,0
572,1142000,3320,0
573,1144000,3360,0
574,1146000,3360,0
575,1148000,3320,40
576,1150000,3360,0
577,1152000,3320,-40
578,1154000,3320,40
579,1156000,3320,40
580,1158000,3280,0
581,1160000,3320,0
582,1162000,3320,0
583,1164000,3320,40
584,1166000,3320,40
585,1168000,3360,0
586,1170000,3360,0
587,1172000,3320,40
588,1174000,3280,0
589,1176000,3320,0
590,1178000,3320,0
591,1180000,3320,40
592,1182000,3320,0
593,1184000,3320,40
594,1186000,3320,0
595,1188000,3320,0
596,1190000,3320,40
597,1192000,3320,0
598,1194000,3280,40
599,1196000,3280,0
600,1198000,3320,0
601,1200000,3280,40
602,1202000,3280,40
603,1204000,3320,40
604,1206000,3320,0
605,1208000,3320,0
606,1210000,3320,40
607,1212000,3360,40
608,1214000,3360,0
609,1216000,3320,40
610,1218000,3320,40
611,1220000,3320,0
612,1222000,3320,0
613,1224000,3320,0
614,1226000,3320,0
615,1228000,3320,40
616,1230000,3320,40
617,1232000,3360,40
618,1234000,3320,40
619,1236000,3320,0
620,1238000,3320,40
621,1240000,3320,0
622,1242000,3320,40
623,1244000,3320,40
624,1246000,3320,40
625,1248000,3320,40
626,1250000,3320,0
627,1252000,3320,0
628,1254000,3320,40
629,1256000,3320,40
630,1258000,3280,40
631,1260000,3320,0
632,1262000,3280,40
633,1264000,3280,80
634,1266000,3320,-40
635,1268000,3360,40
636,1270000,3320,40
637,1272000,3320,40
638,1274000,3320,0
639,1276000,3320,0
640,1278000,3320,40
641,1280000,3280,40
642,1282000,3320,40
643,1284000,3320,0
644,1286000,3360,40
645,1288000,3320,0
646,1290000,3320,40
647,1292000,3320,40
648,1294000,3320,40
649,1296000,3320,40
650,1298000,3320,40
651,1300000,3360,40
652,1302000,3320,40
653,1304000,3280,0
654,1306000,3320,40
655,1308000,3320,40
656,1310000,3280,40
657,1312000,3320,0
658,1314000,3320,40
659,1316000,3320,40
660,1318000,3320,0
661,1320000,3320,0
662,1322000,3320,40
663,1324000,3320,40
664,1326000,3320,40
665,1328000,3320,0
666,1330000,3320,0
667,1332000,3280,0
668,1334000,3320,40
669,1336000,3320,40
670,1338000,3320,0
671,1340000,3320,0
672,1342000,3320,40
673,1344000,3360,40
674,1346000,3280,40
675,1348000,3320,40
676,1350000,3320,0
677,1352000,3320,40
678,1354000,3280,0
679,1356000,3320,40
680,1358000,3280,40
681,1360000,3320,0
682,1362000,3280,40
683,1364000,3320,40
684,1366000,3320,40
685,1368000,3320,0
686,1370000,3320,0
687,1372000,3320,40
688,1374000,3320,0
689,1376000,3280,40
690,1378000,3320,0
691,1380000,3320,40
692,1382000,3320,40
693,1384000,3320,40
694,1386000,3320,40
695,1388000,3360,0
696,1390000,3360,40
697,1392000,3320,0
698,1394000,3320,0
699,1396000,3320,0
700,1398000,3320,40
701,1400000,3280,40
702,1402000,3320,0
703,1404000,3320,40
704,1406000,3320,0
705,1408000,3280,40
706,1410000,3320,0
707,1412000,3320,0
708,1414000,3360,0
709,1416000,3320,0
710,1418000,3320,40
711,1420000,3360,40
712,1422000,3280,40
713,1424000,3320,0
714,1426000,3320,40
715,1428000,3320,40
716,1430000,3320,0
717,1432000,3320,0
718,1434000,3320,0
719,1436000,3320,40
720,1438000,3320,0
721,1440000,3360,0
722,1442000,3320,40
723,1444000,3320,40
724,1446000,3320,0
725,1448000,3320,40
726,1450000,3320,0
727,1452000,3360,40
728,1454000,3280,0
729,1456000,3320,40
730,1458000,3280,40
731,1460000,3320,40
732,1462000,3360,0
733,1464000,3320,40
734,1466000,3320,0
735,1468000,3320,0
736,1470000,3320,0
737,1472000,3320,0
738,1474000,3320,0
739,1476000,3280,40
740,1478000,3320,40
741,1480000,3320,40
742,1482000,3360,0
743,1484000,3320,40
744,1486000,3320,40
745,1488000,3320,0
746,1490000,3320,40
747,1492000,3320,0
748,1494000,3320,40
749,1496000,3320,40
750,1498000,3320,40
751,1500000,3320,0
752,1502000,3320,40
753,1504000,3280,0
754,1506000,1720,-80
755,1508000,1720,-80
756,1510000,1760,-80
757,1512000,1760,-80
758,1514000,1760,-40
759,1516000,1680,-160
760,1518000,1720,-120
