Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
231,115000.000us,3040,960,-2080
232,115500.000us,3000,920,-2080
233,116000.000us,3040,920,-2120
234,116500.000us,3000,920,-2080
235,117000.000us,3080,1000,-2080
236,117500.000us,3000,920,-2080
237,118000.000us,3080,960,-2120
238,118500.000us,3040,1000,-2040
239,119000.000us,3320,1040,-2280
240,119500.000us,3040,960,-2080
241,120000.000us,3320,1040,-2280
242,120500.000us,3360,1080,-2280
243,121000.000us,3520,1080,-2440
244,121500.000us,3360,1080,-2280
245,122000.000us,3520,1080,-2440
246,122500.000us,3520,1080,-2440
247,123000.000us,3560,1080,-2480
248,123500.000us,3280,1040,-2240
249,124000.000us,3280,1040,-2240
250,124500.000us,3280,1000,-2280
251,125000.000us,3280,1000,-2280
252,125500.000us,2960,920,-2040
253,126000.000us,2960,920,-2040
254,126500.000us,3000,920,-2080
255,127000.000us,3000,960,-2040
256,127500.000us,2960,920,-2040
257,128000.000us,2960,920,-2040
258,128500.000us,2960,920,-2040
259,129000.000us,3000,960,-2040
260,129500.000us,2920,880,-2040
261,130000.000us,2960,920,-2040
262,130500.000us,2960,920,-2040
263,131000.000us,3000,960,-2040
264,131500.000us,2920,920,-2000
265,132000.000us,2920,920,-2000
266,132500.000us,2960,920,-2040
267,133000.000us,3040,960,-2080
268,133500.000us,2960,920,-2040
269,134000.000us,3000,920,-2080
270,134500.000us,3000,960,-2040
271,135000.000us,3080,960,-2120
272,135500.000us,3000,960,-2040
273,136000.000us,3040,960,-2080
274,136500.000us,3000,920,-2080
275,137000.000us,3120,960,-2160
276,137500.000us,3000,920,-2080
277,138000.000us,3120,960,-2160
278,138500.000us,3040,960,-2080
279,139000.000us,3360,1000,-2360
280,139500.000us,3040,960,-2080
281,140000.000us,3360,1000,-2360
282,140500.000us,3400,1040,-2360
283,141000.000us,3520,1120,-2400
284,141500.000us,3400,1040,-2360
285,142000.000us,3520,1120,-2400
286,142500.000us,3520,1080,-2440
287,143000.000us,3520,1120,-2400
288,143500.000us,3320,1040,-2280
289,144000.000us,3320,1040,-2280
290,144500.000us,3280,1000,-2280
291,145000.000us,3280,1000,-2280
292,145500.000us,3000,920,-2080
293,146000.000us,3000,960,-2040
294,146500.000us,2960,960,-2000
295,147000.000us,3000,960,-2040
296,147500.000us,2960,920,-2040
297,148000.000us,2960,960,-2000
298,148500.000us,3000,920,-2080
299,149000.000us,3040,960,-2080
300,149500.000us,2960,920,-2040
301,150000.000us,2960,960,-2000
302,150500.000us,2960,920,-2040
303,151000.000us,3000,960,-2040
304,151500.000us,2960,920,-2040
305,152000.000us,3000,920,-2080
306,152500.000us,3000,920,-2080
307,153000.000us,3000,960,-2040
308,153500.000us,2960,920,-2040
309,154000.000us,3000,920,-2080
310,154500.000us,3000,920,-2080
311,155000.000us,3040,960,-2080
312,155500.000us,2960,920,-2040
313,156000.000us,3040,920,-2120
314,156500.000us,3040,920,-2120
315,157000.000us,3080,1000,-2080
316,157500.000us,3000,920,-2080
317,158000.000us,3080,960,-2120
318,158500.000us,3080,960,-2120
319,159000.000us,3360,1080,-2280
320,159500.000us,3080,960,-2120
321,160000.000us,3360,1080,-2280
322,160500.000us,3360,1040,-2320
323,161000.000us,3520,1120,-2400
324,161500.000us,3360,1040,-2320
325,162000.000us,3520,1120,-2400
326,162500.000us,3480,1080,-2400
327,163000.000us,3520,1120,-2400
328,163500.000us,3320,1000,-2320
329,164000.000us,3320,1040,-2280
330,164500.000us,3280,1000,-2280
331,165000.000us,3280,1000,-2280
332,165500.000us,3000,880,-2120
333,166000.000us,3000,920,-2080
334,166500.000us,3000,960,-2040
335,167000.000us,3040,960,-2080
336,167500.000us,2960,920,-2040
337,168000.000us,2960,960,-2000
338,168500.000us,3000,920,-2080
339,169000.000us,3040,1000,-2040
340,169500.000us,2960,920,-2040
341,170000.000us,2960,920,-2040
342,170500.000us,3000,960,-2040
343,171000.000us,3000,960,-2040
344,171500.000us,2960,920,-2040
345,172000.000us,3000,960,-2040
346,172500.000us,2960,920,-2040
347,173000.000us,3040,960,-2080
348,173500.000us,2960,920,-2040
349,174000.000us,3000,920,-2080
350,174500.000us,3040,960,-2080
351,175000.000us,3040,960,-2080
352,175500.000us,3000,920,-2080
353,176000.000us,3000,920,-2080
354,176500.000us,3080,960,-2120
355,177000.000us,3080,1000,-2080
356,177500.000us,3040,920,-2120
357,178000.000us,3080,1000,-2080
358,178500.000us,3040,960,-2080
359,179000.000us,3320,1080,-2240
360,179500.000us,3040,960,-2080
361,180000.000us,3320,1040,-2280
362,180500.000us,3360,1040,-2320
363,181000.000us,3520,1120,-2400
364,181500.000us,3360,1040,-2320
365,182000.000us,3520,1080,-2440
366,182500.000us,3520,1040,-2480
367,183000.000us,3520,1080,-2440
368,183500.000us,3360,1040,-2320
369,184000.000us,3360,1040,-2320
370,184500.000us,3240,1000,-2240
371,185000.000us,3240,1000,-2240
372,185500.000us,3000,920,-2080
373,186000.000us,3000,920,-2080
374,186500.000us,2960,920,-2040
375,187000.000us,3040,960,-2080
376,187500.000us,2960,920,-2040
377,188000.000us,3040,960,-2080
378,188500.000us,3000,960,-2040
379,189000.000us,3040,960,-2080
380,189500.000us,2960,920,-2040
381,190000.000us,2960,960,-2000
382,190500.000us,2960,960,-2000
383,191000.000us,3000,1000,-2000
384,191500.000us,2960,920,-2040
385,192000.000us,3000,1000,-2000
386,192500.000us,2960,960,-2000
387,193000.000us,3040,960,-2080
388,193500.000us,2960,920,-2040
389,194000.000us,2960,920,-2040
390,194500.000us,3040,960,-2080
391,195000.000us,3080,960,-2120
392,195500.000us,2960,920,-2040
393,196000.000us,3040,920,-2120
394,196500.000us,3040,920,-2120
395,197000.000us,3080,1000,-2080
396,197500.000us,3000,920,-2080
397,198000.000us,3080,960,-2120
398,198500.000us,3080,960,-2120
399,199000.000us,3320,1040,-2280
400,199500.000us,3040,960,-2080
401,200000.000us,3320,1040,-2280
402,200500.000us,3400,1080,-2320
403,201000.000us,3520,1120,-2400
404,201500.000us,3400,1040,-2360
405,202000.000us,3520,1080,-2440
406,202500.000us,3520,1120,-2400
407,203000.000us,3520,1120,-2400
408,203500.000us,3280,1000,-2280
409,204000.000us,3280,1000,-2280
410,204500.000us,3280,1000,-2280
411,205000.000us,3280,1000,-2280
412,205500.000us,3000,920,-2080
413,206000.000us,3000,960,-2040
414,206500.000us,3040,920,-2120
415,207000.000us,3040,960,-2080
416,207500.000us,2960,920,-2040
417,208000.000us,3000,920,-2080
418,208500.000us,2960,920,-2040
419,209000.000us,3000,960,-2040
420,209500.000us,2960,880,-2080
421,210000.000us,3000,960,-2040
422,210500.000us,2960,920,-2040
423,211000.000us,3000,960,-2040
424,211500.000us,2920,920,-2000
425,212000.000us,3000,960,-2040
426,212500.000us,2960,920,-2040
427,213000.000us,3040,960,-2080
428,213500.000us,2960,920,-2040
429,214000.000us,2960,960,-2000
430,214500.000us,3000,960,-2040
431,215000.000us,3040,960,-2080
432,215500.000us,3000,920,-2080
433,216000.000us,3000,960,-2040
434,216500.000us,3040,960,-2080
435,217000.000us,3080,960,-2120
436,217500.000us,3000,920,-2080
437,218000.000us,3040,960,-2080
438,218500.000us,3080,960,-2120
439,219000.000us,3360,1080,-2280
440,219500.000us,3080,920,-2160
441,220000.000us,3360,1080,-2280
442,220500.000us,3360,1040,-2320
443,221000.000us,3520,1120,-2400
444,221500.000us,3360,1040,-2320
445,222000.000us,3520,1120,-2400
446,222500.000us,3520,1120,-2400
447,223000.000us,3520,1120,-2400
448,223500.000us,3360,1000,-2360
449,224000.000us,3360,1000,-2360
450,224500.000us,3280,1000,-2280
451,225000.000us,3280,1000,-2280
452,225500.000us,2960,920,-2040
453,226000.000us,2960,960,-2000
454,226500.000us,3000,960,-2040
455,227000.000us,3040,960,-2080
456,227500.000us,2960,920,-2040
457,228000.000us,3000,960,-2040
458,228500.000us,3000,960,-2040
459,229000.000us,3000,960,-2040
460,229500.000us,2920,920,-2000
461,230000.000us,2960,920,-2040
462,230500.000us,3000,920,-2080
463,231000.000us,3000,960,-2040
464,231500.000us,2960,920,-2040
465,232000.000us,3000,920,-2080
466,232500.000us,3000,920,-2080
467,233000.000us,3000,960,-2040
468,233500.000us,2960,920,-2040
469,234000.000us,3000,920,-2080
470,234500.000us,3000,960,-2040
471,235000.000us,3040,1000,-2040
472,235500.000us,3000,920,-2080
473,236000.000us,3040,960,-2080
474,236500.000us,3040,1000,-2040
475,237000.000us,3080,1000,-2080
476,237500.000us,3040,920,-2120
477,238000.000us,3040,960,-2080
478,238500.000us,3040,960,-2080
479,239000.000us,3320,1080,-2240
480,239500.000us,3040,960,-2080
481,240000.000us,3320,1080,-2240
482,240500.000us,3360,1040,-2320
483,241000.000us,3520,1120,-2400
484,241500.000us,3360,1040,-2320
485,242000.000us,3480,1080,-2400
486,242500.000us,3520,1080,-2440
487,243000.000us,3520,1080,-2440
488,243500.000us,3280,1000,-2280
489,244000.000us,3280,1040,-2240
490,244500.000us,3320,1000,-2320
491,245000.000us,3320,1000,-2320
492,245500.000us,3000,920,-2080
493,246000.000us,3000,920,-2080
494,246500.000us,3000,920,-2080
495,247000.000us,3000,960,-2040
496,247500.000us,2960,880,-2080
497,248000.000us,3000,920,-2080
498,248500.000us,3000,920,-2080
499,249000.000us,3040,960,-2080
500,249500.000us,2960,920,-2040
501,250000.000us,2960,920,-2040
502,250500.000us,2960,920,-2040
503,251000.000us,3040,960,-2080
504,251500.000us,2960,920,-2040
505,252000.000us,3000,960,-2040
506,252500.000us,3000,960,-2040
507,253000.000us,3000,960,-2040
508,253500.000us,3000,920,-2080
509,254000.000us,3000,920,-2080
510,254500.000us,3000,960,-2040
511,255000.000us,3040,1000,-2040
512,255500.000us,3000,920,-2080
513,256000.000us,3000,960,-2040
514,256500.000us,3040,960,-2080
515,257000.000us,3080,960,-2120
516,257500.000us,3040,920,-2120
517,258000.000us,3080,960,-2120
518,258500.000us,3040,960,-2080
519,259000.000us,3320,1040,-2280
520,259500.000us,3040,960,-2080
521,260000.000us,3320,1040,-2280
522,260500.000us,3360,1040,-2320
523,261000.000us,3520,1120,-2400
524,261500.000us,3360,1040,-2320
525,262000.000us,3520,1080,-2440
526,262500.000us,3520,1040,-2480
527,263000.000us,3520,1120,-2400
528,263500.000us,3280,1040,-2240
529,264000.000us,3280,1040,-2240
530,264500.000us,3320,1040,-2280
531,265000.000us,3320,1040,-2280
532,265500.000us,2960,920,-2040
533,266000.000us,3000,960,-2040
534,266500.000us,3000,880,-2120
535,267000.000us,3000,960,-2040
536,267500.000us,2960,880,-2080
537,268000.000us,3000,960,-2040
538,268500.000us,2960,920,-2040
539,269000.000us,3000,960,-2040
540,269500.000us,2960,920,-2040
541,270000.000us,3000,960,-2040
542,270500.000us,2960,920,-2040
543,271000.000us,3000,960,-2040
544,271500.000us,2960,920,-2040
545,272000.000us,2960,920,-2040
546,272500.000us,2960,960,-2000
547,273000.000us,3040,1000,-2040
548,273500.000us,2960,920,-2040
549,274000.000us,3040,960,-2080
550,274500.000us,2960,960,-2000
551,275000.000us,3040,1000,-2040
552,275500.000us,2960,920,-2040
553,276000.000us,3040,920,-2120
554,276500.000us,3040,960,-2080
555,277000.000us,3080,960,-2120
556,277500.000us,3040,920,-2120
557,278000.000us,3040,960,-2080
558,278500.000us,3080,960,-2120
559,279000.000us,3360,1040,-2320
560,279500.000us,3040,960,-2080
561,280000.000us,3360,1040,-2320
562,280500.000us,3440,1000,-2440
563,281000.000us,3520,1120,-2400
564,281500.000us,3400,1000,-2400
565,282000.000us,3480,1080,-2400
566,282500.000us,3520,1080,-2440
567,283000.000us,3520,1120,-2400
568,283500.000us,3320,1040,-2280
569,284000.000us,3320,1040,-2280
570,284500.000us,3240,1000,-2240
571,285000.000us,3240,1000,-2240
572,285500.000us,3000,920,-2080
573,286000.000us,3000,960,-2040
574,286500.000us,3000,960,-2040
575,287000.000us,3000,960,-2040
576,287500.000us,2960,920,-2040
577,288000.000us,2960,920,-2040
578,288500.000us,3000,960,-2040
579,289000.000us,3000,960,-2040
580,289500.000us,2960,920,-2040
581,290000.000us,2960,920,-2040
582,290500.000us,2960,920,-2040
583,291000.000us,3000,1000,-2000
584,291500.000us,2960,920,-2040
585,292000.000us,2960,960,-2000
586,292500.000us,3000,960,-2040
587,293000.000us,3000,960,-2040
588,293500.000us,3000,920,-2080
589,294000.000us,3000,920,-2080
590,294500.000us,3000,960,-2040
591,295000.000us,3040,960,-2080
592,295500.000us,3000,920,-2080
593,296000.000us,3040,960,-2080
594,296500.000us,3040,960,-2080
595,297000.000us,3120,1000,-2120
596,297500.000us,3000,920,-2080
597,298000.000us,3120,960,-2160
598,298500.000us,3080,1000,-2080
599,299000.000us,3320,1040,-2280
600,299500.000us,3080,960,-2120
601,300000.000us,3320,1040,-2280
602,300500.000us,3360,1040,-2320
603,301000.000us,3520,1120,-2400
604,301500.000us,3360,1040,-2320
605,302000.000us,3480,1080,-2400
606,302500.000us,3480,1080,-2400
607,303000.000us,3520,1120,-2400
608,303500.000us,3320,1040,-2280
609,304000.000us,3360,1040,-2320
610,304500.000us,3280,1000,-2280
611,305000.000us,3280,1000,-2280
612,305500.000us,2960,960,-2000
613,306000.000us,3000,960,-2040
614,306500.000us,3000,920,-2080
615,307000.000us,3000,960,-2040
616,307500.000us,2960,920,-2040
617,308000.000us,2960,920,-2040
618,308500.000us,2960,920,-2040
619,309000.000us,3000,960,-2040
620,309500.000us,2960,920,-2040
621,310000.000us,2960,920,-2040
622,310500.000us,2960,960,-2000
623,311000.000us,3000,1000,-2000
624,311500.000us,2960,880,-2080
625,312000.000us,3000,920,-2080
626,312500.000us,2960,920,-2040
627,313000.000us,3040,1000,-2040
628,313500.000us,2960,920,-2040
629,314000.000us,3000,920,-2080
630,314500.000us,3040,920,-2120
