time	Ix(M3:D)
9.616777201000463e-03	-8.868616e-06
9.626777201000462e-03	-8.868616e-06
9.636777201000462e-03	-8.868615e-06
9.646777201000462e-03	-8.868615e-06
9.656777201000463e-03	-8.868615e-06
9.666777201000462e-03	-8.868615e-06
9.676777201000462e-03	-8.868616e-06
9.686777201000462e-03	-8.868616e-06
9.696777201000463e-03	-8.868616e-06
9.706777201000463e-03	-8.868616e-06
9.716777201000462e-03	-8.868615e-06
9.726777201000462e-03	-8.868615e-06
9.736777201000463e-03	-8.868616e-06
9.746777201000463e-03	-8.868616e-06
9.756777201000462e-03	-8.868616e-06
9.766777201000462e-03	-8.868616e-06
9.776777201000463e-03	-8.868615e-06
9.786777201000463e-03	-8.868615e-06
9.796777201000462e-03	-8.868615e-06
9.806777201000462e-03	-8.868615e-06
9.816777201000462e-03	-8.868616e-06
9.826777201000463e-03	-8.868616e-06
9.836777201000462e-03	-8.868616e-06
9.846777201000462e-03	-8.868616e-06
9.856777201000462e-03	-8.868615e-06
9.866777201000463e-03	-8.868615e-06
9.876777201000463e-03	-8.868616e-06
9.886777201000462e-03	-8.868616e-06
9.896777201000462e-03	-8.868616e-06
9.906777201000463e-03	-8.868616e-06
9.916777201000463e-03	-8.868615e-06
9.926777201000462e-03	-8.868615e-06
9.936777201000462e-03	-8.868615e-06
9.946777201000463e-03	-8.868615e-06
9.956777201000463e-03	-8.868616e-06
9.966777201000462e-03	-8.868616e-06
9.976777201000462e-03	-8.868616e-06
9.986777201000462e-03	-8.868616e-06
9.996777201000463e-03	-8.868615e-06
1.000000000000000e-02	-8.868279e-06
1.000000000100000e-02	-8.868412e-06
1.000000000200000e-02	-8.868557e-06
1.000000000440036e-02	-8.868587e-06
1.000000000670974e-02	-8.868551e-06
1.000000001132851e-02	-8.868421e-06
1.000000002056606e-02	-8.868186e-06
1.000000003904114e-02	-8.867706e-06
1.000000007599130e-02	-8.866747e-06
1.000000014989163e-02	-8.864821e-06
1.000000029769228e-02	-8.860965e-06
1.000000059329359e-02	-8.853220e-06
1.000000118449621e-02	-8.837583e-06
1.000000236690145e-02	-8.805787e-06
1.000000473171193e-02	-8.740979e-06
1.000000946133289e-02	-8.610438e-06
1.000001768468402e-02	-8.386749e-06
1.000002962942897e-02	-8.037056e-06
1.000005351891887e-02	-4.643468e-06
1.000010129789866e-02	1.048060e-06
1.000017105027748e-02	-5.360731e-06
1.000023626403240e-02	-1.270885e-05
1.000031614377573e-02	-1.676270e-05
1.000039209500824e-02	-1.963000e-05
1.000054399747327e-02	-2.374927e-05
1.000056482753742e-02	-2.420080e-05
1.000060648766571e-02	-2.496777e-05
1.000068980792228e-02	-2.647219e-05
1.000085644843544e-02	-2.943958e-05
1.000118972946175e-02	-3.491552e-05
1.000176798343685e-02	-4.277603e-05
1.000243495306574e-02	-4.967290e-05
1.000255254085709e-02	-5.050322e-05
1.000278771643979e-02	-5.146230e-05
1.000325806760518e-02	-5.253118e-05
1.000337565539653e-02	-5.260311e-05
1.000361083097922e-02	-5.248711e-05
1.000408118214461e-02	-5.217220e-05
1.000502188447540e-02	-5.147016e-05
1.000690328913696e-02	-5.009240e-05
1.001062905475410e-02	-4.788780e-05
1.001808058598839e-02	-4.513049e-05
1.002808058598839e-02	-4.328355e-05
1.003808058598839e-02	-4.235570e-05
1.004808058598839e-02	-4.165580e-05
1.005808058598839e-02	-4.093147e-05
1.006808058598839e-02	-3.997449e-05
