time	Ix(M3:S)
1.426777201000463e-03	-8.653034e-06
1.436777201000463e-03	-8.649004e-06
1.446777201000463e-03	-8.645167e-06
1.456777201000463e-03	-8.641516e-06
1.466777201000463e-03	-8.638041e-06
1.476777201000463e-03	-8.634733e-06
1.486777201000463e-03	-8.631585e-06
1.496777201000463e-03	-8.628589e-06
1.506777201000463e-03	-8.625739e-06
1.516777201000463e-03	-8.623025e-06
1.526777201000463e-03	-8.620442e-06
1.536777201000463e-03	-8.617983e-06
1.546777201000463e-03	-8.615643e-06
1.556777201000463e-03	-8.613417e-06
1.566777201000463e-03	-8.611298e-06
1.576777201000463e-03	-8.609280e-06
1.586777201000463e-03	-8.607360e-06
1.596777201000463e-03	-8.605532e-06
1.606777201000463e-03	-8.603794e-06
1.616777201000463e-03	-8.602138e-06
1.626777201000463e-03	-8.600562e-06
1.636777201000463e-03	-8.599063e-06
1.646777201000463e-03	-8.597635e-06
1.656777201000463e-03	-8.596277e-06
1.666777201000463e-03	-8.594984e-06
1.676777201000463e-03	-8.593754e-06
1.686777201000463e-03	-8.592583e-06
1.696777201000463e-03	-8.591468e-06
1.706777201000463e-03	-8.590407e-06
1.716777201000463e-03	-8.589397e-06
1.726777201000463e-03	-8.588436e-06
1.736777201000463e-03	-8.587521e-06
1.746777201000463e-03	-8.586650e-06
1.756777201000463e-03	-8.585822e-06
1.766777201000463e-03	-8.585032e-06
1.776777201000463e-03	-8.584282e-06
1.786777201000463e-03	-8.583567e-06
1.796777201000463e-03	-8.582887e-06
1.806777201000463e-03	-8.582239e-06
1.816777201000463e-03	-8.581624e-06
1.826777201000463e-03	-8.581037e-06
1.836777201000463e-03	-8.580479e-06
1.846777201000463e-03	-8.579947e-06
1.856777201000463e-03	-8.579442e-06
1.866777201000463e-03	-8.578961e-06
1.876777201000463e-03	-8.578502e-06
1.886777201000463e-03	-8.578067e-06
1.896777201000463e-03	-8.577652e-06
1.906777201000463e-03	-8.577256e-06
1.916777201000463e-03	-8.576881e-06
1.926777201000463e-03	-8.576522e-06
1.936777201000463e-03	-8.576182e-06
1.946777201000463e-03	-8.575857e-06
1.956777201000463e-03	-8.575549e-06
1.966777201000463e-03	-8.575255e-06
1.976777201000463e-03	-8.574976e-06
1.986777201000463e-03	-8.574710e-06
1.996777201000463e-03	-8.574456e-06
2.006777201000463e-03	-8.574216e-06
2.016777201000463e-03	-8.573987e-06
2.026777201000463e-03	-8.573768e-06
2.036777201000463e-03	-8.573560e-06
2.046777201000463e-03	-8.573362e-06
2.056777201000463e-03	-8.573174e-06
