time	Ix(M3:D)
8.996777201000462e-03	-5.182748e-06
9.006777201000462e-03	-5.182748e-06
9.016777201000463e-03	-5.182748e-06
9.026777201000463e-03	-5.182748e-06
9.036777201000462e-03	-5.182748e-06
9.046777201000462e-03	-5.182748e-06
9.056777201000463e-03	-5.182748e-06
9.066777201000463e-03	-5.182748e-06
9.076777201000462e-03	-5.182748e-06
9.086777201000462e-03	-5.182748e-06
9.096777201000463e-03	-5.182748e-06
9.106777201000463e-03	-5.182748e-06
9.116777201000462e-03	-5.182748e-06
9.126777201000462e-03	-5.182748e-06
9.136777201000463e-03	-5.182748e-06
9.146777201000463e-03	-5.182748e-06
9.156777201000462e-03	-5.182748e-06
9.166777201000462e-03	-5.182748e-06
9.176777201000462e-03	-5.182748e-06
9.186777201000463e-03	-5.182748e-06
9.196777201000463e-03	-5.182748e-06
9.206777201000462e-03	-5.182748e-06
9.216777201000462e-03	-5.182748e-06
9.226777201000463e-03	-5.182748e-06
9.236777201000463e-03	-5.182748e-06
9.246777201000462e-03	-5.182748e-06
9.256777201000462e-03	-5.182748e-06
9.266777201000463e-03	-5.182748e-06
9.276777201000463e-03	-5.182748e-06
9.286777201000462e-03	-5.182748e-06
9.296777201000462e-03	-5.182748e-06
9.306777201000463e-03	-5.182748e-06
9.316777201000463e-03	-5.182748e-06
9.326777201000462e-03	-5.182748e-06
9.336777201000462e-03	-5.182748e-06
9.346777201000462e-03	-5.182748e-06
9.356777201000463e-03	-5.182748e-06
9.366777201000463e-03	-5.182748e-06
9.376777201000462e-03	-5.182748e-06
9.386777201000462e-03	-5.182748e-06
9.396777201000463e-03	-5.182748e-06
9.406777201000463e-03	-5.182748e-06
9.416777201000462e-03	-5.182748e-06
9.426777201000462e-03	-5.182748e-06
9.436777201000463e-03	-5.182748e-06
9.446777201000463e-03	-5.182748e-06
9.456777201000462e-03	-5.182748e-06
9.466777201000462e-03	-5.182748e-06
9.476777201000462e-03	-5.182748e-06
9.486777201000463e-03	-5.182748e-06
9.496777201000462e-03	-5.182748e-06
9.506777201000462e-03	-5.182748e-06
