time	Ix(M3:S)
4.556777201000463e-03	-5.182755e-06
4.566777201000463e-03	-5.182755e-06
4.576777201000463e-03	-5.182755e-06
4.586777201000463e-03	-5.182755e-06
4.596777201000463e-03	-5.182755e-06
4.606777201000463e-03	-5.182755e-06
4.616777201000463e-03	-5.182755e-06
4.626777201000463e-03	-5.182755e-06
4.636777201000463e-03	-5.182755e-06
4.646777201000463e-03	-5.182754e-06
4.656777201000463e-03	-5.182754e-06
4.666777201000463e-03	-5.182754e-06
4.676777201000463e-03	-5.182754e-06
4.686777201000462e-03	-5.182754e-06
4.696777201000463e-03	-5.182754e-06
4.706777201000462e-03	-5.182754e-06
4.716777201000463e-03	-5.182754e-06
4.726777201000463e-03	-5.182753e-06
4.736777201000463e-03	-5.182753e-06
4.746777201000463e-03	-5.182754e-06
4.756777201000463e-03	-5.182754e-06
4.766777201000463e-03	-5.182753e-06
4.776777201000463e-03	-5.182753e-06
4.786777201000463e-03	-5.182753e-06
4.796777201000463e-03	-5.182753e-06
4.806777201000463e-03	-5.182753e-06
4.816777201000463e-03	-5.182753e-06
4.826777201000463e-03	-5.182753e-06
4.836777201000462e-03	-5.182753e-06
4.846777201000463e-03	-5.182753e-06
4.856777201000462e-03	-5.182753e-06
4.866777201000463e-03	-5.182753e-06
4.876777201000462e-03	-5.182753e-06
4.886777201000463e-03	-5.182752e-06
4.896777201000463e-03	-5.182752e-06
4.906777201000463e-03	-5.182752e-06
4.916777201000463e-03	-5.182752e-06
4.926777201000463e-03	-5.182752e-06
4.936777201000463e-03	-5.182752e-06
4.946777201000463e-03	-5.182752e-06
4.956777201000463e-03	-5.182752e-06
4.966777201000463e-03	-5.182752e-06
4.976777201000463e-03	-5.182752e-06
4.986777201000463e-03	-5.182752e-06
4.996777201000463e-03	-5.182752e-06
5.006777201000462e-03	-5.182752e-06
5.016777201000463e-03	-5.182752e-06
5.026777201000462e-03	-5.182752e-06
5.036777201000463e-03	-5.182752e-06
5.046777201000462e-03	-5.182752e-06
5.056777201000463e-03	-5.182752e-06
5.066777201000463e-03	-5.182751e-06
5.076777201000463e-03	-5.182751e-06
5.086777201000463e-03	-5.182751e-06
5.096777201000463e-03	-5.182751e-06
5.106777201000463e-03	-5.182751e-06
5.116777201000463e-03	-5.182751e-06
5.126777201000463e-03	-5.182751e-06
5.136777201000463e-03	-5.182751e-06
5.146777201000463e-03	-5.182751e-06
5.156777201000462e-03	-5.182751e-06
5.166777201000463e-03	-5.182751e-06
5.176777201000462e-03	-5.182751e-06
5.186777201000463e-03	-5.182751e-06
5.196777201000462e-03	-5.182751e-06
5.206777201000463e-03	-5.182751e-06
5.216777201000463e-03	-5.182751e-06
5.226777201000463e-03	-5.182751e-06
5.236777201000463e-03	-5.182751e-06
5.246777201000463e-03	-5.182751e-06
5.256777201000463e-03	-5.182751e-06
5.266777201000463e-03	-5.182751e-06
5.276777201000463e-03	-5.182751e-06
5.286777201000463e-03	-5.182751e-06
5.296777201000463e-03	-5.182751e-06
5.306777201000463e-03	-5.182751e-06
5.316777201000463e-03	-5.182751e-06
5.326777201000462e-03	-5.182750e-06
5.336777201000463e-03	-5.182750e-06
5.346777201000462e-03	-5.182750e-06
5.356777201000463e-03	-5.182750e-06
5.366777201000462e-03	-5.182751e-06
5.376777201000463e-03	-5.182751e-06
5.386777201000463e-03	-5.182750e-06
5.396777201000463e-03	-5.182750e-06
5.406777201000463e-03	-5.182750e-06
5.416777201000463e-03	-5.182750e-06
5.426777201000463e-03	-5.182750e-06
5.436777201000463e-03	-5.182750e-06
5.446777201000463e-03	-5.182750e-06
5.456777201000463e-03	-5.182750e-06
5.466777201000463e-03	-5.182750e-06
5.476777201000462e-03	-5.182750e-06
5.486777201000463e-03	-5.182750e-06
5.496777201000462e-03	-5.182750e-06
5.506777201000463e-03	-5.182750e-06
5.516777201000462e-03	-5.182750e-06
5.526777201000463e-03	-5.182750e-06
5.536777201000462e-03	-5.182750e-06
5.546777201000463e-03	-5.182750e-06
5.556777201000463e-03	-5.182750e-06
5.566777201000463e-03	-5.182750e-06
5.576777201000463e-03	-5.182750e-06
5.586777201000463e-03	-5.182750e-06
5.596777201000463e-03	-5.182750e-06
5.606777201000463e-03	-5.182750e-06
5.616777201000463e-03	-5.182750e-06
5.626777201000463e-03	-5.182750e-06
5.636777201000463e-03	-5.182750e-06
5.646777201000462e-03	-5.182750e-06
5.656777201000463e-03	-5.182750e-06
5.666777201000462e-03	-5.182750e-06
5.676777201000463e-03	-5.182750e-06
5.686777201000462e-03	-5.182750e-06
5.696777201000463e-03	-5.182750e-06
5.706777201000462e-03	-5.182750e-06
5.716777201000463e-03	-5.182750e-06
5.726777201000463e-03	-5.182749e-06
5.736777201000463e-03	-5.182749e-06
5.746777201000463e-03	-5.182749e-06
5.756777201000463e-03	-5.182749e-06
5.766777201000463e-03	-5.182750e-06
5.776777201000463e-03	-5.182750e-06
5.786777201000463e-03	-5.182749e-06
5.796777201000462e-03	-5.182749e-06
5.806777201000463e-03	-5.182749e-06
5.816777201000462e-03	-5.182749e-06
5.826777201000463e-03	-5.182749e-06
5.836777201000462e-03	-5.182749e-06
5.846777201000463e-03	-5.182749e-06
5.856777201000462e-03	-5.182749e-06
5.866777201000463e-03	-5.182749e-06
5.876777201000462e-03	-5.182749e-06
5.886777201000463e-03	-5.182749e-06
5.896777201000463e-03	-5.182749e-06
5.906777201000463e-03	-5.182749e-06
5.916777201000463e-03	-5.182749e-06
5.926777201000463e-03	-5.182749e-06
5.936777201000463e-03	-5.182749e-06
5.946777201000463e-03	-5.182749e-06
5.956777201000463e-03	-5.182749e-06
5.966777201000462e-03	-5.182749e-06
5.976777201000463e-03	-5.182749e-06
5.986777201000462e-03	-5.182749e-06
5.996777201000463e-03	-5.182749e-06
6.006777201000462e-03	-5.182749e-06
6.016777201000463e-03	-5.182749e-06
6.026777201000462e-03	-5.182749e-06
6.036777201000463e-03	-5.182749e-06
6.046777201000463e-03	-5.182749e-06
6.056777201000463e-03	-5.182749e-06
6.066777201000463e-03	-5.182749e-06
6.076777201000463e-03	-5.182749e-06
6.086777201000463e-03	-5.182749e-06
6.096777201000463e-03	-5.182749e-06
6.106777201000463e-03	-5.182749e-06
6.116777201000462e-03	-5.182749e-06
6.126777201000463e-03	-5.182749e-06
6.136777201000462e-03	-5.182749e-06
6.146777201000463e-03	-5.182749e-06
6.156777201000462e-03	-5.182749e-06
6.166777201000463e-03	-5.182749e-06
6.176777201000462e-03	-5.182749e-06
6.186777201000463e-03	-5.182749e-06
6.196777201000462e-03	-5.182749e-06
6.206777201000463e-03	-5.182749e-06
6.216777201000463e-03	-5.182749e-06
6.226777201000463e-03	-5.182749e-06
6.236777201000463e-03	-5.182749e-06
6.246777201000463e-03	-5.182749e-06
6.256777201000463e-03	-5.182749e-06
6.266777201000463e-03	-5.182749e-06
6.276777201000463e-03	-5.182749e-06
6.286777201000462e-03	-5.182749e-06
6.296777201000463e-03	-5.182749e-06
6.306777201000462e-03	-5.182749e-06
6.316777201000463e-03	-5.182749e-06
