time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
9.095249943540722e-04	-4.469252e-02	-4.469824e-02	-4.467957e-02
9.195249943540722e-04	-4.468966e-02	-4.468369e-02	-4.470038e-02
9.295249943540722e-04	-4.469252e-02	-4.469824e-02	-4.467960e-02
9.395249943540722e-04	-4.468966e-02	-4.468393e-02	-4.470035e-02
9.495249943540722e-04	-4.469252e-02	-4.469824e-02	-4.467964e-02
9.595249943540722e-04	-4.468966e-02	-4.468393e-02	-4.470031e-02
9.695249943540722e-04	-4.469252e-02	-4.469824e-02	-4.467967e-02
9.795249943540722e-04	-4.468966e-02	-4.468393e-02	-4.470028e-02
9.895249943540723e-04	-4.469252e-02	-4.469824e-02	-4.467971e-02
9.995249943540723e-04	-4.468966e-02	-4.468393e-02	-4.470024e-02
1.009524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467974e-02
1.019524994354072e-03	-4.468966e-02	-4.468393e-02	-4.470021e-02
1.029524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467977e-02
1.039524994354072e-03	-4.468966e-02	-4.468393e-02	-4.470018e-02
1.049524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467981e-02
1.059524994354072e-03	-4.468918e-02	-4.468393e-02	-4.470014e-02
1.069524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467984e-02
1.079524994354072e-03	-4.468918e-02	-4.468393e-02	-4.470011e-02
1.089524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467987e-02
1.099524994354072e-03	-4.468918e-02	-4.468393e-02	-4.470008e-02
1.109524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467991e-02
1.119524994354072e-03	-4.468918e-02	-4.468393e-02	-4.470005e-02
1.129524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467993e-02
1.139524994354072e-03	-4.468918e-02	-4.468393e-02	-4.470002e-02
1.149524994354072e-03	-4.469299e-02	-4.469800e-02	-4.467997e-02
1.159524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469999e-02
