time	V(N018,N016)	V(N050,N048)	V(N082,N074)
2.123260631953241e-02	3.278878e+00	3.278844e+00	3.278920e+00
2.124260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.125260631953241e-02	3.278879e+00	3.278844e+00	3.278920e+00
2.126260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.127260631953241e-02	3.278879e+00	3.278844e+00	3.278920e+00
2.128260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.129260631953241e-02	3.278879e+00	3.278844e+00	3.278920e+00
2.130260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.131260631953241e-02	3.278878e+00	3.278844e+00	3.278920e+00
2.132260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.133260631953241e-02	3.278878e+00	3.278844e+00	3.278920e+00
2.134260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.135260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.136260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.137260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.138260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.139260631953241e-02	3.278878e+00	3.278844e+00	3.278920e+00
2.140260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.141260631953241e-02	3.278878e+00	3.278844e+00	3.278920e+00
2.142260631953241e-02	3.278883e+00	3.278926e+00	3.278865e+00
2.143260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.144260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.145260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.146260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.147260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.148260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.149260631953241e-02	3.278879e+00	3.278845e+00	3.278920e+00
2.150260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.151260631953241e-02	3.278879e+00	3.278845e+00	3.278920e+00
2.152260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.153260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.154260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.155260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.156260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.157260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.158260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.159260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.160260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.161260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.162260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.163260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.164260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.165260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.166260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.167260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.168260631953241e-02	3.278883e+00	3.278925e+00	3.278865e+00
2.169260631953241e-02	3.278878e+00	3.278845e+00	3.278920e+00
2.170260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.171260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.172260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.173260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.174260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.175260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.176260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
