time	V(n032)
1.061744739188318e-02	-1.465955e-01
1.062744739188318e-02	-1.464131e-01
1.063744739188318e-02	-1.462394e-01
1.064744739188318e-02	-1.460740e-01
1.065744739188318e-02	-1.459168e-01
1.066744739188318e-02	-1.457676e-01
1.067744739188318e-02	-1.456261e-01
1.068744739188318e-02	-1.454919e-01
1.069744739188318e-02	-1.453649e-01
1.070744739188318e-02	-1.452446e-01
1.071744739188318e-02	-1.451308e-01
1.072744739188318e-02	-1.450232e-01
1.073744739188318e-02	-1.449216e-01
1.074744739188318e-02	-1.448255e-01
1.075744739188318e-02	-1.447348e-01
1.076744739188318e-02	-1.446492e-01
1.077744739188318e-02	-1.445684e-01
1.078744739188318e-02	-1.444922e-01
1.079744739188318e-02	-1.444204e-01
1.080744739188318e-02	-1.443526e-01
1.081744739188318e-02	-1.442887e-01
1.082744739188318e-02	-1.442285e-01
1.083744739188318e-02	-1.441718e-01
1.084744739188318e-02	-1.441184e-01
1.085744739188318e-02	-1.440681e-01
1.086744739188318e-02	-1.440208e-01
1.087744739188318e-02	-1.439762e-01
1.088744739188318e-02	-1.439342e-01
1.089744739188318e-02	-1.438947e-01
1.090744739188318e-02	-1.438575e-01
1.091744739188318e-02	-1.438225e-01
1.092744739188318e-02	-1.437896e-01
1.093744739188318e-02	-1.437586e-01
1.094744739188318e-02	-1.437295e-01
1.095744739188318e-02	-1.437021e-01
1.096744739188318e-02	-1.436763e-01
1.097744739188318e-02	-1.436521e-01
1.098744739188318e-02	-1.436293e-01
1.099744739188318e-02	-1.436078e-01
1.100000000100000e-02	-1.436026e-01
1.100000000200000e-02	-1.436026e-01
1.100000001800000e-02	-1.436026e-01
1.100000005000000e-02	-1.436026e-01
1.100000011400000e-02	-1.436026e-01
1.100000024200000e-02	-1.436026e-01
1.100000049800000e-02	-1.436026e-01
1.100000101000000e-02	-1.436026e-01
1.100000203400000e-02	-1.436026e-01
1.100000408200000e-02	-1.436026e-01
1.100000817800000e-02	-1.436026e-01
1.100001637000000e-02	-1.436026e-01
1.100003275400001e-02	-1.436025e-01
1.100006552200002e-02	-1.436024e-01
1.100013105800003e-02	-1.436023e-01
1.100026213000006e-02	-1.436020e-01
1.100052427400013e-02	-1.436015e-01
1.100104856200025e-02	-1.436004e-01
1.100209713800050e-02	-1.435983e-01
1.100419429000100e-02	-1.435941e-01
1.100838859400201e-02	-1.435859e-01
1.101677720200402e-02	-1.435700e-01
1.102677720200402e-02	-1.435521e-01
1.103677720200402e-02	-1.435353e-01
1.104677720200402e-02	-1.435195e-01
1.105677720200402e-02	-1.435046e-01
1.106677720200402e-02	-1.434907e-01
1.107677720200402e-02	-1.434775e-01
1.108677720200402e-02	-1.434652e-01
1.109677720200402e-02	-1.434536e-01
1.110677720200402e-02	-1.434427e-01
1.111677720200402e-02	-1.434324e-01
1.112677720200402e-02	-1.434228e-01
1.113677720200402e-02	-1.434137e-01
1.114677720200402e-02	-1.434052e-01
1.115677720200402e-02	-1.433972e-01
1.116677720200402e-02	-1.433897e-01
1.117677720200402e-02	-1.433826e-01
1.118677720200402e-02	-1.433759e-01
1.119677720200402e-02	-1.433697e-01
1.120677720200402e-02	-1.433638e-01
1.121677720200402e-02	-1.433583e-01
1.122677720200402e-02	-1.433531e-01
1.123677720200402e-02	-1.433482e-01
1.124677720200402e-02	-1.433436e-01
1.125677720200402e-02	-1.433392e-01
1.126677720200402e-02	-1.433352e-01
1.127677720200402e-02	-1.433313e-01
1.128677720200402e-02	-1.433277e-01
1.129677720200402e-02	-1.433244e-01
1.130677720200402e-02	-1.433212e-01
1.131677720200402e-02	-1.433182e-01
1.132677720200402e-02	-1.433153e-01
1.133677720200402e-02	-1.433127e-01
1.134677720200402e-02	-1.433102e-01
1.135677720200402e-02	-1.433078e-01
1.136677720200402e-02	-1.433056e-01
1.137677720200402e-02	-1.433035e-01
1.138677720200402e-02	-1.433015e-01
1.139677720200402e-02	-1.432997e-01
1.140677720200402e-02	-1.432980e-01
1.141677720200402e-02	-1.432963e-01
1.142677720200402e-02	-1.432948e-01
1.143677720200402e-02	-1.432933e-01
1.144677720200402e-02	-1.432919e-01
1.145677720200402e-02	-1.432906e-01
1.146677720200402e-02	-1.432894e-01
1.147677720200402e-02	-1.432882e-01
1.148677720200402e-02	-1.432871e-01
1.149677720200402e-02	-1.432861e-01
1.150677720200402e-02	-1.432851e-01
1.151677720200402e-02	-1.432842e-01
1.152677720200402e-02	-1.432833e-01
1.153677720200402e-02	-1.432825e-01
1.154677720200402e-02	-1.432817e-01
1.155677720200402e-02	-1.432810e-01
1.156677720200402e-02	-1.432803e-01
1.157677720200402e-02	-1.432796e-01
1.158677720200402e-02	-1.432790e-01
1.159677720200402e-02	-1.432784e-01
1.160677720200402e-02	-1.432779e-01
1.161677720200402e-02	-1.432773e-01
1.162677720200402e-02	-1.432768e-01
1.163677720200402e-02	-1.432763e-01
1.164677720200402e-02	-1.432759e-01
1.165677720200402e-02	-1.432755e-01
1.166677720200402e-02	-1.432751e-01
1.167677720200402e-02	-1.432747e-01
1.168677720200402e-02	-1.432743e-01
1.169677720200402e-02	-1.432739e-01
1.170677720200402e-02	-1.432736e-01
1.171677720200402e-02	-1.432733e-01
1.172677720200402e-02	-1.432730e-01
1.173677720200402e-02	-1.432727e-01
1.174677720200402e-02	-1.432724e-01
1.175677720200402e-02	-1.432722e-01
1.176677720200402e-02	-1.432719e-01
1.177677720200402e-02	-1.432717e-01
1.178677720200402e-02	-1.432714e-01
1.179677720200402e-02	-1.432712e-01
1.180677720200402e-02	-1.432710e-01
1.181677720200402e-02	-1.432708e-01
1.182677720200402e-02	-1.432706e-01
1.183677720200402e-02	-1.432704e-01
1.184677720200402e-02	-1.432703e-01
1.185677720200402e-02	-1.432701e-01
1.186677720200402e-02	-1.432699e-01
1.187677720200402e-02	-1.432698e-01
1.188677720200402e-02	-1.432696e-01
1.189677720200402e-02	-1.432695e-01
1.190677720200402e-02	-1.432693e-01
1.191677720200402e-02	-1.432692e-01
1.192677720200402e-02	-1.432691e-01
1.193677720200402e-02	-1.432690e-01
1.194677720200402e-02	-1.432688e-01
1.195677720200402e-02	-1.432687e-01
1.196677720200402e-02	-1.432686e-01
1.197677720200402e-02	-1.432685e-01
