time	Ix(Sgnd12:D)
1.176677720200402e-02	-7.748492e-06
1.177677720200402e-02	-7.748444e-06
1.178677720200402e-02	-7.748397e-06
1.179677720200402e-02	-7.748354e-06
1.180677720200402e-02	-7.748312e-06
1.181677720200402e-02	-7.748272e-06
1.182677720200402e-02	-7.748233e-06
1.183677720200402e-02	-7.748196e-06
1.184677720200402e-02	-7.748160e-06
1.185677720200402e-02	-7.748126e-06
1.186677720200402e-02	-7.748094e-06
1.187677720200402e-02	-7.748062e-06
1.188677720200402e-02	-7.748032e-06
1.189677720200402e-02	-7.748003e-06
1.190677720200402e-02	-7.747974e-06
1.191677720200402e-02	-7.747947e-06
1.192677720200402e-02	-7.747922e-06
1.193677720200402e-02	-7.747896e-06
1.194677720200402e-02	-7.747873e-06
1.195677720200402e-02	-7.747849e-06
1.196677720200402e-02	-7.747826e-06
1.197677720200402e-02	-7.747804e-06
1.198677720200402e-02	-7.747783e-06
1.199677720200402e-02	-7.747763e-06
1.200677720200402e-02	-7.747743e-06
1.201677720200402e-02	-7.747723e-06
1.202677720200402e-02	-7.747705e-06
1.203677720200402e-02	-7.747687e-06
1.204677720200402e-02	-7.747670e-06
1.205677720200402e-02	-7.747652e-06
1.206677720200402e-02	-7.747636e-06
1.207677720200402e-02	-7.747620e-06
1.208677720200402e-02	-7.747604e-06
1.209677720200402e-02	-7.747589e-06
1.210677720200402e-02	-7.747574e-06
1.211677720200402e-02	-7.747560e-06
1.212677720200402e-02	-7.747546e-06
1.213677720200402e-02	-7.747532e-06
1.214677720200402e-02	-7.747519e-06
1.215677720200402e-02	-7.747506e-06
1.216677720200402e-02	-7.747493e-06
1.217677720200402e-02	-7.747481e-06
1.218677720200402e-02	-7.747469e-06
1.219677720200402e-02	-7.747457e-06
1.220677720200402e-02	-7.747445e-06
1.221677720200402e-02	-7.747434e-06
1.222677720200402e-02	-7.747423e-06
1.223677720200402e-02	-7.747412e-06
1.224677720200402e-02	-7.747401e-06
1.225677720200402e-02	-7.747391e-06
1.226677720200402e-02	-7.747381e-06
1.227677720200402e-02	-7.747371e-06
1.228677720200402e-02	-7.747361e-06
1.229677720200402e-02	-7.747351e-06
1.230677720200402e-02	-7.747342e-06
1.231677720200402e-02	-7.747333e-06
1.232677720200402e-02	-7.747324e-06
1.233677720200402e-02	-7.747315e-06
1.234677720200402e-02	-7.747307e-06
1.235677720200402e-02	-7.747298e-06
1.236677720200402e-02	-7.747290e-06
1.237677720200402e-02	-7.747281e-06
1.238677720200402e-02	-7.747273e-06
1.239677720200402e-02	-7.747266e-06
1.240677720200402e-02	-7.747258e-06
1.241677720200402e-02	-7.747250e-06
1.242677720200402e-02	-7.747243e-06
1.243677720200402e-02	-7.747236e-06
1.244677720200402e-02	-7.747229e-06
1.245677720200402e-02	-7.747221e-06
1.246677720200402e-02	-7.747214e-06
1.247677720200402e-02	-7.747208e-06
1.248677720200402e-02	-7.747200e-06
1.249677720200402e-02	-7.747194e-06
1.250677720200402e-02	-7.747187e-06
1.251677720200402e-02	-7.747181e-06
1.252677720200402e-02	-7.747174e-06
