time	I(Cij)
2.731549613465724e-07	-3.308431e-03
2.773489908080203e-07	-3.309732e-03
2.804265044051182e-07	-3.310726e-03
2.836543915358808e-07	-3.311160e-03
2.871660526213846e-07	-3.310684e-03
2.906268809662489e-07	-3.309557e-03
2.934236756480184e-07	-3.308635e-03
2.964614462917730e-07	-3.308132e-03
2.998506372451276e-07	-3.308441e-03
3.041155029316683e-07	-3.309721e-03
3.072206214334407e-07	-3.310691e-03
3.104849700372798e-07	-3.311102e-03
3.140381212186178e-07	-3.310610e-03
3.174315832971775e-07	-3.309524e-03
3.202322139727208e-07	-3.308632e-03
3.233268545957492e-07	-3.308154e-03
3.267535947121010e-07	-3.308490e-03
3.308343420858276e-07	-3.309700e-03
3.338919899824565e-07	-3.310634e-03
3.371870099326780e-07	-3.311046e-03
3.407682946025918e-07	-3.310568e-03
3.470337991178926e-07	-3.308629e-03
3.501766582262186e-07	-3.308178e-03
3.536444712616428e-07	-3.308540e-03
3.605961166975197e-07	-3.310590e-03
3.639333811290022e-07	-3.310994e-03
3.675469080766060e-07	-3.310516e-03
3.709682316011109e-07	-3.309478e-03
3.738162791914598e-07	-3.308631e-03
3.770121847845665e-07	-3.308204e-03
3.805209170311490e-07	-3.308590e-03
3.843081620142008e-07	-3.309685e-03
3.873118926878356e-07	-3.310553e-03
3.906964746032050e-07	-3.310945e-03
3.943450481126904e-07	-3.310463e-03
3.977326489859368e-07	-3.309458e-03
4.005925044612468e-07	-3.308637e-03
4.038452820688475e-07	-3.308234e-03
4.073958618170341e-07	-3.308644e-03
4.110527614698745e-07	-3.309686e-03
4.140377333290611e-07	-3.310524e-03
4.174749094706039e-07	-3.310902e-03
4.211610728841611e-07	-3.310412e-03
4.244989468474493e-07	-3.309444e-03
4.273672276459877e-07	-3.308649e-03
4.306809937733341e-07	-3.308270e-03
4.342748435068382e-07	-3.308704e-03
4.378054212070767e-07	-3.309696e-03
4.407749930747320e-07	-3.310505e-03
4.442703480370723e-07	-3.310868e-03
4.479968911276418e-07	-3.310367e-03
4.512712082000891e-07	-3.309437e-03
4.541453139267833e-07	-3.308670e-03
4.575249296557764e-07	-3.308316e-03
4.611640450455284e-07	-3.308775e-03
4.645691112940608e-07	-3.309719e-03
4.675256450840856e-07	-3.310500e-03
4.710853399353499e-07	-3.310846e-03
4.748554668002255e-07	-3.310332e-03
4.780538662715521e-07	-3.309443e-03
4.809317722230883e-07	-3.308703e-03
4.843830423143755e-07	-3.308376e-03
4.880701468903836e-07	-3.308862e-03
4.913478021522292e-07	-3.309759e-03
4.942929271921186e-07	-3.310513e-03
4.979240934322442e-07	-3.310839e-03
5.017417003491253e-07	-3.310309e-03
5.048728001387748e-07	-3.309458e-03
5.077618423245416e-07	-3.308746e-03
5.112982306383903e-07	-3.308454e-03
5.150393536220919e-07	-3.308975e-03
5.182053295821169e-07	-3.309832e-03
5.211576285884972e-07	-3.310557e-03
5.248937781540302e-07	-3.310846e-03
5.287740033765337e-07	-3.310277e-03
5.318804383255702e-07	-3.309447e-03
5.348190774155801e-07	-3.308773e-03
5.389189237739028e-07	-3.308585e-03
5.426134436951160e-07	-3.309229e-03
5.457186886329977e-07	-3.310069e-03
5.487998298641924e-07	-3.310722e-03
5.528303241221228e-07	-3.310801e-03
5.569970271120662e-07	-3.310003e-03
5.599058409434085e-07	-3.309241e-03
5.629652916625308e-07	-3.308708e-03
5.668729985697027e-07	-3.308799e-03
5.713516842154288e-07	-3.309760e-03
5.743990852956953e-07	-3.310520e-03
5.777907137874615e-07	-3.310924e-03
5.817331504641198e-07	-3.310567e-03
5.857758141730020e-07	-3.309615e-03
5.890217302855659e-07	-3.308932e-03
5.927394719428401e-07	-3.308783e-03
5.966570092413639e-07	-3.309424e-03
5.997465410163366e-07	-3.310218e-03
6.028908456869968e-07	-3.310836e-03
6.069887219271532e-07	-3.310877e-03
6.113302767486238e-07	-3.310061e-03
6.142774162705040e-07	-3.309343e-03
6.174551690140221e-07	-3.308885e-03
6.214121909379993e-07	-3.309085e-03
6.264419836882662e-07	-3.310161e-03
6.300365352288620e-07	-3.310877e-03
6.340036498055265e-07	-3.310956e-03
6.381639053347826e-07	-3.310232e-03
6.411965342588556e-07	-3.309506e-03
6.443979645612396e-07	-3.309016e-03
6.484216708382828e-07	-3.309158e-03
6.531963731417915e-07	-3.310135e-03
6.565550453435394e-07	-3.310846e-03
6.603194431078717e-07	-3.311066e-03
6.644359824783154e-07	-3.310499e-03
6.676387959942874e-07	-3.309752e-03
6.708009013464694e-07	-3.309192e-03
6.750062299338061e-07	-3.309193e-03
6.792519301819525e-07	-3.309976e-03
6.823147859653934e-07	-3.310683e-03
6.857375656855939e-07	-3.311121e-03
6.898465457946299e-07	-3.310865e-03
6.946971217559112e-07	-3.309884e-03
6.983142971882479e-07	-3.309276e-03
7.028626609975260e-07	-3.309361e-03
7.069571230435711e-07	-3.310151e-03
7.100688133767825e-07	-3.310831e-03
7.136632000572680e-07	-3.311193e-03
7.177994690795040e-07	-3.310828e-03
7.218258872512885e-07	-3.309988e-03
7.252169046171127e-07	-3.309409e-03
7.297039609426526e-07	-3.309426e-03
7.338411935549826e-07	-3.310169e-03
7.370138295035072e-07	-3.310854e-03
7.405871340132108e-07	-3.311243e-03
7.447743998091043e-07	-3.310927e-03
7.492005805233331e-07	-3.310049e-03
7.527475393282453e-07	-3.309486e-03
7.573112085268461e-07	-3.309568e-03
7.615718624119708e-07	-3.310348e-03
7.647465428242650e-07	-3.310993e-03
7.684630070837263e-07	-3.311303e-03
7.726938298417500e-07	-3.310888e-03
7.764211735939551e-07	-3.310134e-03
7.797990722383875e-07	-3.309601e-03
7.842969039313784e-07	-3.309644e-03
7.886701208815923e-07	-3.310404e-03
7.918834110322218e-07	-3.311044e-03
7.956086276797615e-07	-3.311356e-03
7.998867293282747e-07	-3.310957e-03
8.037300908733521e-07	-3.310204e-03
8.071779805187499e-07	-3.309688e-03
8.117217262416474e-07	-3.309763e-03
8.162088849028296e-07	-3.310539e-03
8.194457716562407e-07	-3.311149e-03
8.232893642844216e-07	-3.311404e-03
8.276227846642079e-07	-3.310943e-03
8.311326637987978e-07	-3.310259e-03
8.345425300527595e-07	-3.309777e-03
8.390445931450872e-07	-3.309868e-03
8.437567671909933e-07	-3.310667e-03
8.471040022617031e-07	-3.311257e-03
8.511058990292855e-07	-3.311441e-03
8.555187861195460e-07	-3.310907e-03
8.589631429450059e-07	-3.310253e-03
8.624803612707551e-07	-3.309835e-03
8.669177987071458e-07	-3.310030e-03
8.722244121272352e-07	-3.310934e-03
8.761575813020280e-07	-3.311463e-03
8.811365937851992e-07	-3.311288e-03
8.858885337716822e-07	-3.310492e-03
8.893919713368275e-07	-3.309991e-03
8.937222394435680e-07	-3.310011e-03
8.982416334413101e-07	-3.310700e-03
9.016134553657174e-07	-3.311298e-03
9.055410547350409e-07	-3.311563e-03
9.100048673880553e-07	-3.311138e-03
9.137511303684475e-07	-3.310472e-03
9.173362185053874e-07	-3.310037e-03
9.219761869736821e-07	-3.310198e-03
9.270630563568610e-07	-3.311021e-03
9.308434309364079e-07	-3.311540e-03
9.354959515151194e-07	-3.311475e-03
9.436853443715895e-07	-3.310239e-03
9.477749946444674e-07	-3.310126e-03
9.522758219410874e-07	-3.310679e-03
9.558280663473269e-07	-3.311302e-03
9.596583807289226e-07	-3.311659e-03
9.642527213559598e-07	-3.311370e-03
9.692127155766834e-07	-3.310588e-03
9.732333706309455e-07	-3.310190e-03
9.781171202385411e-07	-3.310478e-03
9.835016758135834e-07	-3.311324e-03
9.877080178062194e-07	-3.311711e-03
9.927372334980548e-07	-3.311371e-03
9.984959363106446e-07	-3.310526e-03
1.002942846084557e-06	-3.310276e-03
1.007859150403247e-06	-3.310769e-03
1.012381724209896e-06	-3.311486e-03
1.016590441039953e-06	-3.311764e-03
1.021409652237461e-06	-3.311348e-03
1.025816117406666e-06	-3.310669e-03
1.029834565516510e-06	-3.310356e-03
1.034643054297311e-06	-3.310703e-03
1.039783249213173e-06	-3.311482e-03
1.044111538666503e-06	-3.311814e-03
1.049102010837857e-06	-3.311437e-03
1.054169617795057e-06	-3.310704e-03
1.058451033342972e-06	-3.310443e-03
1.063381122199019e-06	-3.310873e-03
1.068082821239669e-06	-3.311579e-03
1.072379250066807e-06	-3.311862e-03
1.077324754423556e-06	-3.311461e-03
1.081944670527858e-06	-3.310794e-03
1.086124977246124e-06	-3.310524e-03
1.091041130422702e-06	-3.310915e-03
1.095862730421340e-06	-3.311618e-03
1.100201746406276e-06	-3.311909e-03
1.105221652011585e-06	-3.311522e-03
1.110015269870238e-06	-3.310855e-03
1.114298330845072e-06	-3.310607e-03
1.119280951776767e-06	-3.311022e-03
1.123959354455568e-06	-3.311689e-03
1.128324241974389e-06	-3.311954e-03
1.133359980639456e-06	-3.311554e-03
1.137957638803206e-06	-3.310926e-03
1.142231254437412e-06	-3.310687e-03
1.147229166364960e-06	-3.311095e-03
1.151863751546517e-06	-3.311740e-03
1.156249333059843e-06	-3.311999e-03
1.161327036116977e-06	-3.311604e-03
1.165944867863076e-06	-3.310992e-03
1.170272097887021e-06	-3.310766e-03
1.175318447515737e-06	-3.311181e-03
1.179891926225907e-06	-3.311801e-03
1.184317447902256e-06	-3.312042e-03
1.189429324932686e-06	-3.311640e-03
1.193940430301908e-06	-3.311056e-03
1.198292114106458e-06	-3.310844e-03
1.203366343001555e-06	-3.311259e-03
1.207857176627277e-06	-3.311854e-03
1.212306284273291e-06	-3.312085e-03
1.217452023470423e-06	-3.311684e-03
1.221921498549673e-06	-3.311120e-03
1.226312241689427e-06	-3.310920e-03
1.231426645877989e-06	-3.311337e-03
1.235864948919183e-06	-3.311910e-03
1.240354741504949e-06	-3.312126e-03
1.245538601681289e-06	-3.311721e-03
1.249934696533147e-06	-3.311181e-03
1.254363594078194e-06	-3.310994e-03
1.259512459423601e-06	-3.311416e-03
1.263868318565923e-06	-3.311963e-03
1.268391163442501e-06	-3.312167e-03
1.273609266467182e-06	-3.311760e-03
1.277938525553435e-06	-3.311242e-03
1.282406047247396e-06	-3.311067e-03
1.287591931950410e-06	-3.311490e-03
1.291884105156001e-06	-3.312015e-03
1.296447843950975e-06	-3.312206e-03
1.301703996047189e-06	-3.311796e-03
1.305966523131158e-06	-3.311301e-03
1.310478143903150e-06	-3.311139e-03
1.315701503794547e-06	-3.311565e-03
1.319921347680184e-06	-3.312066e-03
1.324529423394240e-06	-3.312244e-03
1.329822895850677e-06	-3.311831e-03
1.334062620726981e-06	-3.311354e-03
1.338647728929018e-06	-3.311211e-03
1.343914324894870e-06	-3.311647e-03
1.348160756907503e-06	-3.312131e-03
1.352897786801399e-06	-3.312274e-03
1.358244275943610e-06	-3.311837e-03
1.362493968167081e-06	-3.311385e-03
1.367257920394964e-06	-3.311297e-03
1.372578731378569e-06	-3.311771e-03
1.376820644516024e-06	-3.312219e-03
1.381825760532281e-06	-3.312281e-03
1.387258521217054e-06	-3.311789e-03
1.391502086086316e-06	-3.311391e-03
1.396698055461501e-06	-3.311427e-03
1.402170130231286e-06	-3.311974e-03
1.406444425612191e-06	-3.312336e-03
1.412822363951100e-06	-3.312150e-03
1.418605109200649e-06	-3.311575e-03
1.423419197404712e-06	-3.311398e-03
1.429335232655573e-06	-3.311834e-03
1.434304598850831e-06	-3.312317e-03
1.439588957220627e-06	-3.312336e-03
1.445276770210150e-06	-3.311822e-03
1.449623528958041e-06	-3.311480e-03
1.455369543042153e-06	-3.311636e-03
1.461222044807682e-06	-3.312214e-03
1.466080611007989e-06	-3.312444e-03
1.472158878821896e-06	-3.312068e-03
1.477620885206152e-06	-3.311584e-03
1.483035763109106e-06	-3.311603e-03
1.488818277746692e-06	-3.312133e-03
1.493283336334404e-06	-3.312461e-03
1.499884977815731e-06	-3.312233e-03
1.506075945906290e-06	-3.311684e-03
1.511384130660553e-06	-3.311617e-03
1.517420608894815e-06	-3.312116e-03
1.521945896958577e-06	-3.312478e-03
1.527757256093241e-06	-3.312365e-03
1.533757223450710e-06	-3.311832e-03
1.538650104248483e-06	-3.311630e-03
1.544892124139914e-06	-3.312015e-03
1.550489692317016e-06	-3.312487e-03
1.556234550461353e-06	-3.312445e-03
1.562291543627188e-06	-3.311931e-03
1.566928171676081e-06	-3.311684e-03
1.573547630370165e-06	-3.312009e-03
1.580657865297297e-06	-3.312546e-03
1.587226888999933e-06	-3.312405e-03
1.593644988797946e-06	-3.311874e-03
1.598627008215650e-06	-3.311755e-03
1.605148977957024e-06	-3.312206e-03
1.610157741672801e-06	-3.312582e-03
1.616160538106542e-06	-3.312466e-03
1.622378324919646e-06	-3.311956e-03
1.627476830313993e-06	-3.311797e-03
1.633903760889402e-06	-3.312205e-03
1.639270635798800e-06	-3.312607e-03
1.645314137320321e-06	-3.312509e-03
1.651595451823317e-06	-3.312008e-03
1.656649234976485e-06	-3.311845e-03
1.663221750414559e-06	-3.312242e-03
1.668752312968226e-06	-3.312641e-03
1.674930314253958e-06	-3.312528e-03
1.681324082782051e-06	-3.312032e-03
1.686543450347804e-06	-3.311900e-03
1.693133690643558e-06	-3.312319e-03
1.698415370532490e-06	-3.312678e-03
1.704743394151009e-06	-3.312536e-03
1.711241197816224e-06	-3.312049e-03
1.716749433719126e-06	-3.311964e-03
1.723306476259800e-06	-3.312407e-03
1.728275118353098e-06	-3.312715e-03
1.734890460410188e-06	-3.312526e-03
1.741593502231155e-06	-3.312052e-03
1.747544323127679e-06	-3.312050e-03
1.754115862112729e-06	-3.312524e-03
1.759208214438654e-06	-3.312756e-03
1.766390067084801e-06	-3.312438e-03
1.773126462293448e-06	-3.312035e-03
1.780526327364617e-06	-3.312252e-03
1.787298270216180e-06	-3.312718e-03
1.793329626977761e-06	-3.312694e-03
1.800213677599548e-06	-3.312226e-03
1.805451121954857e-06	-3.312061e-03
1.812618541417762e-06	-3.312438e-03
1.818696409503010e-06	-3.312789e-03
1.826244385144469e-06	-3.312560e-03
1.833198898416585e-06	-3.312130e-03
1.839637334918357e-06	-3.312228e-03
1.846584492068040e-06	-3.312701e-03
1.852150934386618e-06	-3.312798e-03
1.859305620290452e-06	-3.312386e-03
1.864660584199049e-06	-3.312131e-03
1.872400854088569e-06	-3.312421e-03
1.879810903839417e-06	-3.312826e-03
1.887684711215179e-06	-3.312595e-03
1.894960267489628e-06	-3.312184e-03
1.901697734358136e-06	-3.312323e-03
1.908938917317182e-06	-3.312778e-03
1.915036181249173e-06	-3.312792e-03
1.922257623816147e-06	-3.312356e-03
1.927749107717629e-06	-3.312192e-03
1.935289427424059e-06	-3.312555e-03
1.941702277170417e-06	-3.312863e-03
1.949512408152321e-06	-3.312599e-03
1.957135019964301e-06	-3.312224e-03
1.964625474962859e-06	-3.312449e-03
1.972260715964273e-06	-3.312858e-03
1.979350399002547e-06	-3.312710e-03
1.986889883196990e-06	-3.312288e-03
1.993434599928007e-06	-3.312344e-03
2.000808510288129e-06	-3.312781e-03
2.006722858118679e-06	-3.312864e-03
2.014283497671987e-06	-3.312467e-03
2.019959858828434e-06	-3.312265e-03
2.027998364616026e-06	-3.312588e-03
2.035337044741175e-06	-3.312899e-03
2.043345357593504e-06	-3.312620e-03
2.051564216975372e-06	-3.312289e-03
2.068543374402967e-06	-3.312910e-03
2.077452289905944e-06	-3.312567e-03
2.086355567608697e-06	-3.312320e-03
2.094788785171649e-06	-3.312703e-03
2.102332556389202e-06	-3.312913e-03
2.110964418317618e-06	-3.312540e-03
2.118242395898882e-06	-3.312337e-03
2.126695441477810e-06	-3.312701e-03
2.134045954852088e-06	-3.312925e-03
2.142469687836878e-06	-3.312582e-03
2.150004205208191e-06	-3.312352e-03
2.158476940678084e-06	-3.312694e-03
2.166208070985480e-06	-3.312931e-03
2.174768690525364e-06	-3.312592e-03
2.182541587880935e-06	-3.312369e-03
2.191167466175422e-06	-3.312717e-03
2.198900634270279e-06	-3.312931e-03
2.207568458058911e-06	-3.312582e-03
2.215187469155467e-06	-3.312383e-03
2.223857747311220e-06	-3.312735e-03
2.231422466972756e-06	-3.312928e-03
2.240107334917859e-06	-3.312578e-03
2.247614999488039e-06	-3.312391e-03
2.256304393907153e-06	-3.312739e-03
2.263826894795412e-06	-3.312922e-03
2.272549386009570e-06	-3.312575e-03
2.280052234627353e-06	-3.312397e-03
2.288794585248776e-06	-3.312741e-03
2.296317011554133e-06	-3.312912e-03
2.305100752754243e-06	-3.312565e-03
2.312586163955673e-06	-3.312400e-03
2.321388353338297e-06	-3.312744e-03
2.328877497943520e-06	-3.312901e-03
2.337718737993834e-06	-3.312553e-03
2.345158880531794e-06	-3.312402e-03
2.354013857988608e-06	-3.312745e-03
2.361458089547741e-06	-3.312888e-03
2.370352465418436e-06	-3.312541e-03
2.377749496947715e-06	-3.312403e-03
2.386656980977805e-06	-3.312746e-03
2.394064299400106e-06	-3.312874e-03
2.403014378521164e-06	-3.312528e-03
2.410376128636267e-06	-3.312404e-03
2.419339707192135e-06	-3.312746e-03
2.426715020002334e-06	-3.312860e-03
2.435724332820997e-06	-3.312514e-03
2.443052935891822e-06	-3.312406e-03
2.452075468760955e-06	-3.312746e-03
2.459419702436891e-06	-3.312845e-03
2.468490910286282e-06	-3.312500e-03
2.475792181160938e-06	-3.312408e-03
2.484873484068079e-06	-3.312747e-03
2.492187927339834e-06	-3.312829e-03
2.501323716632828e-06	-3.312486e-03
2.508609159451419e-06	-3.312410e-03
2.517747522342200e-06	-3.312749e-03
2.525036702914693e-06	-3.312813e-03
2.534239945509891e-06	-3.312471e-03
2.541518970732756e-06	-3.312415e-03
2.550716743943760e-06	-3.312752e-03
2.558035225461126e-06	-3.312794e-03
2.567287436280468e-06	-3.312454e-03
2.574699436314513e-06	-3.312424e-03
2.583895198252384e-06	-3.312758e-03
2.591410460577777e-06	-3.312768e-03
2.600638028290852e-06	-3.312433e-03
2.608307295826945e-06	-3.312443e-03
2.617472343648989e-06	-3.312770e-03
2.625329173576593e-06	-3.312729e-03
2.634545670496549e-06	-3.312406e-03
2.642719109218062e-06	-3.312484e-03
2.651950793363884e-06	-3.312788e-03
2.660669630527431e-06	-3.312651e-03
2.670088807867433e-06	-3.312376e-03
2.679890990706407e-06	-3.312594e-03
2.689879914290215e-06	-3.312785e-03
2.701001586676284e-06	-3.312466e-03
2.710558492940270e-06	-3.312427e-03
2.721060087702221e-06	-3.312753e-03
2.729762912028107e-06	-3.312671e-03
2.739898159449287e-06	-3.312376e-03
2.749509668617271e-06	-3.312557e-03
2.759606493817459e-06	-3.312772e-03
2.772002759140960e-06	-3.312461e-03
2.782593529347330e-06	-3.312433e-03
2.793644253943367e-06	-3.312749e-03
2.803064792244018e-06	-3.312617e-03
2.813667351777773e-06	-3.312365e-03
2.824903363594253e-06	-3.312626e-03
2.836138196131370e-06	-3.312715e-03
2.847304902631591e-06	-3.312396e-03
2.856744809797492e-06	-3.312476e-03
2.867573229554054e-06	-3.312748e-03
2.878177411790093e-06	-3.312529e-03
2.889055137499808e-06	-3.312379e-03
2.901117491618461e-06	-3.312691e-03
2.911192718512603e-06	-3.312646e-03
2.922441907173930e-06	-3.312364e-03
2.932979802663316e-06	-3.312560e-03
2.944029315103116e-06	-3.312720e-03
2.956758315909497e-06	-3.312408e-03
2.967329573738010e-06	-3.312458e-03
2.978898693964747e-06	-3.312725e-03
2.990041941267385e-06	-3.312505e-03
3.001522964205130e-06	-3.312383e-03
3.014014279056290e-06	-3.312688e-03
3.024439608055610e-06	-3.312599e-03
3.036118240920021e-06	-3.312355e-03
3.048299081849378e-06	-3.312607e-03
3.060426682373186e-06	-3.312655e-03
3.072545493797469e-06	-3.312365e-03
3.083220658187615e-06	-3.312517e-03
3.095003940416326e-06	-3.312698e-03
3.109750254704283e-06	-3.312394e-03
3.121836229678708e-06	-3.312473e-03
3.134539374442823e-06	-3.312698e-03
3.148292030567430e-06	-3.312421e-03
3.161665067893747e-06	-3.312449e-03
3.174226347602107e-06	-3.312693e-03
3.186923353906822e-06	-3.312450e-03
3.199816614894569e-06	-3.312411e-03
3.212593750684921e-06	-3.312682e-03
3.224222883450129e-06	-3.312497e-03
3.236724844697965e-06	-3.312373e-03
3.250884392893305e-06	-3.312662e-03
3.262696926762060e-06	-3.312533e-03
3.275599219737197e-06	-3.312357e-03
3.291776938861167e-06	-3.312649e-03
3.305008878328371e-06	-3.312528e-03
3.318812423000198e-06	-3.312359e-03
3.336563209316940e-06	-3.312655e-03
3.350701979350472e-06	-3.312492e-03
3.365395352379737e-06	-3.312378e-03
3.384788021701548e-06	-3.312663e-03
3.399966348410194e-06	-3.312431e-03
3.415931086651103e-06	-3.312430e-03
3.432602182244915e-06	-3.312656e-03
3.449074767190516e-06	-3.312379e-03
3.465449967982814e-06	-3.312491e-03
3.480346710879118e-06	-3.312633e-03
3.501158149464753e-06	-3.312343e-03
3.517242191586145e-06	-3.312560e-03
3.533855203033280e-06	-3.312564e-03
3.552188389701587e-06	-3.312344e-03
3.570288840325932e-06	-3.312622e-03
3.602711837723784e-06	-3.312376e-03
3.624298449404320e-06	-3.312640e-03
3.641689813336608e-06	-3.312387e-03
3.659724310074348e-06	-3.312469e-03
3.677291408102896e-06	-3.312610e-03
3.700965337107815e-06	-3.312334e-03
3.719584353594194e-06	-3.312578e-03
3.738641234082741e-06	-3.312497e-03
3.757855634567328e-06	-3.312364e-03
3.784446014330525e-06	-3.312627e-03
3.805384368205446e-06	-3.312361e-03
3.826713418151714e-06	-3.312506e-03
3.847058035209344e-06	-3.312553e-03
3.872538091668245e-06	-3.312340e-03
3.896014700688181e-06	-3.312614e-03
3.916687493910947e-06	-3.312394e-03
3.937710377524022e-06	-3.312448e-03
3.958957263376814e-06	-3.312582e-03
3.987869306973061e-06	-3.312327e-03
4.010999326669295e-06	-3.312592e-03
4.034445675838616e-06	-3.312414e-03
4.056438185350041e-06	-3.312421e-03
4.081718761287087e-06	-3.312580e-03
4.110833197114336e-06	-3.312323e-03
4.135134897009129e-06	-3.312583e-03
4.159713868084117e-06	-3.312408e-03
4.182535550356495e-06	-3.312421e-03
4.209218510904108e-06	-3.312567e-03
4.241394936437148e-06	-3.312322e-03
4.268320080698701e-06	-3.312587e-03
4.295483385560998e-06	-3.312375e-03
4.320245548930797e-06	-3.312454e-03
4.346929069255555e-06	-3.312531e-03
4.387407690447238e-06	-3.312337e-03
4.422994085203623e-06	-3.312587e-03
4.458812306056362e-06	-3.312319e-03
4.491140005530216e-06	-3.312545e-03
4.553020270902356e-06	-3.312414e-03
4.590751792169681e-06	-3.312528e-03
4.640668458632701e-06	-3.312330e-03
4.688889903762776e-06	-3.312573e-03
4.733288287738390e-06	-3.312305e-03
4.776041511518432e-06	-3.312559e-03
4.814551789940996e-06	-3.312352e-03
4.891054097264720e-06	-3.312454e-03
4.938277897206576e-06	-3.312371e-03
5.015844914819174e-06	-3.312516e-03
5.232896197557586e-06	-3.312293e-03
5.292541462642272e-06	-3.312555e-03
5.344730472912765e-06	-3.312296e-03
5.391375845176367e-06	-3.312520e-03
5.438632976665080e-06	-3.312350e-03
5.532800421014673e-06	-3.312434e-03
5.596719424661756e-06	-3.312361e-03
5.704073612103585e-06	-3.312478e-03
5.886221192158030e-06	-3.312441e-03
6.068368772212475e-06	-3.312413e-03
6.250516352266919e-06	-3.312391e-03
6.432663932321365e-06	-3.312377e-03
6.614811512375810e-06	-3.312370e-03
6.796959092430254e-06	-3.312371e-03
6.979106672484699e-06	-3.312380e-03
7.077080342905392e-06	-3.312386e-03
7.226142970047458e-06	-3.312338e-03
8.201557494364183e-06	-3.312393e-03
8.664333365404296e-06	-3.312288e-03
9.221166841384629e-06	-3.312396e-03
9.943537720799229e-06	-3.312313e-03
1.087509682720549e-05	-3.312591e-03
1.215952475533265e-05	-3.313249e-03
1.404713047281784e-05	-3.316164e-03
1.584809414872885e-05	-3.319561e-03
1.729545287873262e-05	-3.322437e-03
1.892249105156440e-05	-3.325146e-03
2.150976404191988e-05	-3.328896e-03
2.426984458740743e-05	-3.331576e-03
2.621528199773703e-05	-3.332862e-03
2.839188602130938e-05	-3.333013e-03
3.065696150210283e-05	-3.333088e-03
5.292066625018053e-05	-3.331866e-03
