time	V(n001)	I(Cij)
1.310478866882750e-06	3.299984e+00	-3.311139e-03
1.315702228263344e-06	3.299984e+00	-3.311565e-03
1.319922072504708e-06	3.299984e+00	-3.312066e-03
1.324530154661780e-06	3.299984e+00	-3.312244e-03
1.329823628933796e-06	3.299984e+00	-3.311831e-03
1.334063353457340e-06	3.299984e+00	-3.311354e-03
1.338648469901688e-06	3.299984e+00	-3.311211e-03
1.343915067432069e-06	3.299984e+00	-3.311647e-03
1.348161498256627e-06	3.299984e+00	-3.312131e-03
1.352898539562486e-06	3.299984e+00	-3.312274e-03
1.358245031015615e-06	3.299984e+00	-3.311837e-03
1.362494721722355e-06	3.299984e+00	-3.311385e-03
1.367258689109053e-06	3.299984e+00	-3.311297e-03
1.372579503473562e-06	3.299984e+00	-3.311771e-03
1.376821415133032e-06	3.299984e+00	-3.312219e-03
1.381826554474983e-06	3.299984e+00	-3.312281e-03
1.387259323208311e-06	3.299984e+00	-3.311789e-03
1.391502886724078e-06	3.299984e+00	-3.311391e-03
1.396698897002917e-06	3.299984e+00	-3.311427e-03
1.402170992250772e-06	3.299984e+00	-3.311974e-03
1.406445295152547e-06	3.299984e+00	-3.312336e-03
1.412823209627976e-06	3.299984e+00	-3.312150e-03
1.418606045999085e-06	3.299984e+00	-3.311575e-03
1.423420224932096e-06	3.299984e+00	-3.311398e-03
1.429336229373950e-06	3.299984e+00	-3.311834e-03
1.434305397660890e-06	3.299984e+00	-3.312317e-03
1.439589744614631e-06	3.299984e+00	-3.312336e-03
1.445277537456495e-06	3.299984e+00	-3.311822e-03
1.449624296054262e-06	3.299984e+00	-3.311480e-03
1.455370351990243e-06	3.299984e+00	-3.311636e-03
1.461222882108248e-06	3.299984e+00	-3.312214e-03
1.466081493786536e-06	3.299984e+00	-3.312444e-03
1.472159745601957e-06	3.299984e+00	-3.312068e-03
1.477621625417771e-06	3.299984e+00	-3.311584e-03
1.483036489229131e-06	3.299984e+00	-3.311603e-03
1.488818989004636e-06	3.299984e+00	-3.312133e-03
1.493284049045236e-06	3.299984e+00	-3.312461e-03
1.499885681078607e-06	3.299984e+00	-3.312233e-03
1.506076663643645e-06	3.299984e+00	-3.311684e-03
1.511384860753136e-06	3.299984e+00	-3.311617e-03
1.517421342165620e-06	3.299984e+00	-3.312116e-03
1.521946633934007e-06	3.299984e+00	-3.312478e-03
1.527758013842303e-06	3.299984e+00	-3.312365e-03
1.533757994982409e-06	3.299984e+00	-3.311832e-03
1.538650900348821e-06	3.299984e+00	-3.311630e-03
1.544892911085158e-06	3.299984e+00	-3.312015e-03
1.550490412944734e-06	3.299984e+00	-3.312487e-03
1.556235266192376e-06	3.299984e+00	-3.312445e-03
1.562292254307919e-06	3.299984e+00	-3.311931e-03
1.566928885812227e-06	3.299984e+00	-3.311684e-03
1.573548341429721e-06	3.299984e+00	-3.312009e-03
1.580658597918311e-06	3.299984e+00	-3.312546e-03
1.587227606605338e-06	3.299984e+00	-3.312405e-03
1.593645728462653e-06	3.299984e+00	-3.311874e-03
1.598627767676733e-06	3.299984e+00	-3.311755e-03
1.605149735891251e-06	3.299984e+00	-3.312206e-03
1.610158476172987e-06	3.299984e+00	-3.312582e-03
1.616161286947417e-06	3.299984e+00	-3.312466e-03
1.622379082523550e-06	3.299984e+00	-3.311956e-03
1.627477613376921e-06	3.299984e+00	-3.311797e-03
1.633904535624315e-06	3.299984e+00	-3.312205e-03
1.639271366047231e-06	3.299984e+00	-3.312607e-03
1.645314874714372e-06	3.299984e+00	-3.312509e-03
1.651596192389357e-06	3.299984e+00	-3.312008e-03
1.656649999628002e-06	3.299984e+00	-3.311845e-03
1.663222504602748e-06	3.299984e+00	-3.312242e-03
1.668753031528804e-06	3.299984e+00	-3.312641e-03
1.674931037999474e-06	3.299984e+00	-3.312528e-03
1.681324809377835e-06	3.299984e+00	-3.312032e-03
1.686544195010673e-06	3.299984e+00	-3.311900e-03
1.693134430867577e-06	3.299984e+00	-3.312319e-03
1.698416091417554e-06	3.299984e+00	-3.312678e-03
1.704744126527054e-06	3.299984e+00	-3.312536e-03
1.711241938178598e-06	3.299984e+00	-3.312049e-03
1.716750194700879e-06	3.299984e+00	-3.311964e-03
1.723307236621235e-06	3.299984e+00	-3.312407e-03
1.728275883753410e-06	3.299984e+00	-3.312715e-03
1.734891269968582e-06	3.299984e+00	-3.312526e-03
1.741594345258364e-06	3.299984e+00	-3.312052e-03
1.747545221801463e-06	3.299984e+00	-3.312050e-03
1.754116769467773e-06	3.299984e+00	-3.312524e-03
1.759209142117506e-06	3.299984e+00	-3.312756e-03
1.766390961071835e-06	3.299984e+00	-3.312438e-03
1.773127159099144e-06	3.299984e+00	-3.312035e-03
1.780527047388965e-06	3.299984e+00	-3.312252e-03
1.787298958805297e-06	3.299984e+00	-3.312718e-03
1.793330332688674e-06	3.299984e+00	-3.312694e-03
1.800214374932375e-06	3.299984e+00	-3.312226e-03
1.805451826386781e-06	3.299984e+00	-3.312061e-03
1.812619244112030e-06	3.299984e+00	-3.312438e-03
1.818697099551492e-06	3.299984e+00	-3.312789e-03
1.826245082840424e-06	3.299984e+00	-3.312560e-03
1.833199604399157e-06	3.299984e+00	-3.312130e-03
1.839638057867264e-06	3.299984e+00	-3.312228e-03
1.846585223871294e-06	3.299984e+00	-3.312701e-03
1.852151681814253e-06	3.299984e+00	-3.312798e-03
1.859306370320281e-06	3.299984e+00	-3.312386e-03
1.864661311832789e-06	3.299984e+00	-3.312131e-03
1.872401590027935e-06	3.299984e+00	-3.312421e-03
1.879811677768989e-06	3.299984e+00	-3.312826e-03
1.887685432399631e-06	3.299984e+00	-3.312595e-03
1.894961043096350e-06	3.299984e+00	-3.312184e-03
1.901698566738279e-06	3.299984e+00	-3.312323e-03
1.908939775036188e-06	3.299984e+00	-3.312778e-03
1.915037106305301e-06	3.299984e+00	-3.312792e-03
1.922258551919783e-06	3.299984e+00	-3.312356e-03
1.927750071003663e-06	3.299984e+00	-3.312192e-03
1.935290347686628e-06	3.299984e+00	-3.312555e-03
1.941703023705995e-06	3.299984e+00	-3.312863e-03
1.949513171584337e-06	3.299984e+00	-3.312599e-03
1.957135810245916e-06	3.299984e+00	-3.312224e-03
1.964626339859404e-06	3.299984e+00	-3.312449e-03
1.972261622111788e-06	3.299984e+00	-3.312858e-03
1.979351408877215e-06	3.299984e+00	-3.312710e-03
1.986890941229908e-06	3.299984e+00	-3.312288e-03
1.993435810700430e-06	3.299984e+00	-3.312344e-03
2.000809748057874e-06	3.299984e+00	-3.312781e-03
2.006724205390661e-06	3.299984e+00	-3.312864e-03
2.014284807567454e-06	3.299984e+00	-3.312467e-03
2.019960929177808e-06	3.299984e+00	-3.312265e-03
2.027999458664899e-06	3.299984e+00	-3.312588e-03
2.035337789219027e-06	3.299984e+00	-3.312899e-03
2.043346090324957e-06	3.299984e+00	-3.312620e-03
2.051564927737834e-06	3.299984e+00	-3.312289e-03
2.068543940683025e-06	3.299984e+00	-3.312910e-03
2.077452787687192e-06	3.299984e+00	-3.312567e-03
2.086356032369290e-06	3.299984e+00	-3.312320e-03
2.094789318637133e-06	3.299984e+00	-3.312703e-03
2.102333198445178e-06	3.299984e+00	-3.312913e-03
2.110965086596071e-06	3.299984e+00	-3.312540e-03
2.118243121022038e-06	3.299984e+00	-3.312337e-03
2.126696191378161e-06	3.299984e+00	-3.312701e-03
2.134046700325270e-06	3.299984e+00	-3.312925e-03
2.142470449602521e-06	3.299984e+00	-3.312582e-03
2.150004929045342e-06	3.299984e+00	-3.312352e-03
2.158477667274979e-06	3.299984e+00	-3.312694e-03
2.166208759067159e-06	3.299984e+00	-3.312931e-03
2.174769374729589e-06	3.299984e+00	-3.312592e-03
2.182542252237355e-06	3.299984e+00	-3.312369e-03
2.191168127763481e-06	3.299984e+00	-3.312717e-03
2.198901295134349e-06	3.299984e+00	-3.312931e-03
2.207569121722493e-06	3.299984e+00	-3.312582e-03
2.215188140834303e-06	3.299984e+00	-3.312383e-03
2.223858426398348e-06	3.299984e+00	-3.312735e-03
2.231423152651040e-06	3.299984e+00	-3.312928e-03
2.240108029553838e-06	3.299984e+00	-3.312578e-03
2.247615694381594e-06	3.299984e+00	-3.312391e-03
2.256305096893875e-06	3.299984e+00	-3.312739e-03
2.263827592745102e-06	3.299984e+00	-3.312922e-03
2.272550090743040e-06	3.299984e+00	-3.312575e-03
2.280052931464271e-06	3.299984e+00	-3.312397e-03
2.288795287591995e-06	3.299984e+00	-3.312741e-03
2.296317706551680e-06	3.299984e+00	-3.312912e-03
2.305101453087357e-06	3.299984e+00	-3.312565e-03
2.312586858403386e-06	3.299984e+00	-3.312400e-03
2.321389053276803e-06	3.299984e+00	-3.312744e-03
2.328878193747069e-06	3.299984e+00	-3.312901e-03
2.337719439958666e-06	3.299984e+00	-3.312553e-03
2.345159579030221e-06	3.299984e+00	-3.312402e-03
2.354014562989836e-06	3.299984e+00	-3.312745e-03
2.361458791384294e-06	3.299984e+00	-3.312888e-03
2.370353174206466e-06	3.299984e+00	-3.312541e-03
2.377750202084593e-06	3.299984e+00	-3.312403e-03
2.386657693052702e-06	3.299984e+00	-3.312746e-03
2.394065007651393e-06	3.299984e+00	-3.312874e-03
2.403015093976563e-06	3.299984e+00	-3.312528e-03
2.410376839843241e-06	3.299984e+00	-3.312404e-03
2.419340425510240e-06	3.299984e+00	-3.312746e-03
2.426715734233446e-06	3.299984e+00	-3.312860e-03
2.435725054488484e-06	3.299984e+00	-3.312514e-03
2.443053653376263e-06	3.299984e+00	-3.312406e-03
2.452076193690744e-06	3.299984e+00	-3.312746e-03
2.459420423634811e-06	3.299984e+00	-3.312845e-03
2.468491639383350e-06	3.299984e+00	-3.312500e-03
2.475792908138136e-06	3.299984e+00	-3.312408e-03
2.484874218124824e-06	3.299984e+00	-3.312747e-03
2.492188658009233e-06	3.299984e+00	-3.312829e-03
2.501324455698784e-06	3.299984e+00	-3.312486e-03
2.508609897123967e-06	3.299984e+00	-3.312411e-03
2.517748267514564e-06	3.299984e+00	-3.312749e-03
2.525037445710722e-06	3.299984e+00	-3.312813e-03
2.534240697214465e-06	3.299984e+00	-3.312471e-03
2.541519722958701e-06	3.299984e+00	-3.312415e-03
2.550717504029229e-06	3.299984e+00	-3.312752e-03
2.558036005552404e-06	3.299984e+00	-3.312794e-03
2.567288215574893e-06	3.299984e+00	-3.312454e-03
2.574700242077903e-06	3.299984e+00	-3.312424e-03
2.583895999805624e-06	3.299984e+00	-3.312758e-03
2.591411294272666e-06	3.299984e+00	-3.312768e-03
2.600638858071295e-06	3.299984e+00	-3.312433e-03
2.608308168879473e-06	3.299984e+00	-3.312443e-03
2.617473216834915e-06	3.299984e+00	-3.312770e-03
