config_id,t_s,V_out_diff_V
3.0,0.012036777202004016,3.2374554
3.0,0.012046777202004016,3.2374568
3.0,0.012056777202004015,3.2374578
3.0,0.012066777202004017,3.2374594
3.0,0.012076777202004016,3.2374601
3.0,0.012086777202004016,3.2374616
3.0,0.012096777202004015,3.2374625
3.0,0.012106777202004017,3.2374635
3.0,0.012116777202004016,3.2374647
3.0,0.012126777202004016,3.237466
3.0,0.012136777202004016,3.2374673
3.0,0.012146777202004015,3.2374682
3.0,0.012156777202004016,3.2374694
3.0,0.012166777202004016,3.2374704
3.0,0.012176777202004016,3.2374713
3.0,0.012186777202004015,3.2374728
3.0,0.012196777202004017,3.2374737
3.0,0.012206777202004016,3.2374747
3.0,0.012216777202004016,3.2374756
3.0,0.012226777202004015,3.2374768
3.0,0.012236777202004017,3.2374778
3.0,0.012246777202004016,3.2374792
3.0,0.012256777202004016,3.2374797
3.0,0.012266777202004015,3.237481
3.0,0.012276777202004015,3.2374823
3.0,0.012286777202004016,3.2374835
3.0,0.012296777202004016,3.2374842
3.0,0.012306777202004016,3.2374854
3.0,0.012316777202004015,3.2374864
3.0,0.012326777202004017,3.237487
3.0,0.012336777202004016,3.237488
3.0,0.012346777202004016,3.2374892
3.0,0.012356777202004015,3.2374904
3.0,0.012366777202004017,3.2374911
3.0,0.012376777202004016,3.237492
3.0,0.012386777202004016,3.2374928
3.0,0.012396777202004015,3.2374938
3.0,0.012406777202004017,3.2374952
3.0,0.012416777202004016,3.237496
3.0,0.012426777202004016,3.2374964
3.0,0.012436777202004015,3.2374973
3.0,0.012446777202004015,3.2374983
3.0,0.012456777202004016,3.2374992
3.0,0.012466777202004016,3.2375002
3.0,0.012476777202004016,3.2375007
3.0,0.012486777202004015,3.2375016
3.0,0.012496777202004017,3.237502
3.0,0.012506777202004016,3.237503
3.0,0.012516777202004016,3.2375038
3.0,0.012526777202004015,3.2375047
3.0,0.012536777202004017,3.2375054
3.0,0.012546777202004016,3.2375064
3.0,0.012556777202004016,3.2375069
3.0,0.012566777202004015,3.2375076
3.0,0.012576777202004017,3.2375083
3.0,0.012586777202004016,3.2375088
3.0,0.012596777202004016,3.2375095
3.0,0.012606777202004016,3.2375102
3.0,0.012616777202004015,3.237511
3.0,0.012626777202004016,3.2375116
3.0,0.012636777202004016,3.2375119
3.0,0.012646777202004016,3.2375126
3.0,0.012656777202004015,3.2375133
3.0,0.012666777202004017,3.2375138
3.0,0.012676777202004016,3.2375145
3.0,0.012686777202004016,3.2375152
3.0,0.012696777202004015,3.237516
3.0,0.012706777202004017,3.2375162
3.0,0.012716777202004016,3.2375169
3.0,0.012726777202004016,3.2375174
3.0,0.012736777202004015,3.237518
3.0,0.012746777202004017,3.2375188
3.0,0.012756777202004016,3.237519
3.0,0.012766777202004016,3.2375197
3.0,0.012776777202004016,3.2375202
3.0,0.012786777202004015,3.2375205
3.0,0.012796777202004016,3.2375212
3.0,0.012806777202004016,3.2375214
3.0,0.012816777202004016,3.2375221
3.0,0.012826777202004015,3.2375224
3.0,0.012836777202004017,3.237523
3.0,0.012846777202004016,3.2375236
3.0,0.012856777202004016,3.2375238
3.0,0.012866777202004015,3.2375243
3.0,0.012876777202004017,3.2375245
3.0,0.012886777202004016,3.237525
3.0,0.012896777202004016,3.2375257
3.0,0.012906777202004015,3.2375262
3.0,0.012916777202004015,3.2375264
3.0,0.012926777202004016,3.237527
3.0,0.012936777202004016,3.2375271
3.0,0.012946777202004016,3.2375276
3.0,0.012956777202004015,3.2375278
3.0,0.012966777202004016,3.2375283
3.0,0.012976777202004016,3.237529
3.0,0.012986777202004016,3.2375293
3.0,0.012996777202004015,3.2375295
3.0,0.013006777202004017,3.2375298
3.0,0.013016777202004016,3.2375302
3.0,0.013026777202004016,3.2375305
3.0,0.013036777202004015,3.237531
3.0,0.013046777202004017,3.2375312
3.0,0.013056777202004016,3.2375317
3.0,0.013066777202004016,3.2375321
3.0,0.013076777202004015,3.2375324
3.0,0.013086777202004015,3.2375329
3.0,0.013096777202004016,3.237533
3.0,0.013106777202004016,3.2375336
3.0,0.013116777202004016,3.2375336
3.0,0.013126777202004015,3.2375338
3.0,0.013136777202004016,3.2375343
3.0,0.013146777202004016,3.2375348
3.0,0.013156777202004016,3.237535
3.0,0.013166777202004015,3.237535
3.0,0.013176777202004017,3.2375352
3.0,0.013186777202004016,3.2375355
3.0,0.013196777202004016,3.237536
3.0,0.013206777202004015,3.2375362
3.0,0.013216777202004017,3.2375364
3.0,0.013226777202004016,3.237537
3.0,0.013236777202004016,3.2375371
3.0,0.013246777202004015,3.2375374
3.0,0.013256777202004015,3.2375379
3.0,0.013266777202004016,3.237538
3.0,0.013276777202004016,3.2375383
3.0,0.013286777202004016,3.2375388
3.0,0.013296777202004015,3.2375388
3.0,0.013306777202004016,3.237539
3.0,0.013316777202004016,3.2375393
3.0,0.013326777202004016,3.2375393
3.0,0.013336777202004015,3.2375395
3.0,0.013346777202004017,3.2375398
3.0,0.013356777202004016,3.2375402
3.0,0.013366777202004016,3.2375402
3.0,0.013376777202004015,3.2375405
3.0,0.013386777202004017,3.2375407
3.0,0.013396777202004016,3.2375407
3.0,0.013406777202004016,3.2375414
3.0,0.013416777202004015,3.2375417
3.0,0.013426777202004015,3.2375414
3.0,0.013436777202004016,3.237542
3.0,0.013446777202004016,3.237542
3.0,0.013456777202004016,3.2375422
3.0,0.013466777202004015,3.2375426
3.0,0.013476777202004016,3.2375426
3.0,0.013486777202004016,3.237543
3.0,0.013496777202004016,3.2375433
3.0,0.013506777202004015,3.237543
3.0,0.013516777202004017,3.2375433
3.0,0.013526777202004016,3.2375433
3.0,0.013536777202004016,3.2375436
3.0,0.013546777202004015,3.2375438
3.0,0.013556777202004015,3.237544
3.0,0.013566777202004016,3.2375445
3.0,0.013576777202004016,3.2375445
3.0,0.013586777202004015,3.2375448
3.0,0.013596777202004015,3.237545
3.0,0.013606777202004016,3.2375448
3.0,0.013616777202004016,3.2375453
3.0,0.013626777202004016,3.2375453
3.0,0.013636777202004015,3.2375455
3.0,0.013646777202004017,3.2375457
3.0,0.013656777202004016,3.237546
3.0,0.013666777202004016,3.237546
3.0,0.013676777202004015,3.237546
3.0,0.013686777202004017,3.2375464
3.0,0.013696777202004016,3.2375462
3.0,0.013706777202004016,3.2375464
3.0,0.013716777202004015,3.2375467
3.0,0.013726777202004015,3.2375467
3.0,0.013736777202004016,3.2375472
3.0,0.013746777202004016,3.2375472
3.0,0.013756777202004015,3.2375474
3.0,0.013766777202004015,3.2375472
3.0,0.013776777202004016,3.2375474
3.0,0.013786777202004016,3.2375474
3.0,0.013796777202004016,3.2375479
3.0,0.013806777202004015,3.2375479
3.0,0.013816777202004017,3.237548
3.0,0.013826777202004016,3.2375484
3.0,0.013836777202004016,3.237548
3.0,0.013846777202004015,3.2375484
3.0,0.013856777202004017,3.2375484
3.0,0.013866777202004016,3.2375488
3.0,0.013876777202004016,3.2375488
3.0,0.013886777202004015,3.2375488
3.0,0.013896777202004015,3.2375486
3.0,0.013906777202004016,3.2375488
3.0,0.013916777202004016,3.237549
3.0,0.013926777202004016,3.237549
3.0,0.013936777202004015,3.237549
3.0,0.013946777202004016,3.2375495
3.0,0.013956777202004016,3.2375495
3.0,0.013966777202004016,3.2375498
3.0,0.013976777202004015,3.2375498
3.0,0.013986777202004017,3.2375495
3.0,0.013996777202004016,3.23755
3.0,0.014006777202004016,3.2375498
3.0,0.014016777202004015,3.2375503
3.0,0.014026777202004017,3.2375503
3.0,0.014036777202004016,3.2375503
3.0,0.014046777202004016,3.2375503
3.0,0.014056777202004015,3.2375505
3.0,0.014066777202004015,3.2375507
3.0,0.014076777202004016,3.2375505
3.0,0.014086777202004016,3.2375507
3.0,0.014096777202004016,3.2375505
3.0,0.014106777202004015,3.237551
3.0,0.014116777202004016,3.237551
3.0,0.014126777202004016,3.237551
3.0,0.014136777202004016,3.237551
3.0,0.014146777202004015,3.237551
3.0,0.014156777202004017,3.2375512
3.0,0.014166777202004016,3.2375512
3.0,0.014176777202004016,3.2375515
3.0,0.014186777202004015,3.2375512
3.0,0.014196777202004015,3.2375517
3.0,0.014206777202004016,3.2375515
3.0,0.014216777202004016,3.237552
3.0,0.014226777202004015,3.237552
3.0,0.014236777202004015,3.237552
3.0,0.014246777202004016,3.237552
3.0,0.014256777202004016,3.237552
3.0,0.014266777202004016,3.237552
3.0,0.014276777202004015,3.2375522
3.0,0.014286777202004016,3.2375524
3.0,0.014296777202004016,3.2375522
3.0,0.014306777202004016,3.2375524
3.0,0.014316777202004015,3.2375522
3.0,0.014326777202004017,3.2375524
3.0,0.014336777202004016,3.2375524
3.0,0.014346777202004016,3.2375526
3.0,0.014356777202004015,3.2375526
3.0,0.014366777202004015,3.2375526
3.0,0.014376777202004016,3.2375526
3.0,0.014386777202004016,3.2375526
3.0,0.014396777202004015,3.237553
3.0,0.014406777202004015,3.237553
3.0,0.014416777202004016,3.2375531
3.0,0.014426777202004016,3.237553
3.0,0.014436777202004016,3.237553
3.0,0.014446777202004015,3.2375531
3.0,0.014456777202004016,3.2375531
3.0,0.014466777202004016,3.2375534
3.0,0.014476777202004016,3.2375531
3.0,0.014486777202004015,3.2375536
3.0,0.014496777202004017,3.2375534
3.0,0.014506777202004016,3.2375534
3.0,0.014516777202004016,3.2375534
3.0,0.014526777202004015,3.2375534
3.0,0.014536777202004015,3.2375534
3.0,0.014546777202004016,3.2375538
3.0,0.014556777202004016,3.2375534
3.0,0.014566777202004015,3.2375534
3.0,0.014576777202004015,3.2375536
3.0,0.014586777202004016,3.2375536
3.0,0.014596777202004016,3.2375538
3.0,0.014606777202004016,3.237554
3.0,0.014616777202004015,3.2375538
3.0,0.014626777202004016,3.237554
3.0,0.014636777202004016,3.2375538
3.0,0.014646777202004016,3.237554
3.0,0.014656777202004015,3.2375538
3.0,0.014666777202004017,3.2375543
3.0,0.014676777202004016,3.237554
3.0,0.014686777202004016,3.2375538
3.0,0.014696777202004015,3.2375543
3.0,0.014706777202004015,3.2375543
3.0,0.014716777202004016,3.2375543
3.0,0.014726777202004016,3.237554
3.0,0.014736777202004015,3.237554
3.0,0.014746777202004015,3.237554
3.0,0.014756777202004016,3.2375543
3.0,0.014766777202004016,3.2375543
3.0,0.014776777202004016,3.2375543
3.0,0.014786777202004015,3.2375543
3.0,0.014796777202004016,3.2375546
3.0,0.014806777202004016,3.2375546
3.0,0.014816777202004016,3.2375543
3.0,0.014826777202004015,3.2375546
3.0,0.014836777202004015,3.2375546
3.0,0.014846777202004016,3.2375548
3.0,0.014856777202004016,3.2375546
3.0,0.014866777202004015,3.2375548
3.0,0.014876777202004015,3.2375546
3.0,0.014886777202004016,3.2375548
3.0,0.014896777202004016,3.2375546
3.0,0.014906777202004015,3.237555
3.0,0.014916777202004015,3.2375548
