time	I(Vgnd)
6.761843213502943e-03	8.878746e-06
6.771843213502942e-03	8.878716e-06
6.781843213502943e-03	8.878746e-06
6.791843213502942e-03	8.878716e-06
6.801843213502943e-03	8.878746e-06
6.811843213502942e-03	8.878716e-06
6.821843213502943e-03	8.878746e-06
6.831843213502943e-03	8.878716e-06
6.841843213502943e-03	8.878746e-06
6.851843213502943e-03	8.878716e-06
6.861843213502943e-03	8.878746e-06
6.871843213502943e-03	8.878716e-06
6.881843213502943e-03	8.878746e-06
6.891843213502943e-03	8.878716e-06
6.901843213502943e-03	8.878746e-06
6.911843213502943e-03	8.878716e-06
6.921843213502942e-03	8.878746e-06
6.931843213502943e-03	8.878716e-06
6.941843213502942e-03	8.878746e-06
6.951843213502943e-03	8.878716e-06
6.961843213502942e-03	8.878746e-06
6.971843213502943e-03	8.878716e-06
6.981843213502942e-03	8.878746e-06
6.991843213502943e-03	8.878716e-06
7.001843213502943e-03	8.878746e-06
7.011843213502943e-03	8.878716e-06
7.021843213502943e-03	8.878746e-06
7.031843213502943e-03	8.878716e-06
7.041843213502943e-03	8.878746e-06
7.051843213502943e-03	8.878716e-06
7.061843213502943e-03	8.878746e-06
7.071843213502943e-03	8.878716e-06
7.081843213502943e-03	8.878746e-06
7.091843213502942e-03	8.878716e-06
7.101843213502943e-03	8.878746e-06
7.111843213502942e-03	8.878716e-06
7.121843213502943e-03	8.878746e-06
7.131843213502942e-03	8.878716e-06
7.141843213502943e-03	8.878746e-06
7.151843213502942e-03	8.878716e-06
7.161843213502943e-03	8.878746e-06
7.171843213502943e-03	8.878716e-06
7.181843213502943e-03	8.878746e-06
7.191843213502943e-03	8.878716e-06
7.201843213502943e-03	8.878746e-06
7.211843213502943e-03	8.878716e-06
7.221843213502943e-03	8.878746e-06
7.231843213502943e-03	8.878716e-06
7.241843213502942e-03	8.878746e-06
7.251843213502943e-03	8.878716e-06
7.261843213502942e-03	8.878746e-06
7.271843213502943e-03	8.878716e-06
7.281843213502942e-03	8.878746e-06
7.291843213502943e-03	8.878716e-06
7.301843213502942e-03	8.878746e-06
7.311843213502943e-03	8.878716e-06
7.321843213502943e-03	8.878746e-06
7.331843213502943e-03	8.878716e-06
7.341843213502943e-03	8.878746e-06
7.351843213502943e-03	8.878716e-06
7.361843213502943e-03	8.878746e-06
7.371843213502943e-03	8.878716e-06
7.381843213502943e-03	8.878746e-06
7.391843213502943e-03	8.878716e-06
7.401843213502943e-03	8.878746e-06
7.411843213502942e-03	8.878716e-06
7.421843213502943e-03	8.878746e-06
7.431843213502942e-03	8.878716e-06
7.441843213502943e-03	8.878746e-06
7.451843213502942e-03	8.878716e-06
7.461843213502943e-03	8.878746e-06
7.471843213502942e-03	8.878716e-06
7.481843213502943e-03	8.878746e-06
7.491843213502943e-03	8.878716e-06
7.501843213502943e-03	8.878746e-06
7.511843213502943e-03	8.878716e-06
7.521843213502943e-03	8.878746e-06
7.531843213502943e-03	8.878716e-06
7.541843213502943e-03	8.878746e-06
7.551843213502943e-03	8.878716e-06
7.561843213502942e-03	8.878746e-06
7.571843213502943e-03	8.878716e-06
7.581843213502942e-03	8.878746e-06
7.591843213502943e-03	8.878716e-06
7.601843213502942e-03	8.878746e-06
7.611843213502943e-03	8.878716e-06
7.621843213502942e-03	8.878746e-06
7.631843213502943e-03	8.878716e-06
7.641843213502942e-03	8.878746e-06
7.651843213502943e-03	8.878716e-06
7.661843213502943e-03	8.878746e-06
7.671843213502943e-03	8.878716e-06
7.681843213502943e-03	8.878746e-06
7.691843213502943e-03	8.878716e-06
7.701843213502943e-03	8.878746e-06
7.711843213502943e-03	8.878716e-06
7.721843213502943e-03	8.878746e-06
7.731843213502942e-03	8.878716e-06
7.741843213502943e-03	8.878746e-06
7.751843213502942e-03	8.878716e-06
7.761843213502943e-03	8.878746e-06
7.771843213502942e-03	8.878716e-06
7.781843213502943e-03	8.878746e-06
7.791843213502942e-03	8.878716e-06
7.801843213502943e-03	8.878746e-06
7.811843213502942e-03	8.878716e-06
7.821843213502943e-03	8.878746e-06
7.831843213502943e-03	8.878716e-06
7.841843213502942e-03	8.878746e-06
7.851843213502943e-03	8.878716e-06
7.861843213502943e-03	8.878746e-06
7.871843213502943e-03	8.878716e-06
7.881843213502942e-03	8.878746e-06
7.891843213502942e-03	8.878716e-06
7.901843213502943e-03	8.878746e-06
7.911843213502943e-03	8.878716e-06
7.921843213502942e-03	8.878746e-06
7.931843213502942e-03	8.878716e-06
7.941843213502943e-03	8.878746e-06
7.951843213502943e-03	8.878716e-06
7.961843213502942e-03	8.878746e-06
7.971843213502942e-03	8.878716e-06
7.981843213502943e-03	8.878746e-06
7.991843213502943e-03	8.878716e-06
8.001843213502943e-03	8.878746e-06
8.011843213502942e-03	8.878716e-06
8.021843213502943e-03	8.878746e-06
8.031843213502943e-03	8.878717e-06
8.041843213502943e-03	8.878746e-06
8.051843213502942e-03	8.878717e-06
8.061843213502942e-03	8.878746e-06
8.071843213502943e-03	8.878717e-06
8.081843213502943e-03	8.878746e-06
8.091843213502942e-03	8.878717e-06
8.101843213502942e-03	8.878746e-06
8.111843213502943e-03	8.878717e-06
8.121843213502943e-03	8.878746e-06
8.131843213502942e-03	8.878717e-06
8.141843213502942e-03	8.878746e-06
8.151843213502943e-03	8.878717e-06
8.161843213502943e-03	8.878746e-06
8.171843213502943e-03	8.878717e-06
8.181843213502942e-03	8.878746e-06
8.191843213502943e-03	8.878717e-06
8.201843213502943e-03	8.878746e-06
8.211843213502943e-03	8.878717e-06
8.221843213502942e-03	8.878746e-06
8.231843213502942e-03	8.878717e-06
8.241843213502943e-03	8.878746e-06
8.251843213502943e-03	8.878717e-06
8.261843213502942e-03	8.878746e-06
8.271843213502942e-03	8.878717e-06
8.281843213502943e-03	8.878746e-06
8.291843213502943e-03	8.878717e-06
8.301843213502942e-03	8.878746e-06
8.311843213502942e-03	8.878717e-06
8.321843213502943e-03	8.878746e-06
8.331843213502943e-03	8.878717e-06
8.341843213502943e-03	8.878745e-06
8.351843213502942e-03	8.878717e-06
8.361843213502942e-03	8.878745e-06
8.371843213502943e-03	8.878717e-06
8.381843213502943e-03	8.878745e-06
8.391843213502942e-03	8.878717e-06
8.401843213502942e-03	8.878745e-06
8.411843213502943e-03	8.878717e-06
8.421843213502943e-03	8.878745e-06
8.431843213502942e-03	8.878717e-06
8.441843213502942e-03	8.878745e-06
8.451843213502943e-03	8.878717e-06
8.461843213502943e-03	8.878745e-06
8.471843213502942e-03	8.878717e-06
8.481843213502942e-03	8.878745e-06
8.491843213502943e-03	8.878717e-06
8.501843213502943e-03	8.878745e-06
8.511843213502943e-03	8.878717e-06
8.521843213502942e-03	8.878745e-06
8.531843213502942e-03	8.878717e-06
8.541843213502943e-03	8.878745e-06
8.551843213502943e-03	8.878717e-06
8.561843213502942e-03	8.878745e-06
8.571843213502942e-03	8.878717e-06
8.581843213502943e-03	8.878745e-06
8.591843213502943e-03	8.878717e-06
8.601843213502942e-03	8.878745e-06
8.611843213502942e-03	8.878717e-06
8.621843213502943e-03	8.878745e-06
8.631843213502943e-03	8.878717e-06
8.641843213502943e-03	8.878745e-06
8.651843213502942e-03	8.878717e-06
8.661843213502943e-03	8.878745e-06
8.671843213502943e-03	8.878717e-06
8.681843213502943e-03	8.878745e-06
8.691843213502942e-03	8.878717e-06
8.701843213502942e-03	8.878745e-06
